behaviour,bout,start_frame,end_frame,start_s,end_s,duration_s
rearing,1,121,145,4.03,4.83,0.8
rearing,2,332,351,11.07,11.7,0.63
grooming,1,368,386,12.27,12.87,0.6
rearing,3,992,1006,33.07,33.53,0.47
rearing,4,1213,1267,40.43,42.23,1.8
grooming,2,1323,1343,44.1,44.77,0.67
rearing,5,1340,1433,44.67,47.77,3.1
grooming,3,1530,1543,51.0,51.43,0.43
rearing,6,1730,1744,57.67,58.13,0.47
rearing,7,1785,1806,59.5,60.2,0.7
rearing,8,1938,1968,64.6,65.6,1.0
rearing,9,2351,2423,78.37,80.77,2.4
rearing,10,2491,2566,83.03,85.53,2.5
grooming,4,2716,2739,90.53,91.3,0.77
grooming,5,2816,2853,93.87,95.1,1.23
grooming,6,2876,2915,95.87,97.17,1.3
grooming,7,2950,2975,98.33,99.17,0.83
grooming,8,2991,3047,99.7,101.57,1.87
grooming,9,3074,3118,102.47,103.93,1.47
rearing,11,3125,3176,104.17,105.87,1.7
rearing,12,3192,3210,106.4,107.0,0.6
rearing,13,3323,3484,110.77,116.13,5.37
grooming,10,3360,3370,112.0,112.33,0.33
rearing,14,3526,3571,117.53,119.03,1.5
rearing,15,3614,3623,120.47,120.77,0.3
rearing,16,3756,3789,125.2,126.3,1.1
grooming,11,3797,3808,126.57,126.93,0.37
rearing,17,3844,3937,128.13,131.23,3.1
grooming,12,3931,3945,131.03,131.5,0.47
rearing,18,4069,4096,135.63,136.53,0.9
rearing,19,4164,4174,138.8,139.13,0.33
rearing,20,4234,4338,141.13,144.6,3.47
grooming,13,4395,4413,146.5,147.1,0.6
rearing,21,4414,4431,147.13,147.7,0.57
grooming,14,4443,4501,148.1,150.03,1.93
grooming,15,4570,4601,152.33,153.37,1.03
rearing,22,4689,4806,156.3,160.2,3.9
grooming,16,4801,4860,160.03,162.0,1.97
rearing,23,4848,4888,161.6,162.93,1.33
grooming,17,4889,4898,162.97,163.27,0.3
rearing,24,4919,5052,163.97,168.4,4.43
rearing,25,5216,5319,173.87,177.3,3.43
grooming,18,5287,5299,176.23,176.63,0.4
