frame,t_s,x_px,y_px,vx_px_s,vy_px_s,speed_px_s
117,3.9,679.88,303.97,16.778,47.119,50.017
118,3.933,680.94,307.13,18.342,41.847,45.69
119,3.967,681.79,308.98,18.875,37.793,42.245
120,4.0,682.79,309.57,20.605,34.479,40.167
121,4.033,682.07,310.62,23.008,30.236,37.994
122,4.067,682.03,311.85,24.235,27.495,36.651
123,4.1,683.82,312.78,25.107,27.239,37.045
124,4.133,684.27,314.2,25.687,29.88,39.404
125,4.167,686.49,315.46,25.571,34.328,42.805
126,4.2,685.95,316.6,26.605,39.721,47.808
127,4.233,687.0,318.09,28.795,43.731,52.36
128,4.267,687.42,308.31,32.476,47.865,57.843
129,4.3,689.97,308.7,36.585,51.788,63.407
130,4.333,691.43,310.99,42.747,52.264,67.519
131,4.367,693.43,325.79,49.742,51.572,71.652
132,4.4,693.65,326.52,56.928,52.488,77.433
133,4.433,695.95,329.09,63.067,54.281,83.209
134,4.467,696.57,331.35,68.261,59.1,90.291
135,4.5,696.27,332.96,72.061,65.79,97.576
136,4.533,700.29,338.01,73.879,75.271,105.469
137,4.567,702.69,341.68,74.237,86.101,113.686
138,4.6,706.03,342.23,73.238,96.943,121.498
139,4.633,709.93,341.38,70.401,108.633,129.45
140,4.667,715.58,342.34,65.773,119.593,136.487
141,4.7,717.96,342.58,59.186,130.221,143.04
142,4.733,720.46,346.11,53.109,139.583,149.345
143,4.767,721.41,348.64,47.049,146.39,153.765
144,4.8,722.17,352.69,41.925,157.097,162.595
145,4.833,723.62,364.49,36.679,167.675,171.64
146,4.867,723.96,375.44,31.901,177.315,180.162
147,4.9,723.21,383.71,27.091,178.137,180.185
148,4.933,723.39,393.9,23.542,176.259,177.824
149,4.967,722.89,397.68,20.466,170.091,171.318
150,5.0,722.58,403.1,19.102,160.532,161.664
151,5.033,722.77,406.14,20.503,148.77,150.176
152,5.067,723.92,410.02,23.873,131.862,134.006
153,5.1,725.24,415.31,29.374,113.36,117.104
154,5.133,726.22,417.65,31.694,93.426,98.655
155,5.167,729.27,420.99,31.363,72.735,79.209
156,5.2,731.98,421.55,29.718,53.657,61.337
157,5.233,733.0,421.71,27.274,37.966,46.747
158,5.267,734.24,422.15,24.06,26.079,35.483
159,5.3,734.67,421.44,19.853,17.539,26.491
160,5.333,735.27,421.46,15.035,13.035,19.899
161,5.367,735.53,421.59,9.642,9.832,13.771
162,5.4,736.38,422.91,4.359,6.132,7.524
163,5.433,736.75,422.51,-0.205,1.789,1.801
164,5.467,737.1,424.13,-4.594,-5.715,7.333
165,5.5,736.68,424.78,-7.738,-11.507,13.866
166,5.533,735.63,424.18,-9.525,-16.882,19.384
167,5.567,730.93,427.05,-9.955,-20.659,22.932
168,5.6,724.82,423.3,-9.327,-23.583,25.361
169,5.633,728.93,422.28,-7.596,-26.706,27.766
170,5.667,733.3,424.34,-4.873,-29.935,30.33
171,5.7,732.78,422.9,-2.134,-32.758,32.827
172,5.733,733.06,420.88,0.253,-34.867,34.868
173,5.767,732.42,416.22,2.507,-36.578,36.664
174,5.8,733.51,415.21,4.375,-37.623,37.876
175,5.833,734.47,413.89,6.193,-36.939,37.455
176,5.867,734.72,410.26,7.761,-34.246,35.115
177,5.9,734.4,408.75,9.229,-29.524,30.933
178,5.933,734.17,409.08,9.843,-23.488,25.467
179,5.967,734.79,412.41,9.61,-16.016,18.678
180,6.0,734.44,411.6,8.353,-7.938,11.523
181,6.033,734.29,411.57,5.841,-0.032,5.841
182,6.067,734.3,411.01,2.021,7.448,7.717
183,6.1,734.33,410.96,-0.495,12.217,12.227
184,6.133,734.09,410.6,0.463,16.852,16.858
185,6.167,734.49,412.37,0.382,20.049,20.052
186,6.2,734.47,411.4,-1.589,20.183,20.245
187,6.233,734.4,411.76,-3.47,17.39,17.733
188,6.267,734.82,413.76,-5.365,14.028,15.019
189,6.3,735.2,415.72,-6.69,11.653,13.436
190,6.333,735.26,417.33,-8.092,8.317,11.605
191,6.367,735.12,417.96,-9.69,4.862,10.841
192,6.4,734.37,418.13,-11.314,3.622,11.88
193,6.433,733.84,417.61,-12.717,3.186,13.11
194,6.467,732.87,417.55,-14.39,4.391,15.045
195,6.5,731.32,415.84,-16.607,4.673,17.252
196,6.533,730.3,414.79,-18.418,4.652,18.997
197,6.567,730.07,414.52,-20.887,6.807,21.968
198,6.6,729.4,414.13,-23.842,10.963,26.241
199,6.633,728.53,414.3,-26.671,16.224,31.218
200,6.667,728.07,415.27,-29.476,22.708,37.209
201,6.7,727.5,415.98,-32.363,28.856,43.36
202,6.733,726.97,419.98,-35.358,35.735,50.271
203,6.767,726.09,420.45,-38.331,42.879,57.514
204,6.8,725.09,421.26,-41.413,49.889,64.838
205,6.833,723.59,424.02,-44.46,55.691,71.261
206,6.867,721.74,426.37,-47.641,59.404,76.148
207,6.9,719.6,427.4,-51.01,62.355,80.561
208,6.933,717.07,431.16,-53.415,63.598,83.054
209,6.967,715.47,432.16,-55.7,65.296,85.826
210,7.0,713.54,434.77,-57.23,67.456,88.463
211,7.033,710.15,440.72,-57.983,71.283,91.888
212,7.067,708.84,441.29,-57.595,75.841,95.232
213,7.1,707.51,441.96,-57.476,81.378,99.629
214,7.133,705.03,443.66,-58.54,88.099,105.775
215,7.167,703.11,445.35,-59.465,93.02,110.403
216,7.2,700.86,447.86,-62.115,97.776,115.838
217,7.233,699.14,450.99,-65.051,100.408,119.638
218,7.267,697.49,454.47,-67.169,98.651,119.347
219,7.3,695.71,456.77,-69.66,94.993,117.797
220,7.333,693.41,460.51,-72.525,90.659,116.099
221,7.367,691.5,466.33,-77.589,84.899,115.012
222,7.4,689.87,470.34,-84.023,78.261,114.825
223,7.433,686.04,477.22,-90.722,72.057,115.857
224,7.467,683.27,480.63,-97.621,65.465,117.539
225,7.5,679.12,482.82,-104.959,59.911,120.854
226,7.533,675.13,483.14,-112.472,55.192,125.285
227,7.567,669.18,484.12,-119.798,49.353,129.566
228,7.6,664.43,482.78,-126.974,44.593,134.577
229,7.633,661.97,479.37,-135.039,41.06,141.143
230,7.667,656.9,481.16,-142.849,38.37,147.913
231,7.7,655.58,478.4,-151.247,36.333,155.55
232,7.733,651.65,479.84,-156.845,34.898,160.68
233,7.767,644.06,483.64,-160.772,33.704,164.267
234,7.8,637.66,487.02,-162.61,32.915,165.908
235,7.833,630.01,489.16,-161.825,32.844,165.125
236,7.867,626.35,491.87,-159.297,33.682,162.819
237,7.9,622.0,494.51,-156.287,33.802,159.901
