frame,t_s,x_px,y_px,vx_px_s,vy_px_s,speed_px_s
0,0.0,626.36,375.75,-180.384,382.384,422.796
1,0.033,621.25,375.41,-144.938,312.667,344.627
2,0.067,630.67,372.07,-112.257,247.492,271.761
3,0.1,629.83,369.4,-82.341,186.859,204.197
4,0.133,646.83,372.89,-55.192,130.768,141.938
5,0.167,626.59,368.0,-30.809,79.218,84.998
6,0.2,644.56,371.65,-9.192,32.211,33.496
7,0.233,643.25,371.49,9.66,-10.255,14.088
8,0.267,642.0,371.55,25.745,-48.179,54.627
9,0.3,640.52,371.51,39.065,-81.561,90.434
10,0.333,620.96,368.68,49.619,-110.402,121.04
11,0.367,619.36,368.83,57.407,-134.7,146.423
12,0.4,618.03,369.68,62.429,-154.457,166.596
13,0.433,634.46,371.05,64.685,-169.672,181.583
14,0.467,632.51,370.55,64.175,-180.345,191.422
15,0.5,630.55,370.06,60.899,-186.476,196.168
16,0.533,628.95,369.63,65.161,-213.04,222.782
17,0.567,627.31,369.19,66.059,-226.191,235.64
18,0.6,626.02,368.99,58.112,-225.705,233.066
19,0.633,624.64,369.03,46.891,-212.761,217.867
20,0.667,623.28,369.18,23.158,-191.984,193.376
21,0.7,630.71,347.42,5.849,-160.926,161.033
22,0.733,628.39,349.94,-21.839,-125.096,126.988
23,0.767,615.52,369.3,-52.083,-84.75,99.474
24,0.8,719.8,181.2,-118.526,19.658,120.146
25,0.833,707.17,180.99,-132.17,29.042,135.323
26,0.867,697.95,182.35,-138.534,45.797,145.907
27,0.9,594.75,367.29,-142.497,66.708,157.339
28,0.933,569.63,373.28,-145.147,87.074,169.262
29,0.967,596.83,355.49,-154.282,107.385,187.974
30,1.0,586.54,366.98,-158.082,126.168,202.258
31,1.033,585.27,367.17,-156.115,140.97,210.344
32,1.067,584.39,367.38,-148.557,150.018,211.126
33,1.1,583.36,367.45,-134.569,151.932,202.958
34,1.133,581.97,367.36,-113.851,144.779,184.182
35,1.167,580.68,367.16,-86.272,125.959,152.672
36,1.2,579.67,367.04,-42.353,93.976,103.078
37,1.233,578.71,366.9,-0.088,57.761,57.761
38,1.267,577.89,366.69,44.252,6.214,44.686
39,1.3,672.45,196.62,97.548,-72.783,121.709
40,1.333,577.19,366.01,92.004,-60.261,109.982
41,1.367,576.83,365.68,68.376,-18.519,70.839
42,1.4,576.91,365.42,23.534,58.133,62.716
43,1.433,584.6,371.22,12.68,64.657,65.889
44,1.467,593.07,371.85,14.252,64.277,65.838
45,1.5,594.03,372.66,3.391,69.483,69.566
46,1.533,595.38,374.62,-4.108,67.432,67.557
47,1.567,598.21,376.34,-10.658,62.055,62.963
48,1.6,600.79,376.58,-15.827,53.004,55.316
49,1.633,603.48,375.5,-19.264,39.838,44.251
50,1.667,606.99,374.1,-20.288,22.032,29.951
51,1.7,585.48,369.38,-18.073,-0.354,18.077
52,1.733,585.71,367.61,-11.823,-28.326,30.694
53,1.767,586.26,366.38,-1.229,-61.623,61.635
54,1.8,586.48,364.88,14.432,-99.193,100.237
55,1.833,586.88,363.04,-21.822,-38.37,44.141
56,1.867,587.82,362.12,-21.439,-36.404,42.248
57,1.9,588.93,361.23,-18.133,-31.769,36.58
58,1.933,590.1,361.67,-11.55,-24.367,26.966
59,1.967,590.14,361.81,-5.58,-17.733,18.59
60,2.0,590.57,362.09,-1.938,-10.226,10.408
61,2.033,591.28,361.84,-1.672,3.47,3.852
62,2.067,591.3,361.18,0.588,12.877,12.891
63,2.1,590.85,360.39,3.059,18.104,18.361
64,2.133,590.67,359.9,4.568,19.636,20.161
65,2.167,590.67,360.29,3.572,17.97,18.322
66,2.2,590.27,360.43,-1.964,13.769,13.909
67,2.233,589.17,362.85,4.546,3.881,5.977
68,2.267,588.75,365.38,9.691,-3.944,10.462
69,2.3,588.38,365.73,13.451,-10.146,16.849
70,2.333,588.11,366.06,16.307,-14.643,21.916
71,2.367,587.97,366.47,18.342,-17.179,25.131
72,2.4,588.13,366.77,19.464,-18.064,26.554
73,2.433,588.74,367.11,19.728,-17.323,26.255
74,2.467,589.53,367.5,19.167,-15.62,24.726
75,2.5,589.97,367.66,18.072,-13.134,22.34
76,2.533,600.37,351.65,16.205,-10.114,19.102
77,2.567,600.25,352.14,13.356,-6.461,14.837
78,2.6,600.09,352.12,9.731,-1.972,9.929
79,2.633,599.79,352.1,2.176,9.853,10.091
80,2.667,599.59,352.53,-4.512,19.581,20.094
81,2.7,599.34,352.42,-10.648,26.983,29.007
82,2.733,589.85,367.2,-16.034,32.229,35.997
83,2.767,589.94,367.29,-20.327,34.452,40.002
84,2.8,590.24,367.61,-23.79,33.668,41.225
85,2.833,590.31,367.98,-26.51,30.945,40.748
86,2.867,590.46,368.4,-28.247,26.196,38.524
87,2.9,590.46,368.77,-28.864,19.389,34.772
88,2.933,589.95,369.27,-28.115,10.545,30.028
89,2.967,588.7,369.63,-26.163,-0.451,26.167
90,3.0,587.45,370.21,-23.076,-13.749,26.862
91,3.033,585.98,370.82,-18.751,-29.244,34.739
92,3.067,584.09,371.5,-15.395,-45.585,48.115
93,3.1,581.88,372.15,-15.765,-56.022,58.198
94,3.133,588.71,355.25,-19.434,-60.526,63.569
95,3.167,587.01,354.4,-30.147,-51.194,59.412
96,3.2,585.31,353.97,-41.014,-40.916,57.934
97,3.233,583.2,354.36,-52.397,-28.389,59.593
98,3.267,581.03,354.84,-58.998,-21.8,62.896
99,3.3,578.88,354.73,-64.304,-15.62,66.174
