frame,t_s,x_px,y_px,vx_px_s,vy_px_s,speed_px_s
117,3.9,514.91,513.64,-57.22,-13.488,58.789
118,3.933,511.17,513.66,-69.961,-18.903,72.47
119,3.967,510.09,513.82,-83.407,-25.285,87.156
120,4.0,508.11,513.16,-94.711,-28.797,98.992
121,4.033,502.12,513.23,-106.733,-34.838,112.274
122,4.067,497.74,512.31,-118.591,-41.328,125.586
123,4.1,494.27,510.85,-128.08,-48.745,137.042
124,4.133,492.98,507.35,-136.064,-55.624,146.995
125,4.167,488.44,504.77,-142.007,-61.605,154.794
126,4.2,483.03,502.19,-144.714,-67.49,159.678
127,4.233,477.88,500.3,-143.696,-71.601,160.547
128,4.267,472.87,498.21,-139.274,-74.968,158.169
129,4.3,467.37,495.36,-134.122,-77.347,154.827
130,4.333,462.18,493.23,-127.54,-78.311,149.664
131,4.367,457.01,492.17,-117.845,-76.519,140.508
132,4.4,451.31,488.33,-108.125,-71.669,129.721
133,4.433,447.24,486.97,-97.203,-63.255,115.972
134,4.467,445.79,486.39,-84.433,-52.211,99.272
135,4.5,439.79,476.18,-72.678,-41.255,83.57
136,4.533,440.2,477.56,-61.732,-30.55,68.877
137,4.567,441.25,476.13,-50.174,-21.415,54.553
138,4.6,442.17,476.91,-38.915,-14.729,41.609
139,4.633,440.68,476.82,-28.201,-10.814,30.203
140,4.667,440.42,476.1,-20.16,-8.379,21.832
141,4.7,440.24,477.38,-13.685,-7.851,15.777
142,4.733,439.33,475.84,-8.325,-8.407,11.832
143,4.767,436.78,477.64,-4.856,-10.531,11.596
144,4.8,436.89,480.21,-3.796,-14.238,14.735
145,4.833,436.24,482.9,-3.885,-20.509,20.874
146,4.867,435.98,482.23,-5.185,-29.056,29.515
147,4.9,436.88,481.49,-6.348,-38.81,39.326
148,4.933,436.38,477.34,-6.283,-48.369,48.775
149,4.967,435.13,471.6,-4.685,-57.858,58.048
150,5.0,436.12,468.73,-3.571,-68.015,68.109
151,5.033,436.01,465.17,0.22,-74.305,74.305
152,5.067,436.2,461.69,4.202,-79.395,79.506
153,5.1,436.82,459.55,6.988,-82.202,82.498
154,5.133,436.33,458.04,8.329,-83.231,83.647
155,5.167,436.49,455.91,8.652,-82.563,83.015
156,5.2,436.1,454.2,7.497,-80.348,80.697
157,5.233,434.98,450.75,5.044,-77.617,77.781
158,5.267,435.12,447.16,1.739,-72.939,72.96
159,5.3,436.91,443.31,-0.911,-66.086,66.092
160,5.333,437.58,443.05,-4.572,-60.39,60.563
161,5.367,439.34,443.3,-8.622,-56.444,57.099
162,5.4,439.51,440.99,-12.433,-53.763,55.181
163,5.433,439.05,439.22,-17.038,-54.268,56.88
164,5.467,437.01,435.91,-20.881,-56.125,59.883
165,5.5,436.65,433.06,-22.601,-59.399,63.554
166,5.533,435.13,433.33,-22.872,-64.56,68.491
167,5.567,432.81,430.46,-21.465,-71.579,74.728
168,5.6,431.62,428.11,-19.133,-79.413,81.685
169,5.633,429.97,424.57,-16.095,-89.065,90.508
170,5.667,429.62,421.47,-12.492,-100.772,101.543
171,5.7,429.54,419.47,-42.237,-84.448,94.422
172,5.733,429.21,417.66,-86.222,-55.942,102.78
173,5.767,428.99,415.71,-100.675,-69.917,122.572
174,5.8,428.08,408.4,-86.03,-98.999,131.156
175,5.833,429.05,404.16,-48.902,-137.195,145.65
176,5.867,430.57,397.69,5.767,-181.558,181.65
177,5.9,431.45,390.09,71.795,-229.211,240.193
178,5.933,434.18,384.3,143.648,-275.701,310.879
179,5.967,435.89,376.88,218.484,-318.837,386.513
180,6.0,436.18,371.82,293.436,-354.888,460.49
181,6.033,435.29,365.92,364.334,-382.361,528.147
182,6.067,434.01,361.55,429.596,-388.575,579.261
183,6.1,433.33,356.22,487.159,-393.203,626.045
184,6.133,431.8,353.03,533.227,-395.275,663.758
185,6.167,431.01,351.42,565.941,-392.917,688.965
186,6.2,522.84,269.75,583.185,-385.186,698.908
187,6.233,614.68,188.08,581.616,-372.562,690.71
188,6.267,629.4,225.11,562.104,-355.234,664.945
189,6.3,634.06,227.07,529.189,-334.007,625.781
190,6.333,638.34,228.18,483.657,-306.91,572.816
191,6.367,641.64,228.72,427.519,-276.183,508.969
192,6.4,644.85,229.62,362.086,-241.888,435.449
193,6.433,650.83,229.84,289.112,-204.595,354.182
194,6.467,654.27,230.4,211.153,-166.806,269.09
195,6.5,656.8,228.96,132.167,-129.415,184.976
196,6.533,658.56,227.05,56.282,-95.679,111.005
197,6.567,656.98,187.63,-10.126,-67.511,68.266
198,6.6,653.28,186.02,-60.932,-48.602,77.941
199,6.633,650.45,185.44,-89.886,-41.699,99.087
200,6.667,647.73,185.11,-88.503,-51.504,102.399
201,6.7,645.37,184.51,-49.337,-83.257,96.778
202,6.733,649.75,184.66,-20.345,-93.38,95.57
203,6.767,655.63,184.52,-19.041,-64.029,66.8
204,6.8,654.43,184.48,-19.892,-46.338,50.427
205,6.833,654.84,184.32,-19.065,-28.788,34.529
206,6.867,652.44,184.27,-16.881,-12.172,20.812
207,6.9,650.06,184.04,-12.717,2.297,12.923
208,6.933,649.84,183.75,-7.489,13.551,15.483
209,6.967,648.82,183.85,-3.529,20.393,20.696
210,7.0,647.56,183.9,-0.971,21.064,21.086
211,7.033,648.3,184.18,-0.182,15.026,15.027
212,7.067,648.2,184.04,-1.259,1.132,1.693
213,7.1,648.52,184.03,-3.09,0.796,3.191
214,7.133,649.54,183.94,-4.51,0.834,4.586
215,7.167,649.07,183.92,-4.878,0.977,4.975
216,7.2,648.77,184.07,-3.947,1.265,4.145
217,7.233,649.12,184.26,-0.951,1.649,1.904
218,7.267,649.61,184.09,2.129,1.962,2.895
219,7.3,650.58,184.12,2.282,2.391,3.305
220,7.333,650.63,184.17,2.023,2.553,3.257
221,7.367,650.82,184.17,0.333,2.775,2.795
222,7.4,649.47,184.89,-0.758,2.93,3.027
223,7.433,648.84,184.77,-1.913,3.127,3.665
224,7.467,648.33,184.69,-3.313,3.498,4.818
225,7.5,648.35,184.63,-4.739,3.34,5.798
226,7.533,648.48,184.55,-4.912,3.084,5.8
227,7.567,648.04,184.72,-4.101,2.605,4.858
228,7.6,647.94,185.22,-1.224,2.074,2.408
229,7.633,648.6,185.39,2.426,1.636,2.926
230,7.667,648.69,185.5,6.235,1.284,6.366
231,7.7,649.9,185.3,11.466,0.955,11.506
232,7.733,651.24,185.6,17.25,0.618,17.262
233,7.767,649.56,185.56,23.341,0.143,23.342
234,7.8,649.64,185.22,28.889,-0.315,28.89
235,7.833,650.04,185.56,33.305,-0.7,33.313
236,7.867,651.02,185.32,35.547,-1.015,35.561
237,7.9,650.67,185.14,35.936,-1.432,35.965
238,7.933,653.02,184.85,34.822,-2.005,34.879
239,7.967,654.95,184.29,32.027,-2.362,32.114
240,8.0,658.39,184.99,27.568,-2.681,27.698
241,8.033,660.85,185.02,21.972,-2.441,22.107
242,8.067,662.25,185.08,15.566,-1.642,15.652
243,8.1,661.43,185.23,8.727,-0.741,8.759
244,8.133,662.1,184.98,0.29,-0.035,0.293
245,8.167,662.66,184.8,-9.265,0.607,9.285
246,8.2,660.91,184.72,-19.465,1.097,19.496
247,8.233,659.79,184.51,-29.925,1.585,29.967
248,8.267,657.31,184.5,-41.401,2.19,41.459
249,8.3,654.97,184.63,-51.478,2.318,51.53
250,8.333,651.71,184.61,-60.103,1.999,60.136
251,8.367,650.49,184.64,-67.818,1.496,67.835
252,8.4,647.9,185.34,-74.322,1.029,74.329
253,8.433,645.93,185.52,-78.612,0.973,78.618
254,8.467,644.06,185.64,-80.834,1.187,80.843
255,8.5,642.57,186.32,-80.489,1.674,80.507
256,8.533,639.76,185.92,-80.2,1.624,80.216
257,8.567,635.91,185.3,-79.785,1.35,79.797
258,8.6,631.55,185.2,-79.782,0.832,79.786
259,8.633,629.93,185.24,-78.796,-0.027,78.796
260,8.667,627.48,185.12,-77.49,-1.048,77.497
261,8.7,625.45,185.14,-76.622,-2.127,76.652
262,8.733,621.96,185.16,-77.309,-3.155,77.373
263,8.767,620.17,184.14,-78.347,-3.999,78.449
264,8.8,617.45,184.5,-79.315,-4.809,79.461
265,8.833,614.03,185.54,-78.658,-5.687,78.863
266,8.867,612.47,185.6,-77.444,-6.264,77.697
267,8.9,610.85,185.7,-75.801,-6.59,76.087
268,8.933,609.8,184.8,-72.791,-6.907,73.118
269,8.967,606.91,184.01,-69.084,-6.918,69.43
270,9.0,602.28,183.44,-66.286,-6.834,66.637
271,9.033,600.35,183.3,-64.572,-6.952,64.945
272,9.067,597.77,183.0,-62.873,-6.89,63.25
273,9.1,596.45,182.72,-60.263,-6.411,60.603
274,9.133,594.09,182.54,-57.94,-5.552,58.205
275,9.167,590.8,182.5,-55.428,-4.692,55.626
276,9.2,587.71,182.43,-51.577,-3.752,51.714
277,9.233,589.45,182.19,-45.437,-2.986,45.535
278,9.267,588.96,181.94,-37.634,-2.187,37.698
279,9.3,589.46,182.02,-28.135,-0.928,28.151
280,9.333,586.62,182.45,-18.424,0.248,18.425
281,9.367,587.2,182.51,-7.277,1.021,7.348
282,9.4,586.39,182.83,4.13,1.517,4.399
283,9.433,584.38,182.97,15.304,1.937,15.426
284,9.467,582.49,182.79,25.447,2.55,25.574
285,9.5,583.78,182.99,33.518,3.335,33.683
286,9.533,585.52,183.06,40.522,4.5,40.771
287,9.567,586.72,183.27,45.713,6.06,46.113
288,9.6,587.61,183.39,49.11,8.117,49.776
289,9.633,593.63,183.11,50.234,10.463,51.312
290,9.667,598.02,183.38,50.833,13.279,52.539
291,9.7,601.36,183.67,52.343,16.297,54.821
292,9.733,601.63,184.51,54.02,19.383,57.393
293,9.767,604.02,185.01,52.932,22.799,57.633
294,9.8,603.78,186.02,51.489,26.65,57.977
295,9.833,606.7,187.23,49.617,30.785,58.391
296,9.867,607.55,188.22,49.676,35.104,60.827
297,9.9,607.98,189.72,49.224,38.141,62.272
298,9.933,607.86,190.67,50.268,40.477,64.539
299,9.967,606.82,192.16,53.439,42.424,68.231
300,10.0,608.78,194.13,60.228,44.56,74.92
301,10.033,611.31,195.93,66.565,46.306,81.087
302,10.067,613.64,197.45,74.089,48.393,88.493
303,10.1,617.33,198.87,82.002,50.307,96.203
304,10.133,621.93,200.8,89.943,52.147,103.967
305,10.167,624.69,202.28,95.791,53.633,109.783
306,10.2,625.89,204.1,99.085,55.238,113.442
307,10.233,629.74,206.27,99.786,56.73,114.784
308,10.267,636.4,208.09,99.497,58.449,115.395
309,10.3,640.9,209.65,96.24,60.897,113.888
310,10.333,644.66,210.93,91.379,63.265,111.142
311,10.367,646.97,211.39,84.839,65.825,107.381
312,10.4,651.54,215.37,77.138,68.357,103.068
313,10.433,653.2,218.54,70.863,71.303,100.527
314,10.467,654.8,221.49,65.788,74.226,99.184
315,10.5,653.08,223.64,63.034,76.716,99.291
316,10.533,656.9,226.74,61.553,78.396,99.673
317,10.567,656.58,228.33,61.156,79.045,99.94
318,10.6,657.78,230.66,61.905,78.548,100.01
319,10.633,660.55,232.8,64.043,77.644,100.648
320,10.667,662.04,236.43,66.157,75.916,100.698
321,10.7,664.29,239.08,69.939,74.973,102.53
322,10.733,666.54,242.66,75.008,73.777,105.21
323,10.767,668.18,245.3,79.692,71.967,107.378
324,10.8,672.35,247.06,82.215,70.664,108.41
325,10.833,677.78,249.97,83.334,69.894,108.764
326,10.867,681.32,252.02,82.5,70.007,108.2
327,10.9,686.51,254.66,79.539,71.877,107.205
328,10.933,687.23,255.44,73.848,74.365,104.804
329,10.967,689.17,257.2,67.164,76.846,102.06
330,11.0,690.86,259.25,59.187,79.313,98.963
331,11.033,692.67,261.53,51.935,82.425,97.423
332,11.067,694.56,264.52,43.218,85.372,95.688
333,11.1,696.91,268.68,36.043,89.855,96.815
334,11.133,697.11,272.17,30.644,95.82,100.601
335,11.167,698.29,276.77,26.262,102.544,105.853
336,11.2,696.42,278.69,23.784,109.139,111.701
337,11.233,696.41,282.6,23.07,110.778,113.155
338,11.267,697.46,287.64,25.027,114.895,117.589
339,11.3,698.47,291.15,29.396,119.706,123.263
340,11.333,698.44,295.24,34.368,126.122,130.72
341,11.367,699.27,299.58,39.177,134.204,139.806
342,11.4,702.12,303.98,43.038,142.039,148.416
343,11.433,704.09,307.45,44.46,148.657,155.163
344,11.467,704.93,312.63,45.34,155.922,162.38
345,11.5,706.77,318.27,45.249,162.78,168.952
346,11.533,709.38,323.69,44.67,169.742,175.521
347,11.567,712.62,330.27,43.27,177.076,182.286
348,11.6,714.64,334.95,40.771,184.723,189.169
349,11.633,715.79,338.64,37.357,192.525,196.115
350,11.667,717.29,343.64,34.052,201.844,204.696
351,11.7,718.47,348.64,29.818,207.3,209.434
352,11.733,719.52,367.5,26.365,209.603,211.254
353,11.767,718.24,371.53,23.273,207.475,208.776
354,11.8,717.6,378.82,20.303,201.05,202.073
355,11.833,717.71,384.47,17.622,191.464,192.273
356,11.867,716.46,387.07,16.004,177.845,178.564
357,11.9,717.27,392.98,15.594,160.507,161.263
358,11.933,718.58,400.12,15.34,140.654,141.488
359,11.967,720.05,405.11,15.124,119.884,120.834
360,12.0,721.66,411.49,15.838,98.245,99.513
361,12.033,722.48,416.58,16.631,75.92,77.721
362,12.067,723.71,420.4,17.385,54.327,57.04
363,12.1,725.36,422.49,17.613,34.218,38.485
364,12.133,725.56,421.33,17.678,16.63,24.271
365,12.167,724.98,413.56,17.75,3.602,18.112
366,12.2,725.29,412.41,17.362,-4.97,18.059
367,12.233,725.6,411.78,16.271,-7.748,18.022
368,12.267,726.04,412.32,14.077,-12.681,18.946
369,12.3,726.41,411.51,12.097,-13.173,17.885
370,12.333,726.75,409.77,10.36,-11.109,15.19
371,12.367,727.12,410.24,8.913,-7.143,11.423
372,12.4,726.94,411.63,8.502,0.298,8.507
373,12.433,726.79,412.45,8.686,9.342,12.756
374,12.467,727.46,413.03,8.69,17.366,19.419
375,12.5,727.62,414.04,8.972,25.449,26.984
376,12.533,729.0,416.4,8.984,31.775,33.02
377,12.567,729.89,418.25,8.986,36.024,37.128
378,12.6,730.43,418.79,8.871,37.15,38.195
379,12.633,730.46,420.58,8.067,35.665,36.566
380,12.667,730.27,421.33,7.018,34.255,34.967
381,12.7,730.02,423.2,5.955,34.247,34.761
382,12.733,729.89,424.08,4.859,32.744,33.103
383,12.767,730.27,425.67,3.751,28.588,28.833
384,12.8,730.46,425.04,2.926,21.166,21.367
385,12.833,730.7,423.92,2.245,11.048,11.274
386,12.867,730.48,424.21,1.96,1.955,2.769
387,12.9,730.7,423.84,1.931,-6.83,7.098
388,12.933,730.36,423.3,2.588,-14.442,14.672
389,12.967,731.25,425.46,3.548,-21.278,21.572
390,13.0,730.87,425.86,4.469,-26.544,26.918
391,13.033,731.05,426.37,5.15,-29.915,30.355
392,13.067,731.24,425.86,4.85,-31.66,32.03
393,13.1,730.96,426.03,3.556,-32.072,32.269
394,13.133,730.83,424.26,1.652,-31.644,31.687
395,13.167,730.85,416.94,-0.403,-30.846,30.848
396,13.2,731.59,412.88,-2.065,-29.358,29.431
397,13.233,731.98,409.58,-3.568,-27.595,27.825
398,13.267,732.56,409.0,-5.314,-26.149,26.683
399,13.3,732.4,410.15,-6.868,-25.625,26.529
400,13.333,732.47,414.15,-8.164,-24.238,25.576
401,13.367,731.83,414.06,-9.471,-22.622,24.525
402,13.4,731.08,414.98,-10.823,-21.121,23.733
403,13.433,729.57,413.77,-11.53,-17.651,21.083
404,13.467,728.67,414.35,-11.884,-13.801,18.212
405,13.5,727.49,414.33,-12.258,-11.306,16.676
406,13.533,727.16,413.58,-12.098,-9.655,15.479
407,13.567,727.24,411.4,-11.592,-9.019,14.687
408,13.6,727.83,409.03,-10.883,-9.947,14.744
409,13.633,728.11,408.6,-9.265,-11.957,15.127
410,13.667,728.05,407.88,-7.348,-15.548,17.197
411,13.7,727.06,407.27,-5.27,-17.155,17.946
412,13.733,726.6,405.83,-3.31,-16.677,17.002
413,13.767,727.34,406.11,-1.596,-14.231,14.321
414,13.8,726.92,406.9,-0.393,-10.6,10.607
415,13.833,726.39,405.9,0.381,-6.206,6.218
