scorer,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210
bodyparts,nose,nose,nose,head,head,head,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,body_center,body_center,body_center,left_forepaw,left_forepaw,left_forepaw,right_forepaw,right_forepaw,right_forepaw,left_hindpaw,left_hindpaw,left_hindpaw,right_hindpaw,right_hindpaw,right_hindpaw,tail_base,tail_base,tail_base
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,549.1920518,356.9032666,0.9578925,562.5907518,360.2344766,1.0000000,562.6669518,370.2502266,0.9723692,567.1305518,351.9360266,0.9478119,616.7870518,360.1643266,1.0000000,587.4605918,376.3109266,0.7963108,586.7132118,351.4716566,0.9154730,624.6437518,381.8681466,0.8711574,629.6093918,347.5775866,0.6584229,653.2677118,359.1356966,0.6397030
1,548.1754796,354.2121567,0.9997858,560.4172945,358.4501704,0.9562512,560.0718503,368.3743188,0.9683565,565.5200562,350.2866306,0.9077884,616.0184120,359.9767964,1.0000000,584.1559182,374.7226183,0.7815597,584.1045695,351.0563908,0.9001226,623.4160590,382.5805054,0.9264483,627.9798138,347.3305904,0.6652372,657.4648528,356.9059976,0.7664584
2,546.8979498,352.1473917,1.0000000,558.9716172,356.8783627,0.9603064,557.7078339,365.6470143,0.9182982,563.5498381,349.2396258,0.8979912,613.6439869,359.3311474,1.0000000,581.5368679,373.0613920,0.7567140,582.3320537,350.4803203,0.8415176,621.0329025,381.5874256,0.9072723,625.8509675,344.1735468,0.7120003,656.6086928,356.2159860,0.8231972
3,543.3909944,350.3608783,1.0000000,555.8095144,355.4620589,0.9901234,554.6082496,364.7853202,0.9078662,560.3979520,347.6594224,0.8864982,609.7579343,358.2757522,1.0000000,578.6896979,373.4710478,0.7830368,578.2556416,349.3298961,0.8203731,616.7939029,380.8711902,0.8789135,622.0766427,343.7847520,0.7891008,653.2053909,356.4865682,0.7949844
4,540.7052423,347.5686622,1.0000000,553.2262257,354.6141175,0.9998084,552.7295643,364.9748125,0.9685997,558.6055050,349.1883263,0.9095074,606.2691037,357.6992920,1.0000000,578.7749066,372.9431777,0.6700553,577.0965031,348.6223439,0.7972355,609.5932834,377.3932261,0.6868363,619.2864287,342.4939124,0.8986297,645.8946349,361.4150913,0.8210698
5,541.6120340,346.8321885,0.9815352,553.1178892,353.3522509,1.0000000,552.1483126,363.0945960,0.9992335,558.0923818,347.6820882,0.9525499,604.0167096,357.6959211,0.9247674,577.9231837,373.5006093,0.6480268,577.8831614,348.5150334,0.8111117,599.8949240,376.6383384,0.7008075,617.9392629,341.6540877,0.9393632,641.6683483,362.6222615,0.9227693
6,542.0458696,345.8258847,0.9964046,553.2523972,353.0585559,1.0000000,551.3202016,362.9542331,1.0000000,558.3621529,346.9980337,0.9908264,602.1957717,358.1959767,0.9677971,575.1379688,374.2167639,0.7317744,576.4379018,348.1806336,0.8630939,606.5721216,375.3407226,0.6614191,617.4287492,342.4647921,0.9890588,640.3900326,364.4535580,0.9452463
7,544.4537797,342.2229398,0.9139626,553.3662063,351.9426287,0.9581041,549.9644325,360.9185846,0.9593251,559.6928461,347.4609878,0.9281259,599.9758642,358.5714088,0.9834245,570.6952255,374.1763182,0.6845778,574.0741897,346.4904880,0.8534425,606.1677325,374.8396142,0.6157451,617.7994104,343.6840392,0.9560366,636.3966339,365.3383560,0.9516392
