behaviour,bout,start_frame,end_frame,start_s,end_s,duration_s
grooming,1,79,89,2.63,2.97,0.33
rearing,1,187,247,6.23,8.23,2.0
rearing,2,300,311,10.0,10.37,0.37
rearing,3,413,454,13.77,15.13,1.37
rearing,4,686,705,22.87,23.5,0.63
grooming,2,706,720,23.53,24.0,0.47
rearing,5,876,961,29.2,32.03,2.83
grooming,3,964,1019,32.13,33.97,1.83
grooming,4,1243,1256,41.43,41.87,0.43
grooming,5,1485,1502,49.5,50.07,0.57
grooming,6,1605,1620,53.5,54.0,0.5
rearing,6,1632,1651,54.4,55.03,0.63
rearing,7,1926,1941,64.2,64.7,0.5
grooming,7,1945,1991,64.83,66.37,1.53
rearing,8,2153,2197,71.77,73.23,1.47
rearing,9,2224,2298,74.13,76.6,2.47
grooming,8,2402,2515,80.07,83.83,3.77
rearing,10,2518,2587,83.93,86.23,2.3
grooming,9,2603,2657,86.77,88.57,1.8
rearing,11,2783,2793,92.77,93.1,0.33
grooming,10,2919,2928,97.3,97.6,0.3
grooming,11,2967,3027,98.9,100.9,2.0
rearing,12,3085,3107,102.83,103.57,0.73
rearing,13,3153,3269,105.1,108.97,3.87
grooming,12,3292,3314,109.73,110.47,0.73
grooming,13,3341,3362,111.37,112.07,0.7
grooming,14,3420,3510,114.0,117.0,3.0
grooming,15,3537,3595,117.9,119.83,1.93
rearing,14,3657,3668,121.9,122.27,0.37
grooming,16,3700,3743,123.33,124.77,1.43
grooming,17,3785,3796,126.17,126.53,0.37
grooming,18,3825,3859,127.5,128.63,1.13
grooming,19,3949,3959,131.63,131.97,0.33
rearing,15,3989,4013,132.97,133.77,0.8
rearing,16,4100,4124,136.67,137.47,0.8
rearing,17,4148,4193,138.27,139.77,1.5
grooming,20,4321,4385,144.03,146.17,2.13
rearing,18,4397,4441,146.57,148.03,1.47
grooming,21,4723,4738,157.43,157.93,0.5
rearing,19,4770,4779,159.0,159.3,0.3
grooming,22,4782,4802,159.4,160.07,0.67
