behaviour,bout,start_frame,end_frame,start_s,end_s,duration_s
rearing,1,209,223,6.97,7.43,0.47
rearing,2,260,277,8.67,9.23,0.57
rearing,3,315,547,10.5,18.23,7.73
rearing,4,736,768,24.53,25.6,1.07
grooming,1,1751,1809,58.37,60.3,1.93
rearing,5,2064,2087,68.8,69.57,0.77
rearing,6,2141,2150,71.37,71.67,0.3
rearing,7,2600,2638,86.67,87.93,1.27
rearing,8,2674,2702,89.13,90.07,0.93
grooming,2,2874,2901,95.8,96.7,0.9
rearing,9,2961,3029,98.7,100.97,2.27
rearing,10,3184,3205,106.13,106.83,0.7
rearing,11,3354,3530,111.8,117.67,5.87
rearing,12,3654,3701,121.8,123.37,1.57
rearing,13,3756,3820,125.2,127.33,2.13
rearing,14,4254,4330,141.8,144.33,2.53
rearing,15,4420,4430,147.33,147.67,0.33
rearing,16,4730,4757,157.67,158.57,0.9
grooming,3,4747,4776,158.23,159.2,0.97
rearing,17,4777,4788,159.23,159.6,0.37
rearing,18,4815,4844,160.5,161.47,0.97
rearing,19,4969,5050,165.63,168.33,2.7
rearing,20,5077,5142,169.23,171.4,2.17
