behaviour,bout,start_frame,end_frame,start_s,end_s,duration_s
rearing,1,37,132,1.23,4.4,3.17
rearing,2,256,311,8.53,10.37,1.83
rearing,3,332,348,11.07,11.6,0.53
rearing,4,420,445,14.0,14.83,0.83
rearing,5,576,603,19.2,20.1,0.9
rearing,6,751,763,25.03,25.43,0.4
rearing,7,792,901,26.4,30.03,3.63
rearing,8,1319,1356,43.97,45.2,1.23
rearing,9,1373,1417,45.77,47.23,1.47
grooming,1,1867,1946,62.23,64.87,2.63
rearing,10,1947,1978,64.9,65.93,1.03
rearing,11,1998,2025,66.6,67.5,0.9
grooming,2,2681,2694,89.37,89.8,0.43
rearing,12,2781,2805,92.7,93.5,0.8
grooming,3,2930,2947,97.67,98.23,0.57
grooming,4,2970,2986,99.0,99.53,0.53
rearing,13,2996,3055,99.87,101.83,1.97
rearing,14,3159,3171,105.3,105.7,0.4
grooming,5,3247,3326,108.23,110.87,2.63
rearing,15,3315,3329,110.5,110.97,0.47
rearing,16,3497,3542,116.57,118.07,1.5
rearing,17,3585,3597,119.5,119.9,0.4
grooming,6,3721,3769,124.03,125.63,1.6
grooming,7,3877,3903,129.23,130.1,0.87
rearing,18,3913,3942,130.43,131.4,0.97
rearing,19,3984,4055,132.8,135.17,2.37
grooming,8,4108,4149,136.93,138.3,1.37
rearing,20,4219,4260,140.63,142.0,1.37
grooming,9,4365,4380,145.5,146.0,0.5
rearing,21,4381,4394,146.03,146.47,0.43
grooming,10,4400,4409,146.67,146.97,0.3
grooming,11,4428,4495,147.6,149.83,2.23
grooming,12,4733,4761,157.77,158.7,0.93
rearing,22,4771,4889,159.03,162.97,3.93
grooming,13,5006,5018,166.87,167.27,0.4
grooming,14,5202,5260,173.4,175.33,1.93
rearing,23,5222,5257,174.07,175.23,1.17
