subject_id,cohort,group,bout,start_s,duration_s,median_x,median_y,zone
MA6_3,MA6,Grapefruit,8,64.6,1.0,483.4,512.1,wall
MA6_3,MA6,Grapefruit,9,78.37,2.4,429.4,243.4,center
MA6_3,MA6,Grapefruit,10,83.03,2.5,549.1,205.2,center
MA6_3,MA6,Grapefruit,11,104.17,1.7,700.8,195.2,center
MA6_3,MA6,Grapefruit,12,106.4,0.6,711.7,198.1,center
MA6_3,MA6,Grapefruit,13,110.77,5.37,463.1,186.8,center
MA6_3,MA6,Grapefruit,14,117.53,1.5,431.8,265.5,center
MA6_3,MA6,Grapefruit,15,120.47,0.3,457.0,252.1,center
MA6_3,MA6,Grapefruit,16,125.2,1.1,705.3,218.3,center
MA6_3,MA6,Grapefruit,17,128.13,3.1,746.5,454.6,center
MA6_3,MA6,Grapefruit,18,135.63,0.9,707.3,480.1,center
MA6_3,MA6,Grapefruit,19,138.8,0.33,606.2,426.5,center
MA6_3,MA6,Grapefruit,20,141.13,3.47,524.9,468.6,center
MA6_3,MA6,Grapefruit,21,147.13,0.57,424.7,317.8,center
MA6_3,MA6,Grapefruit,22,156.3,3.9,672.4,186.7,center
MA6_3,MA6,Grapefruit,23,161.6,1.33,680.0,186.8,center
MA6_3,MA6,Grapefruit,24,163.97,4.43,693.1,189.2,center
MA6_3,MA6,Grapefruit,25,173.87,3.43,728.3,210.6,center
MA6_4,MA6,Grapefruit,1,1.23,3.17,736.6,463.0,center
MA6_4,MA6,Grapefruit,2,8.53,1.83,430.8,316.9,center
MA6_4,MA6,Grapefruit,3,11.07,0.53,448.0,327.0,center
MA6_4,MA6,Grapefruit,4,14.0,0.83,471.9,466.0,center
MA6_4,MA6,Grapefruit,5,19.2,0.9,731.6,434.2,center
MA6_4,MA6,Grapefruit,6,25.03,0.4,727.7,235.3,center
MA6_4,MA6,Grapefruit,7,26.4,3.63,667.4,215.4,center
MA6_4,MA6,Grapefruit,8,43.97,1.23,601.8,223.9,center
MA6_4,MA6,Grapefruit,9,45.77,1.47,619.2,219.2,center
MA6_4,MA6,Grapefruit,10,64.9,1.03,720.2,208.7,center
MA6_4,MA6,Grapefruit,11,66.6,0.9,725.7,225.6,center
MA6_4,MA6,Grapefruit,12,92.7,0.8,431.0,311.2,center
MA6_4,MA6,Grapefruit,13,99.87,1.97,436.5,270.8,center
MA6_4,MA6,Grapefruit,14,105.3,0.4,435.3,267.4,center
MA6_4,MA6,Grapefruit,15,110.5,0.47,431.5,264.8,center
MA6_4,MA6,Grapefruit,16,116.57,1.5,431.6,275.5,center
MA6_4,MA6,Grapefruit,17,119.5,0.4,433.9,268.0,center
MA6_4,MA6,Grapefruit,18,130.43,0.97,424.9,261.5,center
MA6_4,MA6,Grapefruit,19,132.8,2.37,435.6,250.7,center
MA6_4,MA6,Grapefruit,20,140.63,1.37,434.6,247.8,center
MA6_4,MA6,Grapefruit,21,146.03,0.43,434.3,248.7,center
MA6_4,MA6,Grapefruit,22,159.03,3.93,440.2,328.1,center
MA6_4,MA6,Grapefruit,23,174.07,1.17,434.2,325.8,center
MA6_5,MA6,Grapefruit,1,4.6,5.2,714.6,233.0,center
MA6_5,MA6,Grapefruit,2,17.3,1.6,415.4,271.5,wall
MA6_5,MA6,Grapefruit,3,22.7,0.63,438.6,242.5,center
MA6_5,MA6,Grapefruit,4,25.6,0.5,675.5,195.4,center
MA6_5,MA6,Grapefruit,5,28.07,1.97,743.8,249.3,center
MA6_5,MA6,Grapefruit,6,31.17,6.47,576.1,206.3,center
MA6_5,MA6,Grapefruit,7,42.63,1.03,428.1,429.5,center
MA6_5,MA6,Grapefruit,8,46.87,0.53,497.4,474.4,center
MA6_5,MA6,Grapefruit,9,48.4,0.83,658.7,494.8,center
MA6_5,MA6,Grapefruit,10,51.23,1.77,672.3,464.1,center
MA6_5,MA6,Grapefruit,11,54.17,2.0,574.3,500.7,center
MA6_5,MA6,Grapefruit,12,61.8,1.97,442.3,433.2,center
MA6_5,MA6,Grapefruit,13,81.1,1.13,661.1,186.5,center
MA6_5,MA6,Grapefruit,14,95.8,0.3,481.0,271.0,center
MA6_5,MA6,Grapefruit,15,106.2,1.37,678.9,186.7,center
MA6_5,MA6,Grapefruit,16,109.67,10.23,708.3,212.0,center
MA6_5,MA6,Grapefruit,17,139.5,3.93,490.4,234.2,center
MA6_5,MA6,Grapefruit,18,152.47,1.0,640.1,491.0,center
MA6_5,MA6,Grapefruit,19,160.7,3.17,724.2,260.5,center
