subject_id,cohort,group,pct_periphery,pct_center,center_entries,total_distance_px,mean_speed_px_s,spatial_entropy,pct_freeze,freeze_bout_count,rear_count,rear_total_s,rear_pct,rear_mean_bout_s,rear_rate_per_min,rear_early_frac,groom_count,groom_total_s,groom_pct,groom_mean_bout_s,groom_bout_cv,groom_early_frac,rear_groom_ratio,rear_per_100px,comfort_ratio,pc1_score,pc2_score
MA3_1,MA3,Aspartame,90.72,9.28,13.0,5234.9,30.0,0.6705,6.16,12.0,16.0,42.81,24.5,2.675625,5.491990846681922,0.4720859612240131,11.0,12.66,7.24,1.1509090909090909,1.4883616941565447,0.608214849921011,3.381516587677725,0.3056409864562838,1.3642241379310347,-0.40519497055399323,0.5570295042883256
MA3_2,MA3,Aspartame,67.83,32.17,10.0,4990.7,29.75,0.787,3.29,8.0,9.0,12.66,7.53,1.4066666666666667,3.214285714285714,0.13902053712480256,11.0,12.63,7.52,1.1481818181818182,0.7182339973949963,0.4615993665874901,1.002375296912114,0.1803354238884325,0.392601802921977,0.9069759180154982,-3.200287646819349
MA3_3,MA3,Aspartame,88.96,11.04,11.0,4720.1,29.5,0.7378,8.54,16.0,19.0,24.74,15.45,1.3021052631578947,7.12054965646471,0.5889248181083266,22.0,26.45,16.52,1.2022727272727272,0.774461025928513,0.4245746691871456,0.9353497164461247,0.4025338446219359,2.3958333333333335,1.445826997074204,0.260399774142625
MA4_1,MA4,Aspartame,87.77,12.23,11.0,6138.5,35.22,0.7808,4.38,11.0,20.0,52.57,30.13,2.6285,6.876790830945559,0.6560776108046414,9.0,8.84,5.07,0.982222222222222,0.9538768487423815,0.12104072398190048,5.9468325791855206,0.32581249490917974,0.722812755519215,-1.5258479167154637,1.4540088880771092
MA4_2,MA4,Aspartame,78.85,21.15,15.0,4122.4,23.22,0.6016,6.78,18.0,8.0,9.28,5.23,1.1600000000000001,2.702702702702703,0.3114224137931034,20.0,27.53,15.5,1.3765,0.7453179714372343,0.2564475118053033,0.337086814384308,0.19406171162429656,1.3016548463356976,3.18083894431083,-2.349119373586417
MA4_3,MA4,Aspartame,82.77,17.23,14.0,5235.1,32.86,0.73,1.61,5.0,16.0,40.39,25.31,2.524375,6.015037593984963,0.4701658826442188,9.0,4.69,2.94,0.5211111111111112,0.3945657659411652,0.4968017057569296,8.611940298507463,0.30562930985081466,0.2721996517701683,-2.323678825945832,-0.019268877972666403
MA4_4,MA4,Aspartame,74.93,25.07,13.0,7895.3,46.14,0.8369,1.26,3.0,20.0,35.62,20.78,1.7810000000000001,7.001166861143524,0.3680516563728242,3.0,3.8,2.22,1.2666666666666666,0.37098730294629817,0.5078947368421053,9.373684210526315,0.25331526351120287,0.15157558835261267,-3.08887389210685,-0.9014819517459788
MA4_5,MA4,Aspartame,60.65,39.35,15.0,5752.4,33.07,0.704,2.1,4.0,10.0,28.66,16.45,2.8660000000000005,3.444316877152698,0.5101186322400557,12.0,12.27,7.04,1.0224999999999997,0.8739261005300246,0.3096984515077425,2.3357783211083945,0.17384048397190738,0.3118170266836086,-0.05721724262226138,-2.224586078346658
MA7_1,MA7,Aspartame+Grapefruit,64.09,35.91,21.0,6362.7,37.33,0.8203,3.42,8.0,23.0,38.21,22.41,1.661304347826087,8.093841642228739,0.36142371107040044,17.0,29.44,17.26,1.7317647058823529,1.1658754741857693,0.5200407608695653,1.2978940217391304,0.3614817608876735,0.8198273461431357,-0.46824451660001704,-0.5439584280779264
MA7_2,MA7,Aspartame+Grapefruit,80.8,19.2,17.0,7876.0,44.64,0.8289,5.2,9.0,19.0,30.75,17.37,1.618421052631579,6.440677966101695,0.41235772357723577,22.0,24.3,13.73,1.1045454545454545,0.837279383524778,0.44156378600823043,1.2654320987654322,0.24123920771965465,1.265625,-0.6018616254784384,-1.1032712800768794
