behaviour,bout,start_frame,end_frame,start_s,end_s,duration_s
grooming,1,29,56,0.97,1.87,0.9
rearing,1,221,255,7.37,8.5,1.13
grooming,2,323,359,10.77,11.97,1.2
rearing,2,442,481,14.73,16.03,1.3
rearing,3,576,587,19.2,19.57,0.37
grooming,3,746,768,24.87,25.6,0.73
grooming,4,804,821,26.8,27.37,0.57
grooming,5,837,846,27.9,28.2,0.3
grooming,6,881,904,29.37,30.13,0.77
grooming,7,1049,1079,34.97,35.97,1.0
grooming,8,1149,1161,38.3,38.7,0.4
rearing,4,1269,1284,42.3,42.8,0.5
rearing,5,1500,1553,50.0,51.77,1.77
grooming,9,1680,1694,56.0,56.47,0.47
grooming,10,1721,1737,57.37,57.9,0.53
rearing,6,1843,1893,61.43,63.1,1.67
rearing,7,2018,2053,67.27,68.43,1.17
rearing,8,2234,2266,74.47,75.53,1.07
rearing,9,2289,2317,76.3,77.23,0.93
grooming,11,2349,2359,78.3,78.63,0.33
grooming,12,2409,2500,80.3,83.33,3.03
grooming,13,2556,2571,85.2,85.7,0.5
rearing,10,2598,2658,86.6,88.6,2.0
rearing,11,2686,2709,89.53,90.3,0.77
grooming,14,2805,2825,93.5,94.17,0.67
rearing,12,3009,3152,100.3,105.07,4.77
rearing,13,3578,3645,119.27,121.5,2.23
rearing,14,3694,3744,123.13,124.8,1.67
grooming,15,3705,3837,123.5,127.9,4.4
rearing,15,3950,3974,131.67,132.47,0.8
grooming,16,3980,4013,132.67,133.77,1.1
rearing,16,4059,4140,135.3,138.0,2.7
grooming,17,4187,4236,139.57,141.2,1.63
grooming,18,4252,4287,141.73,142.9,1.17
grooming,19,4499,4519,149.97,150.63,0.67
grooming,20,4549,4587,151.63,152.9,1.27
grooming,21,4698,4735,156.6,157.83,1.23
rearing,17,4841,4903,161.37,163.43,2.07
grooming,22,5060,5103,168.67,170.1,1.43
rearing,18,5177,5192,172.57,173.07,0.5
rearing,19,5210,5310,173.67,177.0,3.33
