frame,t_s,x_px,y_px,vx_px_s,vy_px_s,speed_px_s
0,0.0,602.91,386.95,-51.001,38.609,63.967
1,0.033,600.39,389.72,-47.995,36.847,60.508
2,0.067,597.25,394.43,-44.983,35.005,56.998
3,0.1,595.71,395.37,-41.966,33.083,53.438
4,0.133,593.98,395.52,-38.943,31.08,49.825
5,0.167,593.03,396.13,-35.916,28.997,46.16
6,0.2,592.48,396.02,-32.882,26.834,42.442
7,0.233,591.52,396.54,-29.844,24.59,38.669
8,0.267,590.25,397.61,-26.8,22.267,34.843
9,0.3,589.06,400.1,-23.75,19.862,30.961
10,0.333,589.06,400.78,-20.696,17.378,27.024
11,0.367,588.65,400.86,-17.635,14.814,23.031
12,0.4,588.39,398.98,-14.57,12.169,18.983
13,0.433,587.11,399.52,-11.499,9.443,14.88
14,0.467,587.77,400.12,-8.423,6.638,10.724
15,0.5,588.27,398.54,-5.341,3.752,6.528
16,0.533,587.87,400.42,-5.755,2.138,6.14
17,0.567,587.54,400.85,-6.606,0.398,6.618
18,0.6,588.35,400.36,-5.746,-3.861,6.923
19,0.633,588.18,401.11,-3.783,-8.891,9.662
20,0.667,587.93,400.13,0.458,-12.168,12.176
21,0.7,587.81,399.55,7.247,-15.152,16.796
22,0.733,588.5,399.16,16.969,-17.787,24.583
23,0.767,589.01,398.87,28.305,-20.387,34.882
24,0.8,588.23,400.17,40.624,-23.272,46.817
25,0.833,588.43,398.53,53.415,-26.385,59.577
26,0.867,589.38,397.27,64.975,-29.951,71.546
27,0.9,590.76,396.1,75.093,-32.814,81.949
28,0.933,592.54,394.09,83.343,-34.149,90.068
29,0.967,594.54,390.63,89.722,-34.413,96.096
30,1.0,599.78,388.45,92.906,-33.701,98.83
31,1.033,604.16,389.74,92.676,-31.645,97.93
32,1.067,610.79,388.25,89.906,-29.94,94.76
33,1.1,615.46,389.14,84.335,-27.832,88.809
34,1.133,621.07,390.16,74.91,-25.511,79.135
35,1.167,624.96,386.53,63.529,-23.306,67.669
36,1.2,626.91,384.92,50.45,-20.456,54.44
37,1.233,625.53,384.23,36.241,-16.471,39.808
38,1.267,624.84,384.29,23.082,-11.796,25.921
39,1.3,623.95,385.21,9.661,-7.068,11.97
40,1.333,622.41,384.38,-2.207,-3.035,3.753
41,1.367,621.78,385.55,-11.268,1.294,11.343
42,1.4,620.7,385.12,-17.087,5.322,17.896
43,1.433,619.2,385.55,-20.922,9.022,22.785
44,1.467,618.17,384.99,-20.747,13.066,24.518
45,1.5,617.76,383.97,-15.787,18.634,24.422
46,1.533,617.75,384.6,-7.798,24.521,25.731
47,1.567,616.91,385.68,2.582,28.084,28.203
48,1.6,617.13,386.22,13.641,30.793,33.679
49,1.633,619.76,388.28,26.326,31.179,40.806
50,1.667,620.83,390.05,37.293,27.346,46.245
51,1.7,623.15,392.07,47.27,24.327,53.163
52,1.733,626.39,392.67,55.533,23.014,60.113
53,1.767,625.4,393.48,63.215,21.997,66.933
54,1.8,628.45,395.14,69.26,21.02,72.38
55,1.833,631.42,395.73,74.41,16.938,76.313
56,1.867,632.97,396.03,78.519,11.796,79.4
57,1.9,634.24,396.76,81.635,4.986,81.788
58,1.933,639.82,396.91,83.425,-1.899,83.447
59,1.967,642.87,395.78,82.813,-8.812,83.28
60,2.0,644.97,393.06,80.604,-14.743,81.941
61,2.033,647.16,391.39,77.131,-17.954,79.193
62,2.067,650.61,391.4,72.904,-18.608,75.241
63,2.1,653.95,390.83,69.798,-17.66,71.998
64,2.133,654.49,390.91,67.8,-15.115,69.464
65,2.167,658.36,395.32,65.577,-12.381,66.735
66,2.2,659.58,395.15,64.082,-9.515,64.784
67,2.233,661.59,391.22,62.607,-7.025,63.0
68,2.267,663.21,388.51,60.58,-4.56,60.751
69,2.3,666.02,384.75,59.954,-1.84,59.983
70,2.333,666.92,386.95,58.721,0.464,58.723
71,2.367,668.25,388.25,56.011,2.803,56.081
72,2.4,667.96,390.25,53.344,4.414,53.526
73,2.433,668.11,391.68,51.719,5.067,51.966
74,2.467,671.77,393.32,49.413,4.671,49.634
75,2.5,675.02,394.98,47.379,2.97,47.472
76,2.533,678.48,394.36,45.31,1.351,45.33
77,2.567,681.82,392.24,42.978,0.51,42.981
78,2.6,683.04,390.93,40.424,-1.054,40.438
79,2.633,683.8,389.76,36.718,-2.188,36.783
80,2.667,684.81,389.72,33.175,-4.056,33.422
81,2.7,685.0,389.65,28.113,-9.782,29.766
82,2.733,685.12,389.85,25.467,-17.231,30.749
83,2.767,684.61,390.53,24.688,-23.004,33.744
84,2.8,684.2,390.24,25.761,-26.776,37.156
85,2.833,684.54,389.69,26.856,-26.706,37.875
86,2.867,687.16,388.06,28.194,-24.948,37.647
87,2.9,689.09,387.47,29.179,-22.145,36.63
88,2.933,690.37,386.14,30.72,-19.098,36.172
89,2.967,690.68,384.54,34.143,-15.657,37.562
90,3.0,690.27,384.63,36.876,-12.428,38.913
91,3.033,691.23,384.39,39.185,-9.874,40.41
92,3.067,693.18,382.47,40.13,-7.013,40.738
93,3.1,693.88,382.35,39.807,-3.324,39.946
94,3.133,696.48,380.53,39.378,1.093,39.393
95,3.167,700.27,380.79,38.261,6.221,38.763
96,3.2,705.8,383.24,36.207,11.651,38.035
97,3.233,705.74,385.94,33.344,17.322,37.575
98,3.267,704.96,386.94,30.313,23.1,38.112
99,3.3,703.12,388.07,27.7,27.763,39.218
100,3.333,702.48,388.37,25.113,31.174,40.031
101,3.367,702.58,387.69,23.737,33.114,40.743
102,3.4,703.74,388.48,21.85,34.147,40.539
103,3.433,705.61,389.89,19.64,33.703,39.008
104,3.467,705.25,390.96,17.422,32.613,36.975
105,3.5,706.82,392.35,15.456,30.961,34.605
106,3.533,707.61,393.67,14.458,27.922,31.443
107,3.567,709.46,394.4,14.269,23.928,27.859
108,3.6,710.25,395.62,14.325,19.958,24.567
109,3.633,709.5,396.67,14.965,15.785,21.752
110,3.667,709.81,397.8,15.787,12.832,20.344
111,3.7,710.14,398.46,15.231,10.34,18.41
112,3.733,711.15,398.57,10.817,7.67,13.261
113,3.767,711.22,397.49,5.416,4.41,6.985
114,3.8,711.02,397.08,-0.105,1.72,1.723
115,3.833,712.55,396.91,-3.949,-0.828,4.035
116,3.867,711.55,396.96,-6.685,-2.799,7.247
117,3.9,711.53,396.85,-8.485,-3.089,9.03
118,3.933,711.22,397.03,-9.962,-2.209,10.204
119,3.967,710.45,396.26,-10.383,-1.288,10.463
120,4.0,710.12,395.95,-10.048,-0.841,10.083
121,4.033,709.7,396.16,-9.417,-0.398,9.426
122,4.067,708.72,396.01,-8.605,0.71,8.634
123,4.1,707.8,396.39,-8.549,1.664,8.709
124,4.133,707.55,396.57,-8.418,2.501,8.781
125,4.167,706.1,396.59,-7.586,3.352,8.293
