behaviour,bout,start_frame,end_frame,start_s,end_s,duration_s
rearing,1,38,55,1.27,1.83,0.57
rearing,2,207,226,6.9,7.53,0.63
rearing,3,464,492,15.47,16.4,0.93
rearing,4,508,554,16.93,18.47,1.53
rearing,5,636,678,21.2,22.6,1.4
rearing,6,697,744,23.23,24.8,1.57
grooming,1,1040,1056,34.67,35.2,0.53
grooming,2,1133,1145,37.77,38.17,0.4
grooming,3,1202,1259,40.07,41.97,1.9
rearing,7,1240,1338,41.33,44.6,3.27
grooming,4,1792,1812,59.73,60.4,0.67
grooming,5,1872,1919,62.4,63.97,1.57
rearing,8,2054,2067,68.47,68.9,0.43
grooming,6,2061,2095,68.7,69.83,1.13
grooming,7,2155,2167,71.83,72.23,0.4
grooming,8,2232,2248,74.4,74.93,0.53
grooming,9,2264,2322,75.47,77.4,1.93
rearing,9,2324,2353,77.47,78.43,0.97
grooming,10,2428,2445,80.93,81.5,0.57
rearing,10,2832,2861,94.4,95.37,0.97
grooming,11,2908,2956,96.93,98.53,1.6
rearing,11,3069,3216,102.3,107.2,4.9
grooming,12,4182,4259,139.4,141.97,2.57
grooming,13,4322,4378,144.07,145.93,1.87
rearing,12,4436,4466,147.87,148.87,1.0
grooming,14,4472,4491,149.07,149.7,0.63
grooming,15,4526,4623,150.87,154.1,3.23
rearing,13,4630,4653,154.33,155.1,0.77
grooming,16,4673,4689,155.77,156.3,0.53
grooming,17,4750,4769,158.33,158.97,0.63
grooming,18,4825,4863,160.83,162.1,1.27
rearing,14,4851,4923,161.7,164.1,2.4
grooming,19,4943,4964,164.77,165.47,0.7
rearing,15,4971,5156,165.7,171.87,6.17
