behaviour,bout,start_frame,end_frame,start_s,end_s,duration_s
rearing,1,26,64,0.87,2.13,1.27
rearing,2,95,107,3.17,3.57,0.4
rearing,3,369,388,12.3,12.93,0.63
rearing,4,448,457,14.93,15.23,0.3
rearing,5,765,778,25.5,25.93,0.43
rearing,6,969,1024,32.3,34.13,1.83
rearing,7,1046,1068,34.87,35.6,0.73
rearing,8,1090,1105,36.33,36.83,0.5
rearing,9,1149,1190,38.3,39.67,1.37
rearing,10,1261,1378,42.03,45.93,3.9
rearing,11,1400,1409,46.67,46.97,0.3
rearing,12,1482,1494,49.4,49.8,0.4
grooming,1,1636,1646,54.53,54.87,0.33
rearing,13,1727,1740,57.57,58.0,0.43
rearing,14,1831,1851,61.03,61.7,0.67
rearing,15,1869,1913,62.3,63.77,1.47
rearing,16,1939,2002,64.63,66.73,2.1
grooming,2,2149,2161,71.63,72.03,0.4
grooming,3,2244,2268,74.8,75.6,0.8
rearing,17,2294,2413,76.47,80.43,3.97
rearing,18,2435,2556,81.17,85.2,4.03
rearing,19,2625,2651,87.5,88.37,0.87
rearing,20,2697,2775,89.9,92.5,2.6
rearing,21,2894,2973,96.47,99.1,2.63
rearing,22,3030,3041,101.0,101.37,0.37
rearing,23,3062,3149,102.07,104.97,2.9
grooming,4,3286,3308,109.53,110.27,0.73
grooming,5,3350,3400,111.67,113.33,1.67
grooming,6,3466,3498,115.53,116.6,1.07
grooming,7,3563,3583,118.77,119.43,0.67
rearing,24,3694,3749,123.13,124.97,1.83
rearing,25,3899,3967,129.97,132.23,2.27
rearing,26,3986,4134,132.87,137.8,4.93
rearing,27,4156,4208,138.53,140.27,1.73
rearing,28,4226,4349,140.87,144.97,4.1
rearing,29,4367,4499,145.57,149.97,4.4
grooming,8,4484,4496,149.47,149.87,0.4
rearing,30,4702,4755,156.73,158.5,1.77
grooming,9,4758,4822,158.6,160.73,2.13
rearing,31,4824,5066,160.8,168.87,8.07
rearing,32,5171,5314,172.37,177.13,4.77
rearing,33,5336,5364,177.87,178.8,0.93
