scorer,MATLAB_TMaze_v1,MATLAB_TMaze_v1,MATLAB_TMaze_v1
bodyparts,body_center,body_center,body_center
coords,x,y,likelihood
0,620.836660,361.655725,1.000000
1,617.284822,360.638375,1.000000
2,610.449851,358.008689,1.000000
3,609.008140,357.839481,1.000000
4,606.800738,357.925145,1.000000
5,604.132653,357.808739,1.000000
6,602.040785,358.026329,1.000000
7,600.072084,358.706572,1.000000
8,597.868812,358.832178,1.000000
9,595.286553,359.619035,1.000000
10,593.477623,359.613426,1.000000
11,590.334365,359.745037,1.000000
12,585.888391,359.890501,1.000000
13,582.942618,359.973259,1.000000
14,580.533370,359.473026,1.000000
15,574.369239,357.614148,1.000000
16,572.396663,358.088407,1.000000
17,568.596538,357.547598,1.000000
18,563.865835,357.608424,1.000000
19,561.069009,357.424404,1.000000
20,557.522494,354.771640,1.000000
21,556.805644,354.390153,1.000000
22,554.789991,353.777553,1.000000
23,552.468332,353.666473,1.000000
24,550.788895,353.549881,1.000000
25,548.174706,353.547619,1.000000
26,545.809314,353.937697,1.000000
27,545.548935,354.682001,1.000000
28,545.513868,355.081987,1.000000
29,543.990895,355.539089,1.000000
30,541.141291,355.062970,1.000000
31,539.527023,355.085598,1.000000
32,538.832032,355.208242,1.000000
33,537.909091,355.117811,1.000000
34,535.615134,354.718002,1.000000
35,534.123492,355.034463,1.000000
36,532.929458,354.880926,1.000000
37,530.267208,354.955232,1.000000
38,528.919293,355.138587,1.000000
39,527.053982,355.262427,1.000000
40,526.726131,355.172901,1.000000
41,525.884356,355.041320,1.000000
42,525.438601,354.918222,1.000000
43,525.907045,355.716046,1.000000
44,526.625261,355.097860,1.000000
45,528.106278,354.790310,1.000000
46,528.333973,355.641075,1.000000
47,528.880121,355.605169,1.000000
48,530.463124,354.651302,1.000000
49,532.138881,354.626218,1.000000
50,533.011983,354.621113,1.000000
51,534.177713,354.595369,1.000000
52,534.995578,354.421580,1.000000
53,535.172757,354.434668,1.000000
54,535.779053,354.270962,1.000000
55,535.662753,354.257705,1.000000
56,535.423021,354.260882,1.000000
57,534.805580,354.151836,1.000000
58,534.968723,354.221257,1.000000
59,534.975276,354.198953,1.000000
60,534.494156,354.936470,1.000000
61,534.583790,354.163254,1.000000
62,534.521852,354.429845,1.000000
63,535.560580,354.417971,1.000000
64,536.049939,355.537454,1.000000
65,536.491726,354.734043,1.000000
66,537.431607,354.651901,1.000000
67,538.211017,354.833534,1.000000
68,538.688214,354.824714,1.000000
69,539.061317,355.154193,1.000000
70,538.750075,355.107024,1.000000
71,538.095206,356.909454,1.000000
72,539.611146,355.026299,1.000000
73,540.103244,355.189644,1.000000
74,540.259630,355.305669,1.000000
75,540.730088,355.406131,1.000000
76,542.374495,355.334681,1.000000
77,542.461855,355.675530,1.000000
78,542.552229,355.756470,1.000000
79,543.488204,355.856244,1.000000
80,543.261048,355.856376,1.000000
81,542.151097,355.866458,1.000000
82,542.339828,356.031300,1.000000
83,542.815995,358.047780,1.000000
84,543.560570,358.063794,1.000000
85,544.310075,358.043227,1.000000
86,544.127076,358.332091,1.000000
87,544.239839,358.265032,1.000000
88,544.618231,358.313824,1.000000
89,546.205598,358.596061,1.000000
90,546.264746,358.577160,1.000000
91,546.735185,358.479512,1.000000
92,546.428818,358.515549,1.000000
93,549.376736,358.623958,1.000000
94,549.659698,358.739548,1.000000
95,549.692835,358.495715,1.000000
96,550.730272,358.505782,1.000000
97,553.505306,358.955152,1.000000
98,553.215411,358.840068,1.000000
99,553.746897,358.835862,1.000000
100,553.330935,358.688935,1.000000
101,553.265910,358.148951,1.000000
102,552.535378,358.097595,1.000000
103,551.263054,356.158292,1.000000
104,550.744958,356.421601,1.000000
105,550.994574,356.539100,1.000000
106,549.956726,356.671057,1.000000
107,549.669262,356.709125,1.000000
108,548.536578,356.969697,1.000000
109,547.488017,357.232774,1.000000
110,546.897827,357.534058,1.000000
111,547.453481,359.447936,1.000000
112,546.647219,359.601572,1.000000
113,545.752607,358.579664,1.000000
114,544.331243,359.796894,1.000000
115,543.737829,358.579743,1.000000
116,542.665146,357.874966,1.000000
117,542.821714,357.568654,1.000000
118,542.844704,357.469604,1.000000
119,542.454789,357.600589,1.000000
120,543.169776,357.500135,1.000000
121,543.321612,359.111778,1.000000
122,542.623410,359.324852,1.000000
123,541.833474,359.336703,1.000000
124,542.337553,359.329395,1.000000
125,542.467255,359.254841,1.000000
126,542.411117,359.332111,1.000000
127,541.980661,359.295964,1.000000
128,542.884136,359.222096,1.000000
129,543.330144,357.321106,1.000000
130,543.152863,357.098269,1.000000
131,543.427990,357.061568,1.000000
132,543.748643,357.219870,1.000000
