scorer,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180
bodyparts,nose,nose,nose,head,head,head,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,body_center,body_center,body_center,left_forepaw,left_forepaw,left_forepaw,right_forepaw,right_forepaw,right_forepaw,left_hindpaw,left_hindpaw,left_hindpaw,right_hindpaw,right_hindpaw,right_hindpaw,tail_base,tail_base,tail_base
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,484.00253,429.327,0.91569316,508.9087,419.624,0.8315523,515.51086,432.2237,0.72578937,500.8594,407.05402,0.78010416,569.5543,372.9386,0.95057863,539.8251,426.41196,0.5815341,502.3518,397.23804,0.6397496,613.2355,345.80463,0.48927578,572.8123,342.02777,0.55762744,596.0049,315.23953,0.71530306
1,479.30603,431.90558,0.83197534,501.21133,421.37787,0.885745,509.54492,432.44394,0.73035127,495.84753,409.10852,0.7611106,565.4552,375.11298,0.91691583,535.3511,426.39813,0.5748971,502.40378,397.9262,0.6381371,607.86115,374.7337,0.7650449,573.86237,345.7837,0.69700533,598.66064,320.67642,0.5131634
2,473.28,433.44928,0.8763279,494.76794,423.6312,0.861663,504.19495,433.11188,0.76896363,491.05005,409.88385,0.91851956,562.9562,377.54898,0.888768,532.0489,427.19733,0.58963424,501.87003,397.07208,0.74167943,599.86255,386.60703,0.8328311,569.7564,349.10855,0.74534684,600.0233,327.05814,0.65650487
3,470.5587,435.3668,0.9116024,491.8795,423.26187,0.92988575,501.43384,433.66327,0.8079471,487.67245,409.11832,0.90000004,560.65814,379.75677,0.8113722,527.1936,427.10876,0.64580876,499.86533,394.8502,0.7440388,585.1285,399.16504,0.8603101,564.8748,353.13303,0.8729588,601.3537,330.47882,0.664596
4,465.2635,438.78278,0.9059486,486.18448,425.91434,0.9791216,496.06647,435.10297,0.8158022,482.6207,412.99142,0.91425407,552.8682,383.94876,0.82937175,524.4963,428.7315,0.7537386,497.68536,396.49118,0.7735307,573.1598,404.3522,0.532489,565.17114,354.18076,0.97503674,601.86993,340.6601,0.94419515
5,461.1138,442.2887,0.93098277,479.8571,430.15796,0.9717128,489.0435,439.20853,0.7955004,477.12387,417.2278,1.0,549.6139,388.84027,0.8292338,527.20996,430.2739,0.6803615,498.5111,397.25964,0.8545399,569.9454,407.92474,0.67740166,564.9114,356.47623,0.9032908,600.7797,346.22385,0.81820637
6,454.8258,445.00854,0.85934985,475.94247,433.68732,0.9859038,483.90433,443.09912,0.77873456,472.927,420.07095,1.0,542.2731,395.6941,0.90052444,514.19147,436.9372,0.8104058,494.32047,402.58704,0.98015034,570.1815,410.1146,1.0,561.61926,359.44302,0.7634967,599.115,353.83267,0.8173472
7,450.73666,449.93988,0.9059901,469.53204,437.60648,1.0,477.8691,447.18707,0.71879804,465.7538,424.00925,0.95059925,537.20624,399.14142,1.0,499.70145,441.61276,0.7572002,487.73,408.5505,0.80622876,570.54474,411.18842,0.994863,561.01044,360.1102,0.7241664,596.06396,357.9362,0.9816257
8,447.61948,451.98654,0.8684896,465.81015,440.7213,0.96129984,472.0513,451.43524,0.8043739,462.2408,427.65845,0.96298563,536.0366,401.23764,1.0,498.25244,444.69315,0.5972665,487.28058,410.19028,0.85218513,567.57416,414.3232,0.90741736,560.9669,361.90674,0.62215924,593.4971,360.23022,0.9472748
