behaviour,bout,start_frame,end_frame,start_s,end_s,duration_s
rearing,1,30,213,1.0,7.1,6.1
rearing,2,246,341,8.2,11.37,3.17
rearing,3,358,379,11.93,12.63,0.7
rearing,4,403,427,13.43,14.23,0.8
rearing,5,460,490,15.33,16.33,1.0
rearing,6,553,577,18.43,19.23,0.8
rearing,7,706,735,23.53,24.5,0.97
rearing,8,757,832,25.23,27.73,2.5
rearing,9,946,1038,31.53,34.6,3.07
rearing,10,1155,1206,38.5,40.2,1.7
rearing,11,1256,1364,41.87,45.47,3.6
grooming,1,1621,1631,54.03,54.37,0.33
rearing,12,1705,1719,56.83,57.3,0.47
grooming,2,1733,1757,57.77,58.57,0.8
grooming,3,1792,1811,59.73,60.37,0.63
grooming,4,1837,1852,61.23,61.73,0.5
rearing,13,1854,1898,61.8,63.27,1.47
rearing,14,1917,1931,63.9,64.37,0.47
grooming,5,1944,2009,64.8,66.97,2.17
rearing,15,2177,2195,72.57,73.17,0.6
grooming,6,2357,2371,78.57,79.03,0.47
rearing,16,2501,2532,83.37,84.4,1.03
rearing,17,2671,2689,89.03,89.63,0.6
rearing,18,2738,2764,91.27,92.13,0.87
grooming,7,2880,2900,96.0,96.67,0.67
rearing,19,2917,2927,97.23,97.57,0.33
rearing,20,3017,3056,100.57,101.87,1.3
rearing,21,3164,3214,105.47,107.13,1.67
grooming,8,3303,3331,110.1,111.03,0.93
rearing,22,3580,3589,119.33,119.63,0.3
grooming,9,3721,3748,124.03,124.93,0.9
rearing,23,3872,3899,129.07,129.97,0.9
grooming,10,4047,4082,134.9,136.07,1.17
rearing,24,4144,4209,138.13,140.3,2.17
rearing,25,4226,4259,140.87,141.97,1.1
grooming,11,4262,4304,142.07,143.47,1.4
rearing,26,4397,4432,146.57,147.73,1.17
rearing,27,4460,4638,148.67,154.6,5.93
rearing,28,4795,4810,159.83,160.33,0.5
rearing,29,4966,5061,165.53,168.7,3.17
