scorer,MATLAB_TMaze_v1,MATLAB_TMaze_v1,MATLAB_TMaze_v1
bodyparts,body_center,body_center,body_center
coords,x,y,likelihood
0,516.703103,379.127594,1.000000
1,513.605034,379.013674,1.000000
2,513.269276,378.976636,1.000000
3,513.146500,378.888207,1.000000
4,514.094472,378.336426,1.000000
5,515.068661,377.502493,1.000000
6,515.288979,377.447221,1.000000
7,512.946015,378.164708,1.000000
8,510.883247,378.330413,1.000000
9,498.311149,380.805127,1.000000
10,496.162783,380.274464,1.000000
11,505.064915,377.800790,1.000000
12,500.358125,375.533798,1.000000
13,499.391146,376.538714,1.000000
14,500.161483,375.843038,1.000000
15,490.404758,378.008799,1.000000
16,500.319431,375.019796,1.000000
17,501.092448,375.013696,1.000000
18,501.936890,375.146873,1.000000
19,503.896969,375.089793,1.000000
20,503.630225,373.024805,1.000000
21,501.639674,375.406361,1.000000
22,501.551238,372.965690,1.000000
23,500.272216,372.258148,1.000000
24,497.435499,370.967514,1.000000
25,494.724596,370.345679,1.000000
26,495.000481,369.376112,1.000000
27,494.458785,366.190347,1.000000
28,495.074736,366.017601,1.000000
29,495.224780,365.934565,1.000000
30,494.006202,366.975192,1.000000
31,495.189087,366.896703,1.000000
32,495.379291,369.001099,1.000000
33,495.417071,367.765059,1.000000
34,494.487047,367.911917,1.000000
35,494.766926,367.910112,1.000000
36,495.007299,368.294015,1.000000
37,496.145876,368.939219,1.000000
38,497.447454,368.954077,1.000000
39,497.156823,369.274943,1.000000
40,494.682785,373.482532,1.000000
41,494.892201,374.090164,1.000000
42,495.038878,374.394439,1.000000
43,495.135572,374.338073,1.000000
44,494.957207,373.912412,1.000000
45,495.251841,373.537446,1.000000
46,496.749256,373.975198,1.000000
47,500.482606,368.847288,1.000000
48,499.207355,372.065206,1.000000
49,498.825564,369.159777,1.000000
50,500.495178,374.632087,1.000000
51,500.503052,374.343662,1.000000
52,502.953434,367.889406,1.000000
53,501.128510,371.274728,1.000000
54,501.324994,371.325494,1.000000
55,502.877034,369.108757,1.000000
56,504.253924,371.819396,1.000000
57,504.420408,371.141897,1.000000
58,503.466906,372.603096,1.000000
59,503.340459,371.367012,1.000000
60,503.482558,371.130367,1.000000
61,500.431729,370.951186,1.000000
62,502.374577,370.105893,1.000000
63,502.381432,368.021953,1.000000
64,503.272775,364.554974,1.000000
65,505.083290,364.432898,1.000000
66,506.070787,364.721870,1.000000
67,503.286140,366.997516,1.000000
68,502.162316,370.079228,1.000000
69,505.061422,368.316379,1.000000
70,506.562445,367.959400,1.000000
71,507.531081,370.930330,1.000000
72,507.420350,370.942670,1.000000
73,509.458910,370.096918,1.000000
74,509.299130,369.873968,1.000000
75,509.426157,369.858096,1.000000
76,509.572472,370.273225,1.000000
77,491.001981,381.068670,1.000000
78,508.096058,370.837562,1.000000
79,508.725931,370.839237,1.000000
80,505.551217,368.581897,1.000000
81,509.490701,367.005860,1.000000
82,511.498006,366.641585,1.000000
83,510.994708,369.710849,1.000000
84,512.815949,369.804765,1.000000
85,510.210696,370.664131,1.000000
86,507.767815,371.410099,1.000000
87,494.182549,380.562537,1.000000
88,508.914429,370.917691,1.000000
89,494.182346,380.196090,1.000000
90,494.772207,380.132157,1.000000
91,493.671590,380.690132,1.000000
92,495.996003,380.008994,1.000000
93,494.342605,381.020353,1.000000
94,508.188548,371.639914,1.000000
95,494.231591,380.888658,1.000000
96,496.351133,378.998382,1.000000
97,494.192020,380.129052,1.000000
98,497.390816,379.810533,1.000000
99,513.530150,368.948314,1.000000
100,511.056968,370.053202,1.000000
101,510.692705,370.372742,1.000000
102,514.288758,369.234587,1.000000
103,494.432937,383.239627,1.000000
104,516.980965,365.068840,1.000000
105,495.374905,377.792776,1.000000
106,497.318285,381.094186,1.000000
107,493.415403,382.154921,1.000000
108,504.024101,377.376619,1.000000
109,504.678786,376.094828,1.000000
110,506.743808,376.886223,1.000000
111,506.745060,376.896164,1.000000
112,506.110303,376.894949,1.000000
113,506.721743,376.377312,1.000000
114,507.121094,377.491016,1.000000
115,507.152514,377.028306,1.000000
116,507.732095,377.154730,1.000000
117,508.427689,377.004944,1.000000
118,508.914403,376.708230,1.000000
119,506.144195,379.638202,1.000000
120,505.924181,379.869341,1.000000
121,505.904833,379.558262,1.000000
122,507.091860,380.014190,1.000000
123,508.161081,379.477477,1.000000
124,513.992174,376.298696,1.000000
125,509.491828,380.043330,1.000000
126,510.912585,379.762999,1.000000
127,512.109387,379.292475,1.000000
128,522.184506,367.832643,1.000000
129,523.760411,367.406161,1.000000
130,526.083652,367.182067,1.000000
131,528.458634,366.225430,1.000000
132,530.566008,366.124740,1.000000
