frame,t_s,x_px,y_px,vx_px_s,vy_px_s,speed_px_s
0,0.0,668.53,357.74,30.797,162.512,165.405
1,0.033,669.31,358.26,23.368,141.394,143.312
2,0.067,669.4,357.6,16.329,121.542,122.634
3,0.1,671.61,384.53,9.682,102.955,103.41
4,0.133,669.37,384.52,3.427,85.634,85.703
5,0.167,670.68,384.45,-2.438,69.579,69.622
6,0.2,671.32,384.23,-7.911,54.79,55.358
7,0.233,670.23,383.9,-12.993,41.267,43.264
8,0.267,670.36,383.45,-17.683,29.009,33.974
9,0.3,669.6,382.8,-21.982,18.017,28.422
10,0.333,668.48,382.31,-25.89,8.291,27.185
11,0.367,667.28,381.83,-29.406,-0.169,29.407
12,0.4,665.97,381.41,-32.531,-7.364,33.354
13,0.433,664.64,381.03,-35.265,-13.292,37.687
14,0.467,663.34,380.7,-37.607,-17.955,41.674
15,0.5,661.96,380.44,-39.558,-21.353,44.953
16,0.533,661.01,380.18,-41.029,-19.733,45.528
17,0.567,660.25,379.91,-42.102,-13.848,44.321
18,0.6,658.53,379.8,-42.479,-2.289,42.541
19,0.633,657.1,379.64,-43.415,-0.615,43.42
20,0.667,655.54,379.62,-42.729,0.862,42.738
21,0.7,654.13,379.69,-41.906,2.051,41.956
22,0.733,652.71,379.89,-41.021,3.027,41.132
23,0.767,651.52,380.19,-39.369,3.867,39.558
24,0.8,650.26,380.6,-37.482,4.528,37.754
25,0.833,648.89,381.01,-35.36,4.958,35.706
26,0.867,647.61,381.36,-32.999,4.984,33.373
27,0.9,646.58,381.43,-30.444,4.642,30.796
28,0.933,645.27,381.45,-27.845,3.992,28.13
29,0.967,644.19,381.35,-25.285,3.022,25.465
30,1.0,643.37,381.18,-22.96,1.955,23.043
31,1.033,642.64,381.12,-20.743,1.062,20.77
32,1.067,642.11,381.15,-18.786,0.511,18.793
33,1.1,641.78,381.36,-17.331,0.343,17.334
34,1.133,641.67,381.6,-15.842,0.52,15.851
35,1.167,641.54,381.76,-14.328,1.129,14.372
36,1.2,641.19,381.99,-12.818,2.264,13.016
37,1.233,640.9,382.02,-11.394,3.786,12.006
38,1.267,640.56,381.72,-10.391,5.721,11.862
39,1.3,639.68,381.41,-10.108,8.042,12.917
40,1.333,639.02,381.35,-10.627,10.547,14.972
41,1.367,638.37,381.65,-11.799,12.961,17.527
42,1.4,637.61,382.14,-13.379,15.032,20.124
43,1.433,637.09,382.8,-15.248,16.725,22.633
44,1.467,636.66,383.89,-16.979,18.101,24.818
45,1.5,636.68,384.96,-18.295,19.057,26.418
46,1.533,636.61,385.73,-19.224,19.653,27.492
47,1.567,636.37,386.33,-19.658,19.867,27.949
48,1.6,636.14,387.03,-19.646,19.683,27.81
49,1.633,635.51,387.82,-19.389,19.113,27.226
50,1.667,634.37,388.65,-19.099,18.196,26.379
51,1.7,633.06,389.21,-19.061,17.077,25.592
52,1.733,631.38,389.98,-19.305,15.811,24.953
53,1.767,630.15,390.47,-19.789,14.384,24.464
54,1.8,629.32,390.61,-20.439,13.101,24.278
55,1.833,628.97,390.62,-20.855,12.236,24.18
56,1.867,628.91,390.7,-20.704,11.902,23.881
57,1.9,628.82,390.97,-19.873,12.075,23.253
58,1.933,628.75,391.37,-18.398,12.622,22.312
59,1.967,628.52,391.57,-16.688,13.487,21.456
60,2.0,627.85,392.04,-15.284,14.44,21.026
61,2.033,627.17,392.57,-14.874,15.168,21.244
62,2.067,626.22,393.23,-16.107,16.149,22.809
63,2.1,625.11,394.04,-18.025,16.017,24.113
64,2.133,624.06,394.82,-20.7,15.46,25.837
65,2.167,623.01,395.58,-23.82,14.461,27.867
66,2.2,622.41,396.18,-26.826,12.749,29.701
67,2.233,622.18,396.58,-29.199,10.059,30.883
68,2.267,621.92,397.28,-30.86,6.924,31.627
69,2.3,621.65,397.94,-32.213,4.094,32.473
70,2.333,621.2,398.43,-34.021,3.61,34.212
71,2.367,619.75,398.73,-35.893,5.067,36.249
72,2.4,617.56,398.83,-38.52,9.167,39.596
73,2.433,614.88,399.03,-42.294,17.463,45.758
74,2.467,612.16,399.15,-47.177,29.534,55.659
75,2.5,609.99,399.08,-52.396,44.004,68.423
76,2.533,608.62,399.39,-57.288,58.031,81.544
77,2.567,609.02,398.58,-61.291,68.928,92.237
78,2.6,607.91,401.09,-63.937,77.912,100.788
79,2.633,606.88,402.88,-64.557,84.632,106.443
80,2.667,605.51,405.22,-62.547,88.564,108.424
81,2.7,603.37,408.94,-58.331,91.247,108.299
