scorer,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210
bodyparts,nose,nose,nose,head,head,head,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,body_center,body_center,body_center,left_forepaw,left_forepaw,left_forepaw,right_forepaw,right_forepaw,right_forepaw,left_hindpaw,left_hindpaw,left_hindpaw,right_hindpaw,right_hindpaw,right_hindpaw,tail_base,tail_base,tail_base
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
9,531.2240550,346.8306092,0.8000616,538.3285762,359.0422063,0.8984641,534.4738018,368.9651839,0.8510137,545.2229097,358.9085717,0.9218365,572.3001877,383.3236343,1.0000000,532.9030022,382.0003233,0.6749610,552.0922586,364.2502086,0.7331656,572.8312391,404.4007463,0.6997278,589.0515924,372.7286372,0.6485992,604.9279454,410.5135895,0.8193652
10,531.2396365,348.3707188,0.7970665,536.5018691,359.9752612,0.8527382,532.6107271,369.2425308,0.8094826,543.0067546,359.0849478,0.8990686,570.7240604,383.1004575,0.9999910,533.0774831,382.2744803,0.6855755,551.4049954,363.3467725,0.7605082,571.7422729,404.9381690,0.7928192,587.6180802,372.3379189,0.7181258,602.5446108,410.4077467,0.9140723
11,532.9546964,349.9710324,0.7350289,535.6856113,358.8369536,0.6764290,531.8600620,367.0389287,0.7016788,542.1047771,356.2380949,0.7271024,569.1231005,382.8195679,0.9992737,534.4663827,381.2331383,0.6066746,552.8889372,363.8742598,0.7282896,572.0291497,405.0011895,0.7935604,587.2786656,371.4119071,0.6895920,601.9482767,409.3447636,0.9313578
12,533.0922562,351.4545917,0.7548372,536.0053898,359.2571462,0.5948902,533.1656432,366.3893130,0.6692035,542.9605999,355.6157184,0.6090344,568.2153213,382.4667658,0.9882566,535.0047068,380.2263083,0.6270440,553.4504267,362.7372546,0.6780057,573.7956785,403.9448575,0.7812702,589.4439634,372.2505513,0.6429136,602.9758705,408.5990250,0.8696893
13,534.4804289,352.3507649,0.5220423,538.6158559,359.0713925,0.4253069,532.5410926,367.9908529,0.4585688,543.9038993,354.1745489,0.4322854,567.9604110,382.1256386,0.9987324,535.5843642,378.7921916,0.4418536,552.9343814,360.1241871,0.4663372,573.6909578,403.5419784,0.7816574,590.0650021,371.7779455,0.6319166,603.6697501,408.6116097,0.9185891
14,533.7242859,349.8835113,0.6258178,538.0436461,357.3393613,0.5454165,533.1210052,364.5529304,0.5970467,544.0321507,352.7533640,0.5185989,568.2046297,381.9389441,0.9999785,534.3934043,378.6393894,0.5683065,553.8377160,359.4700022,0.5434838,573.6386187,404.2445889,0.8542490,590.4719470,371.3131607,0.7009951,603.9549894,409.1830164,0.9710756
15,537.9578292,348.3493248,0.6990824,540.6628131,355.0582105,0.6168143,535.2818316,361.8314073,0.6283235,547.1181390,351.3923538,0.6079461,569.1000655,381.6784859,1.0000000,535.3162435,377.0182746,0.5903907,556.1023197,358.6151669,0.6302237,574.5418805,404.0164251,0.8819407,591.6422425,370.5657569,0.7363733,605.6859159,408.4367222,0.9765216
16,541.4748691,348.1833330,0.6089673,543.5932933,354.5213704,0.5321781,536.7601721,361.7151743,0.5224039,550.0428976,350.3696528,0.5041623,570.1774740,381.3816226,1.0000000,537.3970071,374.3686111,0.5087238,558.4185430,357.5589387,0.5532328,574.8670112,403.9650286,0.8684161,592.5036658,371.0666781,0.7460925,606.6485296,408.7007261,0.9971339
17,541.4936428,348.1197142,0.5629806,544.1772022,353.2801480,0.5583757,537.1189361,360.6159070,0.4798125,550.3480198,348.5700860,0.5335581,570.9650113,381.0355744,1.0000000,538.2033282,373.2607953,0.5048170,559.6937193,355.3414860,0.5198110,573.8073446,404.8012348,0.7896711,594.7810195,374.1947413,0.6990114,606.4416785,410.3923605,0.9999417
18,542.6739060,348.5743238,0.5221609,545.1357063,352.0252445,0.5913027,539.4959892,355.5848318,0.5022596,552.3762120,349.3186135,0.5866308,571.4483653,380.6139434,1.0000000,539.3813397,372.9932567,0.5410671,561.2749594,354.7849013,0.5408957,572.7090854,405.4440875,0.7795234,595.5478305,374.8102053,0.7031787,606.4435389,410.5356830,1.0000000
