feature,lr_coef,rf_importance
rear_early_frac,-1.322379077142918,0.15505304690603472
spatial_entropy,0.8719353712431491,0.06501254398618363
pct_center,-0.5641540657691942,0.06433249429136349
pct_periphery,0.5641540657691944,0.0624356535945732
groom_mean_bout_s,-0.6959341879844548,0.05644158571802152
rear_rate_per_min,-0.19649290799775745,0.05186077108003822
rear_pct,0.045444609647967225,0.046797789861926564
groom_early_frac,0.41419306239669845,0.04567145472421854
pct_freeze,0.2532574390203599,0.04528798913043118
freeze_bout_count,0.5026252079456274,0.04440731208778348
rear_groom_ratio,0.28966576053420473,0.04295287675217421
groom_count,-0.0062492113058913385,0.03867589328061451
rear_per_100px,0.1456054157209201,0.03516041628262373
groom_pct,-0.17910578952304462,0.032581902331220707
rear_total_s,0.21988109040781945,0.03146498527275384
groom_bout_cv,0.2188090958017792,0.029401701656216594
mean_speed_px_s,-0.6993858992216945,0.027986321672556883
comfort_ratio,0.4058731222749533,0.027143416192337785
rear_count,0.04903232790129727,0.024045246720685236
center_entries,-0.288701079715918,0.020549159995383953
total_distance_px,-0.22651208707075737,0.018921624308165127
groom_total_s,-0.0540663081035378,0.018010669121578678
rear_mean_bout_s,0.29419956963467536,0.015805145033114382
