feature,group_a,group_b,z,p_two_sided,p_bh_within_feature
rear_total_s,Control,Grapefruit,-2.1116,0.0347,0.2083
rear_pct_time,Aspartame,Aspartame+Grapefruit,-0.2936,0.7691,0.7691
rear_pct_time,Aspartame,Control,0.6953,0.4869,0.5843
rear_pct_time,Aspartame,Grapefruit,-1.5855,0.1129,0.3386
rear_pct_time,Aspartame+Grapefruit,Control,0.9528,0.3407,0.5110
rear_pct_time,Aspartame+Grapefruit,Grapefruit,-1.2919,0.1964,0.3928
rear_pct_time,Control,Grapefruit,-2.0859,0.0370,0.2219
groom_bout_count,Aspartame,Aspartame+Grapefruit,0.1921,0.8477,0.8477
groom_bout_count,Aspartame,Control,0.8371,0.4025,0.6038
groom_bout_count,Aspartame,Grapefruit,-1.2707,0.2038,0.4077
groom_bout_count,Aspartame+Grapefruit,Control,0.6687,0.5037,0.6044
groom_bout_count,Aspartame+Grapefruit,Grapefruit,-1.4628,0.1435,0.4077
groom_bout_count,Control,Grapefruit,-1.9516,0.0510,0.3059
groom_total_s,Aspartame,Aspartame+Grapefruit,0.0000,1.0000,1.0000
groom_total_s,Aspartame,Control,-0.3811,0.7031,0.9041
groom_total_s,Aspartame,Grapefruit,-0.7927,0.4279,0.9041
groom_total_s,Aspartame+Grapefruit,Control,-0.3811,0.7031,0.9041
groom_total_s,Aspartame+Grapefruit,Grapefruit,-0.7927,0.4279,0.9041
groom_total_s,Control,Grapefruit,-0.3142,0.7534,0.9041
groom_pct_time,Aspartame,Aspartame+Grapefruit,0.0294,0.9766,0.9766
groom_pct_time,Aspartame,Control,-0.3966,0.6917,0.9766
groom_pct_time,Aspartame,Grapefruit,-0.7047,0.4810,0.9766
groom_pct_time,Aspartame+Grapefruit,Control,-0.4223,0.6728,0.9766
groom_pct_time,Aspartame+Grapefruit,Grapefruit,-0.7340,0.4629,0.9766
groom_pct_time,Control,Grapefruit,-0.2215,0.8247,0.9766
