feature,lr_coef,rf_importance
rear_early_frac,-1.501067637877603,0.2185377746188488
pct_periphery,1.0884917335808895,0.16388744332760896
spatial_entropy,0.790195196629948,0.12323124590766278
pct_freeze,0.4831456896309116,0.08666948347297217
rear_rate_per_min,-0.3243471732742645,0.06902313519098682
rear_groom_ratio,0.40979434123846903,0.06428508527708297
rear_pct,-0.05835834137367229,0.0583766357907644
rear_mean_bout_s,0.2997101586932339,0.05145354420729462
rear_total_s,0.12475212312308648,0.047490980241232814
comfort_ratio,0.41358613559795776,0.04514528107103022
rear_per_100px,0.36849987640927456,0.04340894982409682
rear_count,-0.07783339379985042,0.02849044107041867
