frame,t_s,x_px,y_px,vx_px_s,vy_px_s,speed_px_s
117,3.9,582.36,359.93,25.549,6.709,26.415
118,3.933,586.13,360.45,26.524,8.797,27.945
119,3.967,587.83,360.78,26.413,11.626,28.858
120,4.0,586.0,360.64,27.365,14.62,31.026
121,4.033,586.4,360.87,28.337,17.398,33.252
122,4.067,586.97,361.25,28.862,20.196,35.226
123,4.1,587.39,361.39,28.171,22.85,36.273
124,4.133,587.7,361.48,25.379,25.035,35.649
125,4.167,587.77,361.57,17.994,26.577,32.096
126,4.2,587.45,362.86,9.428,28.131,29.669
127,4.233,587.1,365.12,0.463,29.573,29.576
128,4.267,586.75,367.22,-5.729,30.936,31.462
129,4.3,586.61,369.05,-8.569,31.855,32.987
130,4.333,586.8,369.96,-8.134,32.994,33.982
131,4.367,587.14,370.59,-5.017,33.844,34.214
132,4.4,587.66,371.72,-0.673,33.978,33.985
133,4.433,587.92,372.01,2.464,32.97,33.062
134,4.467,588.04,372.15,4.51,30.602,30.932
135,4.5,587.98,373.18,5.469,26.996,27.544
136,4.533,587.74,374.76,6.823,22.787,23.787
137,4.567,587.7,375.66,7.769,18.166,19.758
138,4.6,587.55,376.39,8.125,13.185,15.487
139,4.633,587.29,377.41,8.066,8.277,11.557
140,4.667,587.43,377.98,7.645,4.081,8.666
141,4.7,587.88,377.68,7.001,0.898,7.059
142,4.733,588.9,377.34,6.062,-1.579,6.264
143,4.767,590.2,377.37,4.977,-3.746,6.23
144,4.8,591.24,378.14,3.94,-5.937,7.126
145,4.833,591.92,376.89,2.908,-8.294,8.789
146,4.867,591.72,375.83,1.817,-9.888,10.053
147,4.9,590.89,374.76,0.731,-10.415,10.441
148,4.933,589.75,373.8,-0.437,-10.466,10.475
149,4.967,588.96,373.71,-1.566,-9.462,9.59
150,5.0,588.66,373.95,-2.568,-7.45,7.88
151,5.033,588.79,373.96,-3.352,-5.067,6.075
152,5.067,588.94,373.83,-3.838,-2.921,4.823
153,5.1,589.28,374.07,-4.071,-0.779,4.145
154,5.133,589.29,374.41,-4.081,1.057,4.215
155,5.167,589.09,374.29,-3.802,2.161,4.373
156,5.2,588.57,374.35,-3.259,2.635,4.191
157,5.233,588.62,374.46,-2.548,2.992,3.93
158,5.267,588.67,374.4,-2.053,3.918,4.423
159,5.3,588.62,374.95,-2.08,4.662,5.105
160,5.333,588.76,376.05,-2.691,4.298,5.071
161,5.367,588.96,376.11,-3.99,3.832,5.532
162,5.4,588.94,375.61,-5.865,2.959,6.569
163,5.433,588.83,375.58,-7.989,1.878,8.207
164,5.467,588.55,374.91,-10.011,0.465,10.021
165,5.5,588.03,374.4,-12.161,-0.858,12.191
166,5.533,587.36,374.16,-13.719,-3.25,14.098
167,5.567,586.65,374.22,-14.698,-6.26,15.976
168,5.6,585.8,373.96,-14.924,-9.481,17.681
169,5.633,585.16,374.16,-14.835,-12.732,19.549
170,5.667,584.76,374.67,-14.693,-16.683,22.231
171,5.7,584.27,375.13,-14.845,-20.404,25.233
172,5.733,583.72,375.24,-15.626,-23.479,28.204
173,5.767,583.25,373.45,-17.62,-25.264,30.802
174,5.8,582.65,372.03,-20.124,-25.871,32.776
175,5.833,581.77,370.95,-23.128,-25.452,34.391
176,5.867,580.79,369.26,-34.91,-23.423,42.04
177,5.9,580.14,368.07,-41.899,-21.484,47.086
178,5.933,579.61,366.76,-44.594,-19.538,48.687
179,5.967,579.17,366.13,-44.716,-17.416,47.988
180,6.0,579.73,363.93,-42.152,-15.03,44.752
181,6.033,578.8,364.0,-27.667,-14.514,31.243
182,6.067,577.23,363.99,-16.105,-13.181,20.811
183,6.1,574.56,363.93,-6.95,-11.286,13.254
184,6.133,571.63,363.6,0.437,-8.857,8.868
185,6.167,568.7,365.28,5.834,-6.259,8.556
186,6.2,566.21,366.5,8.877,-3.851,9.677
187,6.233,564.92,367.42,9.488,-1.947,9.686
188,6.267,565.08,367.11,8.831,-1.2,8.912
189,6.3,564.49,367.16,7.435,-1.011,7.504
190,6.333,564.6,366.68,-3.652,-1.035,3.796
191,6.367,588.25,362.86,-9.953,-1.938,10.14
192,6.4,588.16,362.32,-12.439,-2.72,12.733
193,6.433,587.58,362.15,-12.561,-3.643,13.078
194,6.467,589.61,361.03,-0.819,-4.297,4.374
195,6.5,590.87,360.11,7.026,-4.78,8.498
196,6.533,565.71,364.85,10.566,-4.134,11.346
197,6.567,565.78,364.87,10.523,-3.619,11.128
198,6.6,565.49,364.84,8.231,-2.513,8.606
199,6.633,564.4,364.85,4.257,-0.271,4.266
200,6.667,563.91,364.75,-0.727,3.053,3.138
201,6.7,564.64,364.28,-5.314,5.809,7.872
202,6.733,566.8,363.4,-8.261,7.738,11.319
203,6.767,567.58,363.28,-8.54,8.478,12.034
204,6.8,567.49,363.7,-6.264,8.449,10.518
205,6.833,592.42,363.31,-0.253,7.191,7.195
206,6.867,592.01,364.26,10.608,4.417,11.491
207,6.9,591.94,364.22,12.403,2.358,12.625
208,6.933,593.33,364.68,12.954,0.242,12.957
209,6.967,566.97,364.88,11.072,-2.057,11.261
210,7.0,567.02,364.91,5.435,-3.615,6.527
211,7.033,567.29,365.09,-5.096,-3.804,6.36
212,7.067,568.08,366.52,-15.899,-4.925,16.645
213,7.1,567.59,366.79,-11.073,-6.833,13.011
214,7.133,568.42,365.63,-16.471,-8.091,18.351
215,7.167,570.68,364.27,-5.9,-10.162,11.75
216,7.2,573.08,363.54,4.171,-12.148,12.844
217,7.233,575.51,362.69,14.372,-13.959,20.036
218,7.267,577.09,361.93,25.772,-15.052,29.845
219,7.3,579.17,360.83,38.427,-15.45,41.417
220,7.333,581.1,359.9,52.91,-15.346,55.091
221,7.367,580.97,360.09,54.352,-14.174,56.169
222,7.4,580.34,360.23,51.123,-12.628,52.659
223,7.433,579.43,360.13,42.217,-10.351,43.467
224,7.467,580.13,360.59,25.789,-7.717,26.919
225,7.5,579.0,360.96,18.603,-4.741,19.198
226,7.533,577.99,360.83,11.703,-1.542,11.804
227,7.567,604.69,358.75,5.227,1.607,5.468
228,7.6,577.83,359.92,-0.459,3.736,3.764
229,7.633,605.78,358.15,-4.063,5.102,6.522
230,7.667,579.63,359.5,-5.439,6.281,8.309
231,7.7,582.28,359.59,-5.168,7.441,9.059
232,7.733,584.42,360.26,-3.63,8.281,9.042
233,7.767,583.08,360.93,-1.204,8.966,9.047
234,7.8,582.49,361.48,1.973,9.492,9.695
235,7.833,581.91,362.05,5.249,10.193,11.465
236,7.867,581.41,362.38,8.186,11.096,13.789
237,7.9,581.5,362.71,11.424,11.889,16.488
238,7.933,582.54,362.97,15.255,12.631,19.806
239,7.967,585.24,363.27,20.123,13.395,24.174
240,8.0,586.67,363.5,25.216,13.979,28.832
241,8.033,588.03,363.85,31.541,14.32,34.64
242,8.067,590.11,364.38,39.542,14.471,42.107
243,8.1,592.02,365.06,32.853,15.679,36.402
244,8.133,593.61,365.57,36.567,16.463,40.102
245,8.167,594.38,366.05,24.278,18.619,30.595
246,8.2,594.74,366.61,21.077,21.238,29.922
247,8.233,594.92,367.4,16.408,24.91,29.828
248,8.267,594.78,368.17,10.127,29.248,30.952
249,8.3,594.75,369.14,4.091,33.742,33.989
