behaviour,bout,start_frame,end_frame,start_s,end_s,duration_s
rearing,1,174,191,5.8,6.37,0.57
rearing,2,534,627,17.8,20.9,3.1
rearing,3,1132,1158,37.73,38.6,0.87
rearing,4,1196,1232,39.87,41.07,1.2
rearing,5,1329,1343,44.3,44.77,0.47
rearing,6,1477,1577,49.23,52.57,3.33
rearing,7,1641,1769,54.7,58.97,4.27
rearing,8,1793,1862,59.77,62.07,2.3
grooming,1,2194,2216,73.13,73.87,0.73
rearing,9,2394,2508,79.8,83.6,3.8
rearing,10,2570,2579,85.67,85.97,0.3
grooming,2,2657,2672,88.57,89.07,0.5
grooming,3,2696,2890,89.87,96.33,6.47
grooming,4,3173,3189,105.77,106.3,0.53
grooming,5,3215,3259,107.17,108.63,1.47
rearing,11,3600,3626,120.0,120.87,0.87
rearing,12,3684,3759,122.8,125.3,2.5
rearing,13,3777,3907,125.9,130.23,4.33
grooming,6,3925,3934,130.83,131.13,0.3
rearing,14,3946,4266,131.53,142.2,10.67
grooming,7,4476,4488,149.2,149.6,0.4
rearing,15,4489,4577,149.63,152.57,2.93
rearing,16,4683,4722,156.1,157.4,1.3
grooming,8,4833,4842,161.1,161.4,0.3
grooming,9,4879,4907,162.63,163.57,0.93
grooming,10,5093,5112,169.77,170.4,0.63
grooming,11,5165,5177,172.17,172.57,0.4
