behaviour,bout,start_frame,end_frame,start_s,end_s,duration_s
rearing,1,128,147,4.27,4.9,0.63
rearing,2,417,441,13.9,14.7,0.8
rearing,3,740,775,24.67,25.83,1.17
grooming,1,917,938,30.57,31.27,0.7
rearing,4,1205,1244,40.17,41.47,1.3
rearing,5,1269,1306,42.3,43.53,1.23
rearing,6,1431,1443,47.7,48.1,0.4
grooming,2,1755,1810,58.5,60.33,1.83
rearing,7,1832,1856,61.07,61.87,0.8
grooming,3,1881,1899,62.7,63.3,0.6
grooming,4,1964,2026,65.47,67.53,2.07
rearing,8,2219,2322,73.97,77.4,3.43
grooming,5,2432,2443,81.07,81.43,0.37
rearing,9,2459,2500,81.97,83.33,1.37
rearing,10,2546,2605,84.87,86.83,1.97
grooming,6,2735,3094,91.17,103.13,11.97
rearing,11,3114,3180,103.8,106.0,2.2
grooming,7,3188,3200,106.27,106.67,0.4
grooming,8,3219,3322,107.3,110.73,3.43
grooming,9,3472,3570,115.73,119.0,3.27
grooming,10,3642,3704,121.4,123.47,2.07
grooming,11,3810,3841,127.0,128.03,1.03
rearing,12,3861,3875,128.7,129.17,0.47
grooming,12,3914,3941,130.47,131.37,0.9
grooming,13,3961,4040,132.03,134.67,2.63
grooming,14,4068,4365,135.6,145.5,9.9
grooming,15,4405,5077,146.83,169.23,22.4
grooming,16,5094,5379,169.8,179.3,9.5
