scorer,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210
bodyparts,nose,nose,nose,head,head,head,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,body_center,body_center,body_center,left_forepaw,left_forepaw,left_forepaw,right_forepaw,right_forepaw,right_forepaw,left_hindpaw,left_hindpaw,left_hindpaw,right_hindpaw,right_hindpaw,right_hindpaw,tail_base,tail_base,tail_base
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,609.1082990,345.3272108,0.9490009,623.7735190,353.9873608,0.9542572,622.9525590,363.8935508,0.8432905,632.5061590,351.4949608,0.9579278,664.9232990,372.3669108,1.0000000,627.9667590,381.0330108,0.7409444,642.4364290,356.4878108,0.8471920,747.6975590,352.4544608,0.5605959,710.6379759,337.0000004,0.3350306,737.7340681,337.0000004,0.5216071
1,611.5849900,347.4372343,0.9522170,625.2853191,355.7186915,0.9966352,623.6585824,365.2053277,0.8662935,633.3243344,353.4740556,0.9833330,664.8860127,372.4896319,1.0000000,628.6621318,382.2596110,0.7315886,643.5912292,358.4396845,0.8206988,659.9215557,396.1260398,0.6282352,681.2197293,370.3886318,0.3881906,694.6441705,399.8905034,0.6044503
2,610.4853826,343.9059468,0.9557607,623.7846934,352.8952050,0.9810397,622.2899379,363.1150848,0.8771025,631.9901696,351.3495906,0.9593626,664.6639310,372.7831547,1.0000000,627.9323777,380.8307267,0.7370198,642.8983000,356.7276506,0.8432493,659.7024996,396.1696259,0.7927151,682.8191579,371.5489206,0.5876878,695.7676153,399.8370582,0.8043138
3,613.5992827,343.9526808,0.9717894,626.6266219,353.9986354,0.9634272,624.1543787,363.8692128,0.8321909,634.1684300,352.8232560,0.9525944,664.3009780,372.8507296,1.0000000,628.2432380,380.4609140,0.6901300,644.1624632,356.5227905,0.7866551,659.1524474,396.8972222,0.6973915,679.8722838,368.4886952,0.5712158,696.1841974,399.4362445,0.7872320
4,613.6243119,343.5968079,0.9575732,626.4986032,353.4928252,0.9633895,624.1351416,363.1769720,0.8476142,634.2290117,352.3788394,0.9488893,664.4444100,373.2037576,1.0000000,628.0759689,380.4674412,0.6780153,646.4000874,355.6219149,0.7923228,661.7082042,394.4151205,0.5694640,681.2163984,366.6390162,0.5152051,696.3275436,400.4954543,0.7628758
5,615.2173072,342.6578134,0.8683085,627.1334694,352.9592379,0.9610907,624.5322682,362.6426273,0.8597101,634.6620626,352.6219838,0.9378709,664.5243998,373.9470012,1.0000000,627.8243396,380.6485915,0.6477229,706.2400783,337.0000000,0.7683922,716.9076563,337.0000003,0.5284581,698.5844340,337.0000002,0.4976345,697.0788030,402.3328751,0.5857725
6,618.5960976,341.1085236,0.8172614,629.2720777,351.4974330,0.9561405,625.7403923,361.1858445,0.9046146,636.5230389,352.1422726,0.9574574,664.8981740,375.0250017,1.0000000,622.5323909,375.3147886,0.6683273,649.8849589,354.8834910,0.7533676,667.8978298,393.5931960,0.5292364,683.7456738,363.5135228,0.4893028,698.7875773,402.5509614,0.5306722
7,621.2502035,341.8025853,0.7596055,631.4729335,352.8440543,0.8869047,628.3581126,361.7059947,0.8261991,637.8688698,352.7983380,0.8959694,665.1047785,375.2840768,1.0000000,613.7514062,365.8954526,0.6142174,644.4624867,359.0003359,0.6797582,664.6721189,397.1131549,0.5326964,682.2121507,366.2829760,0.5359834,698.8114077,403.5968338,0.5761657
