behaviour,bout,start_frame,end_frame,start_s,end_s,duration_s
rearing,1,364,383,12.13,12.77,0.63
rearing,2,750,779,25.0,25.97,0.97
rearing,3,962,971,32.07,32.37,0.3
rearing,4,1211,1220,40.37,40.67,0.3
rearing,5,1302,1321,43.4,44.03,0.63
grooming,1,1621,1632,54.03,54.4,0.37
rearing,6,1845,1888,61.5,62.93,1.43
rearing,7,2159,2243,71.97,74.77,2.8
rearing,8,2355,2371,78.5,79.03,0.53
grooming,2,2434,2472,81.13,82.4,1.27
rearing,9,2648,2698,88.27,89.93,1.67
rearing,10,2906,2916,96.87,97.2,0.33
rearing,11,2992,3003,99.73,100.1,0.37
rearing,12,3023,3074,100.77,102.47,1.7
grooming,3,3398,3411,113.27,113.7,0.43
grooming,4,3435,3453,114.5,115.1,0.6
rearing,13,3463,3476,115.43,115.87,0.43
grooming,5,3684,3700,122.8,123.33,0.53
rearing,14,4083,4102,136.1,136.73,0.63
grooming,6,4382,4405,146.07,146.83,0.77
grooming,7,4637,4646,154.57,154.87,0.3
rearing,15,4654,4765,155.13,158.83,3.7
grooming,8,5050,5073,168.33,169.1,0.77
