behaviour,bout,start_frame,end_frame,start_s,end_s,duration_s
rearing,1,103,135,3.43,4.5,1.07
grooming,1,242,276,8.07,9.2,1.13
grooming,2,341,359,11.37,11.97,0.6
rearing,2,534,551,17.8,18.37,0.57
rearing,3,811,828,27.03,27.6,0.57
rearing,4,1278,1290,42.6,43.0,0.4
rearing,5,1741,1786,58.03,59.53,1.5
grooming,3,1991,2000,66.37,66.67,0.3
rearing,6,2249,2258,74.97,75.27,0.3
rearing,7,2450,2465,81.67,82.17,0.5
rearing,8,2489,2508,82.97,83.6,0.63
rearing,9,2532,2556,84.4,85.2,0.8
rearing,10,2608,2728,86.93,90.93,4.0
rearing,11,2746,2777,91.53,92.57,1.03
rearing,12,2796,2842,93.2,94.73,1.53
rearing,13,3094,3105,103.13,103.5,0.37
rearing,14,3323,3420,110.77,114.0,3.23
grooming,4,3733,3742,124.43,124.73,0.3
rearing,15,3810,3905,127.0,130.17,3.17
rearing,16,3995,4033,133.17,134.43,1.27
rearing,17,4082,4166,136.07,138.87,2.8
rearing,18,4480,4525,149.33,150.83,1.5
grooming,5,4590,4602,153.0,153.4,0.4
grooming,6,4647,4669,154.9,155.63,0.73
rearing,19,4671,4734,155.7,157.8,2.1
rearing,20,4750,4800,158.33,160.0,1.67
rearing,21,4869,4883,162.3,162.77,0.47
grooming,7,4935,5149,164.5,171.63,7.13
grooming,8,5183,5203,172.77,173.43,0.67
grooming,9,5219,5289,173.97,176.3,2.33
