frame,t_s,x_px,y_px,vx_px_s,vy_px_s,speed_px_s
0,0.0,641.05,381.82,-29.996,238.039,239.922
1,0.033,635.95,381.85,-19.352,194.921,195.88
2,0.067,645.66,378.97,-9.352,154.334,154.617
3,0.1,645.17,377.13,0.003,116.278,116.278
4,0.133,662.71,381.19,8.714,80.753,81.222
5,0.167,643.49,376.88,16.781,47.759,50.622
6,0.2,662.79,380.77,24.203,17.296,29.748
7,0.233,662.78,380.6,30.981,-10.636,32.756
8,0.267,662.55,380.29,37.114,-36.037,51.731
9,0.3,662.25,380.06,42.603,-58.907,72.698
10,0.333,644.02,376.95,47.447,-79.246,92.364
11,0.367,643.94,376.81,51.647,-97.054,109.941
12,0.4,647.84,374.02,55.202,-112.331,125.162
13,0.433,664.66,361.22,58.114,-125.077,137.919
14,0.467,660.61,377.62,60.38,-135.292,148.155
15,0.5,659.44,376.77,62.002,-142.976,155.841
16,0.533,658.12,375.76,78.896,-177.806,194.524
17,0.567,657.33,374.91,93.118,-198.266,219.045
18,0.6,656.95,374.17,98.639,-204.323,226.887
19,0.633,656.68,373.52,100.641,-197.526,221.686
20,0.667,656.14,372.97,89.738,-182.585,203.446
21,0.7,663.72,350.59,84.561,-157.172,178.476
22,0.733,665.86,355.02,67.833,-126.709,143.724
23,0.767,653.97,371.94,46.958,-91.376,102.736
24,0.8,760.29,183.77,22.514,-52.904,57.495
25,0.833,755.36,184.66,-4.863,-13.182,14.051
26,0.867,653.13,371.76,-23.758,27.514,36.352
27,0.9,653.32,372.04,-39.341,66.242,77.044
28,0.933,699.43,289.47,-55.327,100.497,114.72
29,0.967,699.02,294.39,-77.575,138.584,158.819
30,1.0,654.05,373.37,-93.055,164.851,189.302
31,1.033,654.55,373.83,-102.509,183.878,210.521
32,1.067,654.98,374.09,-105.525,194.813,221.557
33,1.1,655.45,374.34,-101.261,196.948,221.455
34,1.133,655.84,374.59,-89.655,188.948,209.139
35,1.167,655.99,374.86,-70.602,168.9,183.062
36,1.2,655.94,375.1,-34.245,136.23,140.469
37,1.233,655.79,375.05,2.007,99.455,99.475
38,1.267,655.86,374.57,40.309,47.518,62.312
39,1.3,656.23,373.82,89.502,-29.359,94.194
40,1.333,656.75,372.9,82.18,-12.032,83.056
41,1.367,657.64,372.21,56.307,36.95,67.349
42,1.4,658.7,371.81,68.525,11.844,69.541
43,1.433,667.49,378.12,82.178,-20.722,84.75
44,1.467,676.15,379.52,70.062,-10.124,70.79
45,1.5,677.41,381.39,47.569,14.072,49.607
46,1.533,679.15,384.15,40.241,9.477,41.342
47,1.567,681.65,386.3,32.134,4.64,32.467
48,1.6,683.26,386.52,23.295,-0.206,23.296
49,1.633,685.44,385.39,13.855,-5.148,14.781
50,1.667,688.7,383.83,4.145,-10.198,11.008
51,1.7,667.2,378.09,-5.49,-15.171,16.134
52,1.733,668.43,377.71,-14.307,-20.686,25.151
53,1.767,669.92,376.41,-21.571,-25.54,33.431
54,1.8,671.1,375.68,-26.632,-28.413,38.943
55,1.833,671.72,373.93,-28.995,-28.97,40.988
56,1.867,672.02,373.62,-28.005,-26.675,38.676
57,1.9,672.1,373.14,-23.263,-21.228,31.493
58,1.933,672.37,374.22,-14.698,-12.484,19.284
59,1.967,672.19,374.33,-7.131,-4.475,8.419
60,2.0,672.06,374.93,-2.656,3.964,4.771
61,2.033,672.05,374.98,-2.784,17.766,17.983
62,2.067,671.3,374.83,-2.445,26.402,26.515
63,2.1,670.84,374.5,-3.118,29.832,29.995
64,2.133,670.58,374.62,-4.977,28.92,29.345
65,2.167,670.4,375.21,-9.336,24.474,26.194
66,2.2,670.69,375.93,-18.042,17.303,24.998
67,2.233,670.82,379.05,-14.293,5.139,15.189
68,2.267,670.81,381.24,-11.965,-5.267,13.073
69,2.3,670.43,381.79,-11.031,-13.564,17.483
70,2.333,669.73,382.36,-11.257,-20.025,22.972
71,2.367,668.24,382.49,-12.292,-24.048,27.008
72,2.4,665.86,382.17,-13.803,-26.239,29.648
73,2.433,663.22,381.44,-15.45,-26.515,30.688
74,2.467,661.12,380.8,-17.195,-25.7,30.922
75,2.5,659.55,380.29,-18.864,-23.578,30.196
76,2.533,668.64,363.77,-20.48,-20.561,29.021
77,2.567,667.92,363.78,-22.05,-16.53,27.558
78,2.6,667.89,363.96,-23.155,-11.422,25.819
79,2.633,667.25,364.1,-26.91,1.298,26.941
80,2.667,666.71,364.48,-28.479,11.706,30.791
81,2.7,666.25,364.56,-27.913,19.552,34.08
82,2.733,656.44,379.26,-25.738,24.966,35.857
83,2.767,656.45,379.24,-22.456,26.741,34.919
84,2.8,656.48,379.21,-18.707,25.47,31.601
85,2.833,656.52,379.18,-14.696,21.733,26.236
86,2.867,656.63,379.12,-10.575,15.443,18.717
87,2.9,656.68,379.14,-6.081,6.844,9.155
88,2.933,656.52,379.22,-0.75,-3.861,3.933
89,2.967,656.19,379.18,5.984,-16.316,17.379
90,3.0,656.04,379.17,14.198,-30.305,33.466
91,3.033,656.11,379.21,23.999,-45.619,51.547
92,3.067,656.26,379.21,33.015,-61.165,69.506
93,3.1,656.57,379.14,38.393,-69.875,79.728
94,3.133,665.68,361.14,39.822,-72.151,82.411
95,3.167,666.39,359.8,33.499,-60.431,69.095
96,3.2,666.55,359.3,25.906,-47.547,54.146
97,3.233,666.34,359.32,16.655,-32.531,36.547
98,3.267,666.15,359.77,10.982,-23.765,26.18
99,3.3,666.42,359.42,5.452,-15.624,16.548
100,3.333,666.69,359.19,0.377,-8.282,8.291
101,3.367,666.95,359.15,-4.146,-1.855,4.542
102,3.4,667.07,359.03,-8.064,3.829,8.927
103,3.433,667.26,359.04,-11.317,8.723,14.289
104,3.467,667.09,358.95,-8.0,6.246,10.149
105,3.5,666.82,358.43,-12.071,11.573,16.722
106,3.533,666.28,357.05,-14.016,14.324,20.041
107,3.567,655.06,378.83,-13.446,13.573,19.106
108,3.6,654.59,378.57,-10.234,8.944,13.592
109,3.633,654.21,378.36,-4.587,0.293,4.596
110,3.667,665.29,356.54,-1.565,-1.995,2.535
111,3.7,665.11,356.96,1.584,-3.406,3.756
112,3.733,665.08,357.14,4.98,-4.045,6.416
113,3.767,665.56,357.86,8.948,-3.944,9.778
114,3.8,666.17,358.15,13.165,-3.487,13.619
115,3.833,666.39,358.88,16.951,-2.619,17.152
116,3.867,666.61,359.96,20.398,-1.516,20.454
117,3.9,666.89,360.62,23.488,-0.065,23.488
118,3.933,667.47,360.77,25.475,2.302,25.579
119,3.967,652.64,378.02,25.877,5.813,26.521
120,4.0,668.75,361.92,24.717,10.776,26.964
121,4.033,669.6,362.2,22.166,17.7,28.365
122,4.067,669.9,363.6,26.25,26.101,37.018
123,4.1,670.14,365.17,30.72,24.909,39.55
124,4.133,671.09,366.22,32.858,21.136,39.069
125,4.167,672.02,367.01,33.852,13.852,36.576
126,4.2,673.08,367.37,27.949,15.216,31.822
127,4.233,674.06,367.52,19.983,17.044,26.265
128,4.267,674.29,367.2,10.543,19.335,22.023
129,4.3,674.74,366.94,0.022,21.721,21.721
130,4.333,675.8,367.38,-11.226,24.32,26.786
131,4.367,676.13,368.68,-22.568,26.93,35.136
132,4.4,675.57,370.35,-33.566,28.698,44.161
133,4.433,675.84,371.61,-44.077,29.433,53.001
134,4.467,676.54,372.79,-54.02,30.41,61.991
135,4.5,677.21,373.85,-53.694,23.823,58.742
136,4.533,677.23,374.8,-57.2,23.972,62.02
137,4.567,654.87,379.35,-58.85,24.733,63.836
138,4.6,654.76,379.34,-58.3,25.765,63.739
139,4.633,654.74,379.34,-55.411,26.471,61.409
140,4.667,654.72,379.25,-50.531,26.118,56.881
141,4.7,654.82,379.14,-44.047,24.938,50.616
142,4.733,654.84,378.96,-36.348,23.306,43.179
143,4.767,654.92,378.82,-27.769,21.409,35.064
144,4.8,654.85,378.76,-18.415,19.542,26.851
145,4.833,654.81,378.83,-8.904,17.333,19.486
146,4.867,654.66,378.94,-0.346,14.873,14.877
147,4.9,654.41,380.85,6.811,12.029,13.823
148,4.933,654.62,384.79,12.444,8.789,15.235
149,4.967,655.19,388.17,15.574,5.425,16.492
150,5.0,655.65,386.31,15.257,2.118,15.403
151,5.033,656.09,385.92,10.577,-0.971,10.621
152,5.067,656.37,385.68,1.059,-3.624,3.776
153,5.1,656.58,384.36,-0.51,-7.838,7.855
154,5.133,656.64,382.93,-2.06,-11.718,11.898
155,5.167,656.42,382.87,-3.493,-15.005,15.406
156,5.2,656.4,382.37,-4.696,-17.39,18.013
157,5.233,656.24,381.26,-5.629,-18.646,19.478
158,5.267,655.75,379.79,-6.303,-18.61,19.649
159,5.3,655.07,378.22,-6.852,-17.228,18.541
160,5.333,654.29,378.07,-7.124,-14.437,16.099
161,5.367,653.75,378.05,-7.11,-10.259,12.482
162,5.4,653.45,378.13,-6.752,-4.706,8.23
163,5.433,653.22,378.22,-5.952,1.116,6.056
164,5.467,653.12,378.46,-4.921,5.484,7.368
165,5.5,653.08,378.79,-3.906,7.641,8.582
166,5.533,653.28,379.35,-3.122,9.598,10.093
167,5.567,653.45,380.04,-2.919,10.712,11.103
168,5.6,653.56,380.77,-3.271,10.854,11.336
169,5.633,653.67,381.49,-4.182,10.597,11.392
170,5.667,653.66,382.07,-5.615,10.265,11.701
171,5.7,653.47,382.4,-7.4,9.201,11.808
172,5.733,653.0,382.45,-9.697,7.488,12.252
173,5.767,652.48,382.35,-12.637,5.361,13.727
174,5.8,652.09,382.2,-16.244,3.025,16.523
175,5.833,651.45,381.95,-20.604,0.787,20.619
176,5.867,650.65,381.64,-25.482,-1.792,25.545
177,5.9,649.72,381.35,-30.802,-4.577,31.14
178,5.933,648.61,381.16,-36.36,-7.29,37.083
179,5.967,647.29,381.05,-41.845,-9.604,42.933
180,6.0,645.68,380.94,-47.064,-11.294,48.4
181,6.033,644.06,380.97,-51.765,-12.214,53.187
182,6.067,642.8,381.04,-55.807,-12.362,57.159
183,6.1,641.35,380.98,-58.934,-11.815,60.106
184,6.133,639.64,380.7,-60.96,-10.825,61.913
185,6.167,637.63,380.01,-61.941,-9.604,62.681
186,6.2,635.15,379.15,-61.82,-8.233,62.365
187,6.233,632.34,378.16,-60.579,-6.63,60.941
188,6.267,629.5,377.26,-58.099,-4.746,58.293
189,6.3,626.85,376.77,-54.464,-2.51,54.521
190,6.333,624.88,376.69,-49.953,0.012,49.953
191,6.367,623.2,377.07,-44.68,2.698,44.761
192,6.4,621.99,377.79,-38.76,5.212,39.109
193,6.433,621.04,378.56,-32.781,7.513,33.63
194,6.467,620.25,379.27,-27.318,9.604,28.957
195,6.5,619.78,379.84,-22.684,11.471,25.419
196,6.533,619.54,380.28,-18.699,14.06,23.395
197,6.567,619.42,380.57,-15.462,16.857,22.874
198,6.6,619.24,380.72,-13.076,19.071,23.123
199,6.633,618.95,381.09,-11.383,17.82,21.145
200,6.667,618.86,381.68,-10.214,13.612,17.018
201,6.7,618.74,382.31,-9.725,7.747,12.433
202,6.733,618.61,382.76,-9.825,1.971,10.02
203,6.767,618.25,383.08,-10.309,-2.628,10.639
204,6.8,617.72,383.09,-10.746,-6.035,12.324
205,6.833,617.02,382.86,-11.043,-8.331,13.832
206,6.867,616.02,382.6,-11.229,-9.549,14.741
207,6.9,614.44,382.9,-11.369,-9.692,14.94
208,6.933,613.28,383.29,-11.083,-9.086,14.331
209,6.967,612.92,383.52,-10.14,-8.032,12.936
210,7.0,613.26,383.51,-8.6,-6.499,10.779
211,7.033,613.53,380.58,-6.927,-4.314,8.16
212,7.067,614.1,376.89,-5.568,-1.323,5.723
213,7.1,614.46,373.15,-5.23,2.873,5.967
214,7.133,614.32,375.8,-6.385,8.641,10.744
215,7.167,613.5,379.64,-9.261,16.038,18.52
216,7.2,612.82,383.33,-13.457,24.397,27.862
217,7.233,612.28,385.09,-18.746,33.073,38.017
218,7.267,611.9,385.38,-25.037,41.797,48.722
219,7.3,611.11,386.07,-32.044,50.113,59.482
220,7.333,610.48,387.15,-39.453,57.752,69.942
221,7.367,609.75,388.46,-46.544,64.093,79.21
222,7.4,609.35,389.7,-54.167,75.131,92.621
223,7.433,607.9,391.45,-59.91,80.67,100.484
224,7.467,605.34,394.12,-63.448,80.919,102.827
225,7.5,601.98,397.23,-64.633,76.419,100.087
226,7.533,598.42,400.58,-63.96,67.986,93.344
227,7.567,594.68,404.13,-61.464,57.353,84.066
228,7.6,591.68,407.19,-57.407,45.936,73.523
229,7.633,589.67,409.39,-51.746,35.416,62.705
230,7.667,588.81,410.43,-44.62,24.55,50.928
231,7.7,587.6,411.44,-36.891,6.704,37.495
232,7.733,586.45,412.51,-28.968,-8.414,30.166
233,7.767,585.67,413.02,-21.096,-20.505,29.419
234,7.8,585.22,413.26,-13.511,-29.121,32.103
235,7.833,585.16,413.09,-6.899,-34.005,34.698
236,7.867,584.55,413.52,-2.158,-35.009,35.076
237,7.9,587.62,396.66,0.857,-32.64,32.651
238,7.933,588.04,396.77,1.545,-26.967,27.012
239,7.967,588.45,397.01,0.483,-18.66,18.666
240,8.0,588.28,396.95,-2.042,-8.28,8.528
