behaviour,bout,start_frame,end_frame,start_s,end_s,duration_s
rearing,1,320,333,10.67,11.1,0.43
rearing,2,357,376,11.9,12.53,0.63
grooming,1,997,1016,33.23,33.87,0.63
grooming,2,1179,1212,39.3,40.4,1.1
rearing,3,1395,1528,46.5,50.93,4.43
grooming,3,1741,1803,58.03,60.1,2.07
rearing,4,2072,2164,69.07,72.13,3.07
rearing,5,2481,2617,82.7,87.23,4.53
rearing,6,2641,2687,88.03,89.57,1.53
grooming,4,2875,2979,95.83,99.3,3.47
grooming,5,3119,3132,103.97,104.4,0.43
grooming,6,3238,3249,107.93,108.3,0.37
rearing,7,3426,3515,114.2,117.17,2.97
grooming,7,3584,3593,119.47,119.77,0.3
grooming,8,3656,3666,121.87,122.2,0.33
grooming,9,3732,3742,124.4,124.73,0.33
grooming,10,4323,4358,144.1,145.27,1.17
rearing,8,4579,4714,152.63,157.13,4.5
grooming,11,4822,4858,160.73,161.93,1.2
rearing,9,4925,5093,164.17,169.77,5.6
grooming,12,5141,5167,171.37,172.23,0.87
rearing,10,5185,5214,172.83,173.8,0.97
