behaviour,bout,start_frame,end_frame,start_s,end_s,duration_s
rearing,1,192,215,6.4,7.17,0.77
rearing,2,273,314,9.1,10.47,1.37
rearing,3,342,366,11.4,12.2,0.8
rearing,4,539,550,17.97,18.33,0.37
rearing,5,598,643,19.93,21.43,1.5
rearing,6,726,741,24.2,24.7,0.5
rearing,7,785,829,26.17,27.63,1.47
rearing,8,994,1022,33.13,34.07,0.93
rearing,9,1190,1231,39.67,41.03,1.37
rearing,10,1250,1268,41.67,42.27,0.6
rearing,11,1539,1638,51.3,54.6,3.3
grooming,1,1725,1737,57.5,57.9,0.4
rearing,12,1800,1829,60.0,60.97,0.97
rearing,13,2151,2234,71.7,74.47,2.77
rearing,14,2263,2503,75.43,83.43,8.0
rearing,15,2633,2745,87.77,91.5,3.73
grooming,2,2837,2914,94.57,97.13,2.57
grooming,3,2997,3210,99.9,107.0,7.1
grooming,4,3382,3498,112.73,116.6,3.87
rearing,16,3561,3645,118.7,121.5,2.8
rearing,17,3848,3939,128.27,131.3,3.03
grooming,5,3960,4007,132.0,133.57,1.57
rearing,18,4109,4174,136.97,139.13,2.17
rearing,19,4316,4328,143.87,144.27,0.4
grooming,6,4581,4595,152.7,153.17,0.47
