scorer,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180,DLC_Resnet50_rat_behavior_openfieldApr1shuffle1_snapshot_best-180
bodyparts,nose,nose,nose,head,head,head,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,body_center,body_center,body_center,left_forepaw,left_forepaw,left_forepaw,right_forepaw,right_forepaw,right_forepaw,left_hindpaw,left_hindpaw,left_hindpaw,right_hindpaw,right_hindpaw,right_hindpaw,tail_base,tail_base,tail_base
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,744.3225,462.05594,0.9224463,725.8321,452.3248,1.0,721.8382,439.10437,1.0,712.90265,457.469,0.87280005,655.19073,416.7998,0.892412,707.3462,426.77502,0.8373812,696.97327,455.91702,0.7595665,647.8867,388.0592,0.7626014,635.6626,441.29196,1.0,598.493,386.85275,0.9735025
1,742.7244,464.82315,0.9468328,722.9929,452.60904,0.95829284,720.6415,439.72775,1.0,708.9995,456.4646,0.8971814,653.0434,416.6813,0.86689377,703.46924,425.57242,0.8028238,693.70966,454.7818,0.77640957,646.6461,388.53482,0.8448259,635.60425,441.29517,0.9914992,597.39667,387.9425,0.9604388
2,739.58014,468.03207,0.97785854,720.6681,454.1912,1.0,717.3708,438.94348,1.0,705.05914,455.8889,0.95052,653.20013,416.78766,0.8983125,701.0395,425.08575,0.68593365,690.60693,453.84735,0.74993044,645.28094,388.54602,0.87217945,635.3546,441.5306,0.9821927,596.1232,387.89172,0.9569616
3,733.22156,471.34164,0.96799296,715.7516,454.50104,1.0,714.5401,437.85654,1.0,700.65204,454.75986,0.9934708,652.2238,416.22433,0.87760854,701.9761,424.93762,0.7024129,686.4527,454.12262,0.7130459,645.5905,387.99524,0.8627896,634.87756,441.02313,0.9769219,596.0663,387.9076,0.9591447
4,728.7191,473.81335,0.8784169,711.5093,454.5364,0.96967286,711.0199,437.51367,0.9727915,695.52344,452.7376,0.9448355,650.9456,415.0685,0.901361,699.84546,425.08517,0.8024927,682.93146,453.0219,0.6919714,645.59265,387.06558,0.8619871,633.64716,440.62943,0.9998807,595.8142,386.92538,0.9589454
5,727.13635,474.5099,0.9208523,709.44476,455.38657,0.98005027,708.82697,438.02115,0.9852187,693.387,453.94653,0.935227,649.125,413.7746,0.9200529,700.57666,425.37964,0.8058498,681.15186,452.51587,0.72170603,645.6333,385.9456,0.7871616,633.5233,440.4345,1.0,594.16797,385.13156,0.8883046
6,724.8793,474.42886,0.9190295,706.3728,455.59897,0.9564014,705.65686,439.6219,0.9102929,690.63617,454.25082,0.9320701,647.66187,413.322,0.9307967,703.5429,426.8435,0.8573976,679.27893,451.97263,0.7868703,645.5927,385.5818,0.77828807,633.7766,440.63504,1.0,593.6851,385.47983,0.9204277
7,721.7736,474.5752,0.87708575,704.58795,454.32022,1.0,704.60657,439.69464,0.9386918,687.79016,453.26178,0.9319746,646.9673,412.68512,0.9403888,703.2065,426.88034,0.8681066,676.6814,451.84094,0.8058547,646.38556,385.2479,0.7786569,634.914,441.503,1.0,593.1585,385.20004,0.90997773
8,719.5327,474.9834,0.8471104,701.78326,454.52466,1.0,702.73114,439.69757,0.94779766,686.02423,453.63202,0.9224835,646.1681,411.28992,0.889366,703.08746,426.79407,0.8821667,675.2293,451.68808,0.78309,645.8671,383.68008,0.74232775,634.6184,440.90356,1.0,592.218,384.05307,0.8832324
