behaviour,bout,start_frame,end_frame,start_s,end_s,duration_s
rearing,1,120,221,4.0,7.37,3.37
rearing,2,381,394,12.7,13.13,0.43
rearing,3,420,444,14.0,14.8,0.8
rearing,4,634,762,21.13,25.4,4.27
grooming,1,863,872,28.77,29.07,0.3
rearing,5,1033,1080,34.43,36.0,1.57
rearing,6,1327,1374,44.23,45.8,1.57
grooming,2,1516,1541,50.53,51.37,0.83
rearing,7,1717,1731,57.23,57.7,0.47
grooming,3,1910,1926,63.67,64.2,0.53
rearing,8,1947,1975,64.9,65.83,0.93
rearing,9,1995,2006,66.5,66.87,0.37
grooming,4,2047,2095,68.23,69.83,1.6
grooming,5,2455,2493,81.83,83.1,1.27
grooming,6,2528,2545,84.27,84.83,0.57
rearing,10,2570,2614,85.67,87.13,1.47
grooming,7,2690,2713,89.67,90.43,0.77
rearing,11,2994,3056,99.8,101.87,2.07
rearing,12,3262,3341,108.73,111.37,2.63
grooming,8,3441,3465,114.7,115.5,0.8
rearing,13,3786,3820,126.2,127.33,1.13
grooming,9,3894,3907,129.8,130.23,0.43
rearing,14,3908,3936,130.27,131.2,0.93
rearing,15,3978,3988,132.6,132.93,0.33
rearing,16,4017,4049,133.9,134.97,1.07
rearing,17,4193,4355,139.77,145.17,5.4
rearing,18,4394,4605,146.47,153.5,7.03
rearing,19,4645,4684,154.83,156.13,1.3
grooming,10,4719,4805,157.3,160.17,2.87
rearing,20,4743,4758,158.1,158.6,0.5
grooming,11,4842,4851,161.4,161.7,0.3
rearing,21,4903,4998,163.43,166.6,3.17
grooming,12,4999,5011,166.63,167.03,0.4
grooming,13,5208,5227,173.6,174.23,0.63
rearing,22,5214,5268,173.8,175.6,1.8
