behaviour,bout,start_frame,end_frame,start_s,end_s,duration_s
rearing,1,214,251,7.13,8.37,1.23
rearing,2,340,395,11.33,13.17,1.83
rearing,3,543,642,18.1,21.4,3.3
rearing,4,716,760,23.87,25.33,1.47
rearing,5,880,964,29.33,32.13,2.8
rearing,6,1109,1222,36.97,40.73,3.77
rearing,7,1241,1305,41.37,43.5,2.13
rearing,8,1931,1948,64.37,64.93,0.57
grooming,1,2139,2193,71.3,73.1,1.8
rearing,9,2196,2344,73.2,78.13,4.93
rearing,10,2384,2399,79.47,79.97,0.5
rearing,11,2434,2456,81.13,81.87,0.73
rearing,12,2650,2673,88.33,89.1,0.77
grooming,2,2871,2893,95.7,96.43,0.73
rearing,13,2961,2971,98.7,99.03,0.33
grooming,3,3008,3042,100.27,101.4,1.13
rearing,14,3175,3291,105.83,109.7,3.87
grooming,4,3379,3407,112.63,113.57,0.93
rearing,15,3535,3544,117.83,118.13,0.3
rearing,16,3568,3580,118.93,119.33,0.4
rearing,17,3626,3730,120.87,124.33,3.47
rearing,18,3794,3810,126.47,127.0,0.53
rearing,19,3883,3903,129.43,130.1,0.67
grooming,5,3931,3943,131.03,131.43,0.4
grooming,6,3962,3979,132.07,132.63,0.57
grooming,7,3995,4005,133.17,133.5,0.33
rearing,20,4124,4136,137.47,137.87,0.4
grooming,8,4137,4148,137.9,138.27,0.37
rearing,21,4444,4532,148.13,151.07,2.93
grooming,9,4553,4573,151.77,152.43,0.67
rearing,22,4738,4784,157.93,159.47,1.53
rearing,23,4857,4868,161.9,162.27,0.37
rearing,24,4884,4900,162.8,163.33,0.53
