behaviour,bout,start_frame,end_frame,start_s,end_s,duration_s
rearing,1,121,133,4.03,4.43,0.4
rearing,2,177,213,5.9,7.1,1.2
rearing,3,257,349,8.57,11.63,3.07
rearing,4,421,446,14.03,14.87,0.83
grooming,1,476,503,15.87,16.77,0.9
rearing,5,577,602,19.23,20.07,0.83
grooming,2,722,736,24.07,24.53,0.47
rearing,6,804,941,26.8,31.37,4.57
rearing,7,1314,1424,43.8,47.47,3.67
grooming,3,1567,1586,52.23,52.87,0.63
rearing,8,1691,1705,56.37,56.83,0.47
rearing,9,1724,1738,57.47,57.93,0.47
grooming,4,2056,2066,68.53,68.87,0.33
grooming,5,2440,2504,81.33,83.47,2.13
rearing,10,2514,2547,83.8,84.9,1.1
grooming,6,2689,2722,89.63,90.73,1.1
rearing,11,2788,2811,92.93,93.7,0.77
grooming,7,2862,2881,95.4,96.03,0.63
rearing,12,2963,3062,98.77,102.07,3.3
grooming,8,3087,3100,102.9,103.33,0.43
rearing,13,3167,3181,105.57,106.03,0.47
rearing,14,3274,3346,109.13,111.53,2.4
grooming,9,3461,3471,115.37,115.7,0.33
rearing,15,3498,3528,116.6,117.6,1.0
rearing,16,3720,3770,124.0,125.67,1.67
rearing,17,3801,3926,126.7,130.87,4.17
rearing,18,3993,4064,133.1,135.47,2.37
rearing,19,4209,4415,140.3,147.17,6.87
rearing,20,4452,4478,148.4,149.27,0.87
grooming,10,4479,4589,149.3,152.97,3.67
grooming,11,4771,4794,159.03,159.8,0.77
rearing,21,4793,4889,159.77,162.97,3.2
grooming,12,4816,4825,160.53,160.83,0.3
grooming,13,4856,4869,161.87,162.3,0.43
rearing,22,5181,5274,172.7,175.8,3.1
