behaviour,bout,start_frame,end_frame,start_s,end_s,duration_s
rearing,1,357,413,11.9,13.77,1.87
rearing,2,521,537,17.37,17.9,0.53
rearing,3,650,668,21.67,22.27,0.6
rearing,4,759,777,25.3,25.9,0.6
grooming,1,1016,1031,33.87,34.37,0.5
rearing,5,1246,1267,41.53,42.23,0.7
grooming,2,1827,1840,60.9,61.33,0.43
rearing,6,1866,1889,62.2,62.97,0.77
grooming,3,1961,1979,65.37,65.97,0.6
rearing,7,2041,2147,68.03,71.57,3.53
rearing,8,2219,2259,73.97,75.3,1.33
rearing,9,2306,2351,76.87,78.37,1.5
rearing,10,2536,2678,84.53,89.27,4.73
rearing,11,2697,2734,89.9,91.13,1.23
grooming,4,3189,3217,106.3,107.23,0.93
rearing,12,3251,3335,108.37,111.17,2.8
grooming,5,3276,3293,109.2,109.77,0.57
rearing,13,3480,3575,116.0,119.17,3.17
grooming,6,3630,3654,121.0,121.8,0.8
rearing,14,3724,3805,124.13,126.83,2.7
rearing,15,3948,3962,131.6,132.07,0.47
rearing,16,3978,4064,132.6,135.47,2.87
rearing,17,4171,4251,139.03,141.7,2.67
grooming,7,4253,4279,141.77,142.63,0.87
grooming,8,4524,4535,150.8,151.17,0.37
rearing,18,4555,4639,151.83,154.63,2.8
rearing,19,4669,4681,155.63,156.03,0.4
rearing,20,4748,4767,158.27,158.9,0.63
grooming,9,5065,5158,168.83,171.93,3.1
