frame,t_s,x_px,y_px,vx_px_s,vy_px_s,speed_px_s
0,0.0,648.43,332.17,-40.652,-35.765,54.145
1,0.033,645.73,332.66,-42.705,-26.893,50.468
2,0.067,644.05,332.59,-44.922,-18.333,48.519
3,0.1,642.6,331.97,-47.302,-10.084,48.365
4,0.133,641.64,332.12,-49.844,-2.147,49.891
5,0.167,640.42,332.57,-52.55,5.478,52.835
6,0.2,639.03,332.92,-55.418,12.791,56.875
7,0.233,635.68,333.76,-58.449,19.792,61.709
8,0.267,634.49,334.14,-61.643,26.481,67.091
9,0.3,632.52,334.84,-65.0,32.859,72.834
10,0.333,630.0,335.58,-68.52,38.925,78.805
11,0.367,629.54,336.28,-72.203,44.679,84.909
12,0.4,626.09,337.46,-76.049,50.121,91.08
13,0.433,622.9,338.43,-80.057,55.252,97.272
14,0.467,619.71,340.09,-84.229,60.071,103.455
15,0.5,615.33,342.47,-88.563,64.578,109.607
16,0.533,612.69,344.62,-94.791,68.835,117.148
17,0.567,610.7,346.58,-101.123,72.333,124.329
18,0.6,607.1,349.94,-107.286,76.062,131.513
19,0.633,603.86,353.54,-113.054,80.377,138.714
20,0.667,598.43,358.61,-118.399,84.502,145.461
21,0.7,593.38,363.21,-123.726,89.079,152.458
22,0.733,591.66,365.8,-128.264,93.487,158.719
23,0.767,589.29,367.8,-131.051,97.091,163.098
24,0.8,585.12,369.53,-133.084,100.192,166.582
25,0.833,582.37,369.9,-134.124,102.507,168.81
26,0.867,577.63,370.89,-133.237,103.434,168.674
27,0.9,568.94,375.04,-132.846,103.99,168.707
28,0.933,562.51,378.68,-130.67,103.532,166.714
29,0.967,556.84,384.43,-127.015,102.525,163.231
30,1.0,553.04,388.42,-121.998,100.758,158.227
31,1.033,550.68,392.88,-113.993,97.191,149.802
32,1.067,548.02,397.74,-104.667,92.805,139.885
33,1.1,545.07,400.94,-93.734,87.352,128.126
34,1.133,542.23,403.63,-82.604,81.594,116.108
35,1.167,539.26,407.0,-71.45,75.14,103.688
36,1.2,537.89,408.02,-59.514,67.367,89.89
37,1.233,535.54,409.44,-46.79,57.728,74.309
38,1.267,533.78,411.0,-34.637,46.557,58.028
39,1.3,532.7,411.77,-23.796,34.505,41.915
40,1.333,532.28,412.25,-14.958,23.024,27.456
41,1.367,530.75,413.84,-9.113,12.467,15.442
42,1.4,532.34,413.22,-5.342,4.122,6.747
43,1.433,532.4,413.22,-1.359,-2.827,3.137
44,1.467,533.26,412.43,2.879,-8.407,8.886
45,1.5,534.83,411.37,7.864,-13.373,15.514
46,1.533,534.3,412.1,13.16,-17.372,21.794
47,1.567,535.19,411.5,19.103,-20.992,28.382
48,1.6,533.31,412.49,25.019,-24.634,35.111
49,1.633,534.71,410.98,30.931,-28.105,41.793
50,1.667,535.68,409.71,37.699,-32.149,49.546
51,1.7,537.11,407.41,43.775,-36.55,57.028
52,1.733,538.57,405.52,47.288,-40.302,62.132
53,1.767,538.62,404.8,50.4,-44.153,67.005
54,1.8,538.8,404.23,52.044,-47.822,70.679
55,1.833,541.32,401.71,53.241,-51.095,73.792
56,1.867,544.22,401.25,53.777,-53.619,75.94
57,1.9,546.93,399.53,55.84,-56.467,79.414
58,1.933,550.16,397.18,56.089,-58.308,80.906
59,1.967,553.16,395.54,54.896,-59.505,80.96
60,2.0,555.82,392.99,50.61,-59.801,78.343
61,2.033,558.39,390.63,44.698,-58.948,73.978
62,2.067,558.29,388.5,37.162,-58.104,68.971
63,2.1,558.78,385.77,28.521,-56.85,63.604
64,2.133,558.83,383.25,19.648,-55.813,59.17
65,2.167,555.79,382.71,9.084,-54.681,55.43
66,2.2,555.3,380.77,-2.323,-53.629,53.679
67,2.233,557.7,378.59,-15.152,-51.939,54.104
68,2.267,557.05,377.78,-26.0,-50.15,56.489
69,2.3,558.72,376.27,-37.127,-48.491,61.072
70,2.333,558.17,375.01,-46.887,-47.426,66.691
71,2.367,557.22,373.25,-53.742,-46.003,70.743
72,2.4,551.84,372.32,-60.637,-45.463,75.787
73,2.433,548.95,370.57,-67.177,-45.246,80.993
74,2.467,545.92,368.85,-72.136,-45.06,85.053
75,2.5,545.84,367.27,-76.267,-44.37,88.235
76,2.533,541.7,365.57,-81.545,-43.913,92.618
77,2.567,539.41,364.28,-87.514,-44.258,98.069
78,2.6,534.67,363.01,-89.99,-44.3,100.303
79,2.633,531.36,360.56,-93.007,-44.141,102.95
80,2.667,529.23,359.11,-95.655,-44.266,105.401
81,2.7,526.73,357.74,-94.995,-45.229,105.213
82,2.733,526.5,355.9,-91.723,-45.861,102.549
83,2.767,519.25,355.13,-88.313,-46.025,99.586
84,2.8,518.84,353.69,-84.052,-46.243,95.933
85,2.833,517.37,352.56,-80.228,-45.805,92.383
86,2.867,510.63,351.27,-76.836,-45.109,89.099
87,2.9,509.42,350.43,-73.573,-43.361,85.4
88,2.933,508.54,349.29,-68.628,-41.463,80.181
89,2.967,504.34,348.17,-62.581,-39.102,73.792
90,3.0,500.78,344.6,-54.977,-35.657,65.527
