behaviour,bout,start_frame,end_frame,start_s,end_s,duration_s
grooming,1,34,53,1.13,1.77,0.63
rearing,1,242,258,8.07,8.6,0.53
rearing,2,294,316,9.8,10.53,0.73
rearing,3,537,668,17.9,22.27,4.37
grooming,2,1104,1126,36.8,37.53,0.73
rearing,4,1280,1320,42.67,44.0,1.33
grooming,3,1672,1701,55.73,56.7,0.97
rearing,5,1978,2006,65.93,66.87,0.93
rearing,6,2177,2397,72.57,79.9,7.33
rearing,7,2420,2533,80.67,84.43,3.77
grooming,4,2775,2788,92.5,92.93,0.43
rearing,8,2805,2960,93.5,98.67,5.17
rearing,9,3047,3105,101.57,103.5,1.93
rearing,10,3123,3230,104.1,107.67,3.57
grooming,5,3349,3361,111.63,112.03,0.4
rearing,11,3600,3618,120.0,120.6,0.6
rearing,12,3734,3792,124.47,126.4,1.93
rearing,13,3960,4011,132.0,133.7,1.7
grooming,6,4039,4048,134.63,134.93,0.3
grooming,7,4412,4422,147.07,147.4,0.33
rearing,14,4423,4452,147.43,148.4,0.97
grooming,8,4503,4518,150.1,150.6,0.5
grooming,9,4538,4550,151.27,151.67,0.4
rearing,15,4593,4638,153.1,154.6,1.5
rearing,16,4666,4787,155.53,159.57,4.03
