scorer,MATLAB_TMaze_v1,MATLAB_TMaze_v1,MATLAB_TMaze_v1
bodyparts,body_center,body_center,body_center
coords,x,y,likelihood
0,595.509182,352.727953,1.000000
1,594.401896,350.617945,1.000000
2,593.868325,342.265857,1.000000
3,596.949767,341.220520,1.000000
4,584.656391,329.803450,1.000000
5,584.540510,327.214731,1.000000
6,584.322881,324.933051,1.000000
7,582.794572,321.524215,1.000000
8,581.096640,319.518885,1.000000
9,579.494843,315.747157,1.000000
10,578.820595,311.519979,1.000000
11,578.114309,308.738076,1.000000
12,577.420275,305.688490,1.000000
13,576.796965,302.976452,1.000000
14,578.111551,282.123102,1.000000
15,576.890385,295.116079,1.000000
16,577.363377,294.174805,1.000000
17,578.217095,287.713949,1.000000
18,578.973454,281.771702,1.000000
19,579.436064,276.631522,1.000000
20,579.970754,274.829622,1.000000
21,580.192525,271.560903,1.000000
22,580.625648,263.850477,1.000000
23,580.558776,260.430932,1.000000
24,580.055171,256.539712,1.000000
25,579.485073,248.886333,1.000000
26,577.820725,249.605221,1.000000
27,577.183778,245.836702,1.000000
28,576.074192,246.237679,1.000000
29,575.591065,243.525773,1.000000
30,575.200217,239.635106,1.000000
31,574.704715,237.644623,1.000000
32,574.890741,234.373623,1.000000
33,576.316990,223.606742,1.000000
34,576.018737,233.367541,1.000000
35,576.164568,231.809078,1.000000
36,576.272805,232.154958,1.000000
37,576.317939,231.978034,1.000000
38,576.782834,227.177707,1.000000
39,576.842771,227.889049,1.000000
40,577.295669,226.089117,1.000000
41,577.672131,223.542373,1.000000
42,578.038004,221.024079,1.000000
43,577.914119,220.340320,1.000000
44,577.910813,220.609443,1.000000
45,577.467130,223.384304,1.000000
46,577.463358,223.539854,1.000000
47,577.470310,224.204136,1.000000
48,577.467346,225.192930,1.000000
49,577.913473,225.656886,1.000000
50,578.530466,224.471326,1.000000
51,578.879283,225.501100,1.000000
52,579.236948,223.913191,1.000000
53,578.262843,223.544280,1.000000
54,577.285576,223.621168,1.000000
55,576.511209,224.287022,1.000000
56,576.090331,225.285941,1.000000
57,576.123389,224.452642,1.000000
58,575.727608,226.632674,1.000000
59,575.778626,227.555592,1.000000
60,575.302876,228.268020,1.000000
61,574.872827,231.140373,1.000000
62,575.603854,229.238406,1.000000
63,574.837570,231.395510,1.000000
64,575.833616,229.841410,1.000000
65,576.069806,230.460922,1.000000
66,576.592083,228.882616,1.000000
67,576.863556,228.128667,1.000000
68,577.936120,226.974856,1.000000
69,577.486772,227.334392,1.000000
70,578.485362,226.438448,1.000000
71,578.190565,227.569465,1.000000
72,577.971691,228.420046,1.000000
73,578.440000,226.726538,1.000000
74,577.902977,225.783168,1.000000
75,577.733033,224.397825,1.000000
76,576.349632,227.941544,1.000000
77,577.762436,217.339842,1.000000
78,577.479209,218.838235,1.000000
79,575.025455,228.147475,1.000000
80,572.493175,234.533245,1.000000
81,573.069024,233.207071,1.000000
82,573.727625,232.952668,1.000000
83,573.455637,232.927990,1.000000
84,574.405438,232.198052,1.000000
85,574.473144,231.888231,1.000000
86,575.636439,229.039571,1.000000
87,574.898186,231.297197,1.000000
88,576.655422,226.240161,1.000000
89,574.736405,233.714124,1.000000
90,574.627312,232.120031,1.000000
91,575.088340,233.434192,1.000000
92,575.943489,231.243945,1.000000
93,575.674550,231.050477,1.000000
94,576.277314,231.005567,1.000000
95,575.700824,235.061614,1.000000
96,576.430878,233.113017,1.000000
97,576.168449,232.917112,1.000000
98,576.694257,233.613176,1.000000
99,576.766330,234.561616,1.000000
100,576.737370,234.728672,1.000000
101,576.925744,235.277069,1.000000
102,577.414618,235.209967,1.000000
103,576.726144,236.216389,1.000000
104,576.439427,236.653405,1.000000
105,575.991983,236.975583,1.000000
106,575.514920,237.979622,1.000000
107,575.210797,238.133676,1.000000
108,575.230314,236.654344,1.000000
109,575.160331,236.163342,1.000000
110,575.120280,234.378357,1.000000
111,575.019754,236.710026,1.000000
112,574.592996,236.156420,1.000000
113,574.936593,236.467150,1.000000
114,574.676930,228.876841,1.000000
115,574.367190,236.959755,1.000000
116,574.525436,237.508726,1.000000
117,574.176027,236.545797,1.000000
118,574.415436,236.926145,1.000000
119,574.519925,236.970677,1.000000
120,575.443627,236.993697,1.000000
121,575.841010,237.312521,1.000000
122,576.123134,237.756106,1.000000
123,576.495110,237.851602,1.000000
124,576.814319,237.803279,1.000000
125,576.456615,238.297592,1.000000
126,576.821688,238.037904,1.000000
127,576.562087,237.513540,1.000000
128,576.336087,237.451421,1.000000
129,575.911358,237.352208,1.000000
130,575.480808,236.766667,1.000000
131,575.512138,238.286581,1.000000
132,575.678767,236.434932,1.000000
