scorer,MATLAB_TMaze_v1,MATLAB_TMaze_v1,MATLAB_TMaze_v1
bodyparts,body_center,body_center,body_center
coords,x,y,likelihood
0,637.324994,373.040956,1.000000
1,635.286949,373.508309,1.000000
2,632.936320,373.760650,1.000000
3,631.761487,374.291088,1.000000
4,629.048472,375.056691,1.000000
5,625.960162,376.002983,1.000000
6,623.696042,376.730374,1.000000
7,621.700962,377.083874,1.000000
8,617.026508,376.109565,1.000000
9,615.406560,376.142417,1.000000
10,614.700587,375.715373,1.000000
11,613.874452,375.202673,1.000000
12,613.426244,374.988771,1.000000
13,614.427261,374.864369,1.000000
14,613.160522,374.913442,1.000000
15,613.683371,374.609339,1.000000
16,613.185082,374.511235,1.000000
17,613.148037,374.884296,1.000000
18,613.173801,374.464327,1.000000
19,613.831393,374.250116,1.000000
20,612.988068,373.489904,1.000000
21,612.948977,373.378993,1.000000
22,612.884881,372.982996,1.000000
23,615.092561,373.933850,1.000000
24,613.833452,372.554526,1.000000
25,613.836954,371.783228,1.000000
26,610.941359,369.775924,1.000000
27,610.449614,368.421996,1.000000
28,609.174272,368.708495,1.000000
29,607.212129,368.165347,1.000000
30,606.096331,367.041677,1.000000
31,604.968847,366.561526,1.000000
32,604.800416,366.082227,1.000000
33,603.350663,365.067533,1.000000
34,603.254734,365.126483,1.000000
35,602.281125,364.067729,1.000000
36,600.361077,362.684300,1.000000
37,597.761583,360.936535,1.000000
38,597.017985,359.657797,1.000000
39,595.684262,357.549581,1.000000
40,595.068774,354.820222,1.000000
41,594.793983,352.987966,1.000000
42,594.249940,350.416406,1.000000
43,594.948419,348.953173,1.000000
44,595.371127,346.490845,1.000000
45,595.009024,343.125386,1.000000
46,594.176300,339.455865,1.000000
47,593.801463,336.020686,1.000000
48,590.590681,332.950651,1.000000
49,589.421324,330.851961,1.000000
50,585.553483,329.214925,1.000000
51,582.875121,325.905248,1.000000
52,580.530190,322.153942,1.000000
53,577.876685,317.794312,1.000000
54,577.616642,314.387568,1.000000
55,577.337169,310.381734,1.000000
56,578.264151,306.017338,1.000000
57,579.125094,302.340869,1.000000
58,580.388078,299.687374,1.000000
59,579.118908,272.878817,1.000000
60,582.334295,287.680126,1.000000
61,583.621913,283.454808,1.000000
62,583.658504,279.562151,1.000000
63,582.825393,273.832845,1.000000
64,580.622837,268.624168,1.000000
65,579.661825,266.883804,1.000000
66,578.428571,263.914180,1.000000
67,577.676551,260.350925,1.000000
68,577.258375,257.258649,1.000000
69,576.601414,252.859689,1.000000
70,575.113208,246.008708,1.000000
71,575.395109,239.461108,1.000000
72,577.249235,238.978581,1.000000
73,577.320497,228.526076,1.000000
74,579.058704,228.576923,1.000000
75,579.657326,224.626970,1.000000
76,580.389480,219.741135,1.000000
77,580.448909,197.016073,1.000000
78,580.689081,209.321630,1.000000
79,580.124675,205.919192,1.000000
80,579.184527,203.791117,1.000000
81,578.252883,200.704641,1.000000
82,577.458877,197.377198,1.000000
83,576.974658,194.736333,1.000000
84,576.025436,190.282366,1.000000
85,575.557401,186.110650,1.000000
86,575.982436,164.639387,1.000000
87,576.511585,163.454211,1.000000
88,577.257456,161.051718,1.000000
89,579.097531,175.847222,1.000000
90,578.340901,160.200659,1.000000
91,578.804252,159.029326,1.000000
92,579.311208,157.330794,1.000000
93,580.074832,169.186622,1.000000
94,580.653903,167.086598,1.000000
95,581.667552,168.316224,1.000000
96,582.342697,165.875813,1.000000
97,582.093704,163.771010,1.000000
98,581.688791,161.134513,1.000000
99,581.077363,156.934979,1.000000
100,580.408442,154.686001,1.000000
101,578.854099,151.784552,1.000000
102,578.135902,147.046595,1.000000
103,577.544975,143.179280,1.000000
104,577.229233,141.663919,1.000000
105,576.795340,126.229903,1.000000
106,576.771318,126.836434,1.000000
107,578.068778,141.804862,1.000000
108,577.000821,124.816427,1.000000
109,579.945779,142.042208,1.000000
110,580.453320,141.325444,1.000000
111,578.359983,126.907074,1.000000
112,580.861444,144.804791,1.000000
113,580.587255,144.045752,1.000000
114,578.380134,127.129505,1.000000
115,580.019421,143.362739,1.000000
116,580.042791,143.156682,1.000000
117,580.178292,143.591917,1.000000
118,580.006564,144.262553,1.000000
119,580.078284,144.243040,1.000000
120,578.759851,127.248859,1.000000
121,580.520503,143.825397,1.000000
122,580.569729,145.045274,1.000000
123,578.698832,127.917785,1.000000
124,578.451724,127.373707,1.000000
125,580.522568,144.376128,1.000000
126,580.531158,144.701794,1.000000
127,579.889000,143.087930,1.000000
128,579.657661,142.861411,1.000000
129,577.476210,124.669332,1.000000
130,579.105411,140.412887,1.000000
131,578.891908,138.861715,1.000000
132,578.561221,135.920842,1.000000
