behaviour,bout,start_frame,end_frame,start_s,end_s,duration_s
grooming,1,40,56,1.33,1.87,0.53
rearing,1,506,516,16.87,17.2,0.33
rearing,2,693,703,23.1,23.43,0.33
grooming,2,958,979,31.93,32.63,0.7
grooming,3,2919,2939,97.3,97.97,0.67
rearing,3,3074,3119,102.47,103.97,1.5
rearing,4,3318,3336,110.6,111.2,0.6
rearing,5,3681,3698,122.7,123.27,0.57
rearing,6,3731,3753,124.37,125.1,0.73
rearing,7,4169,4223,138.97,140.77,1.8
rearing,8,4657,4687,155.23,156.23,1.0
rearing,9,4962,4979,165.4,165.97,0.57
