scorer,MATLAB_TMaze_v1,MATLAB_TMaze_v1,MATLAB_TMaze_v1
bodyparts,body_center,body_center,body_center
coords,x,y,likelihood
0,662.176650,373.610435,1.000000
1,661.094317,373.553171,1.000000
2,660.172147,372.665619,1.000000
3,658.874411,371.864234,1.000000
4,658.211324,371.963993,1.000000
5,658.146516,371.914553,1.000000
6,657.222672,372.230055,1.000000
7,656.449292,372.419104,1.000000
8,655.632332,372.608634,1.000000
9,655.052898,373.142134,1.000000
10,654.767515,373.969588,1.000000
11,654.464015,375.966199,1.000000
12,653.355245,376.297839,1.000000
13,652.465794,376.758636,1.000000
14,651.029464,377.561566,1.000000
15,649.617496,378.191252,1.000000
16,649.016557,378.676926,1.000000
17,647.421491,379.730737,1.000000
18,645.294967,380.645421,1.000000
19,642.671965,381.948596,1.000000
20,639.978116,383.209462,1.000000
21,636.517108,384.439854,1.000000
22,634.961113,384.763706,1.000000
23,632.199875,385.194862,1.000000
24,629.300041,385.419030,1.000000
25,627.326078,385.601507,1.000000
26,625.350524,385.701263,1.000000
27,623.314022,385.806452,1.000000
28,621.637397,386.244038,1.000000
29,619.457255,386.346811,1.000000
30,616.038851,387.089885,1.000000
31,614.578860,387.292874,1.000000
32,613.414201,387.389053,1.000000
33,613.544201,387.568333,1.000000
34,613.503438,387.769892,1.000000
35,613.039180,388.103529,1.000000
36,613.566887,388.408444,1.000000
37,614.170090,388.621242,1.000000
38,613.699700,388.839491,1.000000
39,614.276728,388.801343,1.000000
40,614.690896,388.713167,1.000000
41,614.355793,388.888997,1.000000
42,614.297225,388.955696,1.000000
43,614.428958,388.987217,1.000000
44,614.342305,389.244189,1.000000
45,613.539438,389.990232,1.000000
46,613.302472,390.383665,1.000000
47,612.989649,391.175734,1.000000
48,608.259152,392.785223,1.000000
49,607.289823,393.423230,1.000000
50,608.973203,393.432898,1.000000
51,613.355404,392.726052,1.000000
52,612.448559,392.809702,1.000000
53,607.650505,394.358710,1.000000
54,613.678941,393.447894,1.000000
55,614.645863,393.339790,1.000000
56,614.688620,393.674657,1.000000
57,614.490128,394.458769,1.000000
58,614.198807,395.064281,1.000000
59,616.039294,394.570419,1.000000
60,617.092453,395.906368,1.000000
61,617.454566,395.776410,1.000000
62,617.417412,395.812132,1.000000
63,617.653980,397.371901,1.000000
64,616.249256,397.133348,1.000000
65,614.319520,396.725191,1.000000
66,613.909877,397.681156,1.000000
67,610.624889,398.019590,1.000000
68,587.349536,407.530341,1.000000
69,606.448144,398.833521,1.000000
70,602.407945,400.244767,1.000000
71,600.318192,401.828683,1.000000
72,600.170029,404.228386,1.000000
73,600.461925,405.624521,1.000000
74,579.068148,424.320741,1.000000
75,578.692911,427.803681,1.000000
76,579.001008,428.227823,1.000000
77,610.298627,394.580181,1.000000
78,578.312605,433.341176,1.000000
79,597.414007,417.228243,1.000000
80,595.912907,418.908418,1.000000
81,596.082228,423.683386,1.000000
82,594.418321,426.348242,1.000000
83,594.405498,427.000000,1.000000
84,591.460243,430.064900,1.000000
85,590.767857,431.475294,1.000000
86,589.157197,432.517519,1.000000
87,586.419010,435.521961,1.000000
88,584.212229,437.798953,1.000000
89,583.820098,438.838370,1.000000
90,572.202904,466.777394,1.000000
91,582.571145,443.130640,1.000000
92,582.493493,443.601101,1.000000
93,576.917255,448.218447,1.000000
94,580.293803,450.018873,1.000000
95,572.103643,478.065340,1.000000
96,580.817872,451.470650,1.000000
97,583.753315,447.958719,1.000000
98,583.833004,447.796196,1.000000
99,582.092483,450.851879,1.000000
100,581.288360,452.809011,1.000000
101,580.796665,452.379542,1.000000
102,580.881664,451.721475,1.000000
103,581.783071,450.788900,1.000000
104,581.792082,450.176756,1.000000
105,582.224651,450.389327,1.000000
106,583.223527,449.740279,1.000000
107,583.657901,449.444753,1.000000
108,581.967991,454.796495,1.000000
109,582.186743,455.516750,1.000000
110,582.070877,459.587836,1.000000
111,583.383043,460.267596,1.000000
112,582.521177,464.518306,1.000000
113,581.513966,469.587807,1.000000
114,581.712433,471.438527,1.000000
115,580.679828,476.713089,1.000000
116,575.187589,508.574893,1.000000
117,577.972630,484.290811,1.000000
118,577.508976,489.524745,1.000000
119,576.567410,494.842386,1.000000
120,576.714881,498.633187,1.000000
121,576.360864,504.857863,1.000000
122,575.778296,509.924135,1.000000
123,575.137163,516.335231,1.000000
124,576.393377,521.543488,1.000000
125,577.601385,525.908218,1.000000
126,580.025900,533.740010,1.000000
127,580.979958,541.260080,1.000000
128,581.087541,579.069625,1.000000
129,582.138434,580.618149,1.000000
130,583.370697,589.373899,1.000000
131,580.787676,597.007795,1.000000
132,579.444043,572.418291,1.000000
