behaviour,bout,start_frame,end_frame,start_s,end_s,duration_s
grooming,1,964,1004,32.13,33.47,1.33
grooming,2,1064,1131,35.47,37.7,2.23
grooming,3,1378,1392,45.93,46.4,0.47
rearing,1,1809,1822,60.3,60.73,0.43
rearing,2,2118,2179,70.6,72.63,2.03
rearing,3,2469,2482,82.3,82.73,0.43
grooming,4,2663,2754,88.77,91.8,3.03
rearing,4,2836,2858,94.53,95.27,0.73
grooming,5,2883,2946,96.1,98.2,2.1
grooming,6,3188,3202,106.27,106.73,0.47
grooming,7,3237,3358,107.9,111.93,4.03
grooming,8,3426,3440,114.2,114.67,0.47
grooming,9,3517,3535,117.23,117.83,0.6
grooming,10,3631,3674,121.03,122.47,1.43
grooming,11,3720,3730,124.0,124.33,0.33
grooming,12,3794,3858,126.47,128.6,2.13
grooming,13,3884,3893,129.47,129.77,0.3
grooming,14,3934,3973,131.13,132.43,1.3
grooming,15,4104,4130,136.8,137.67,0.87
rearing,5,4296,4305,143.2,143.5,0.3
rearing,6,4382,4392,146.07,146.4,0.33
rearing,7,4548,4651,151.6,155.03,3.43
grooming,16,4781,4864,159.37,162.13,2.77
rearing,8,4878,4926,162.6,164.2,1.6
grooming,17,4969,4978,165.63,165.93,0.3
grooming,18,5165,5183,172.17,172.77,0.6
grooming,19,5225,5275,174.17,175.83,1.67
grooming,20,5291,5324,176.37,177.47,1.1
