frame,t_s,x_px,y_px,vx_px_s,vy_px_s,speed_px_s
0,0.0,568.15,419.94,-321.818,83.758,332.539
1,0.033,566.87,386.76,-288.141,76.923,298.232
2,0.067,555.48,388.13,-256.214,70.415,265.714
3,0.1,545.89,389.44,-226.039,64.234,234.989
4,0.133,543.04,389.62,-197.615,58.38,206.058
5,0.167,533.85,392.07,-170.942,52.853,178.927
6,0.2,527.18,395.14,-146.021,47.653,153.6
7,0.233,520.35,398.87,-122.85,42.781,130.086
8,0.267,514.26,403.43,-101.431,38.235,108.398
9,0.3,512.73,405.98,-81.763,34.016,88.557
10,0.333,510.75,408.1,-63.846,30.124,70.596
11,0.367,506.05,441.79,-47.681,26.56,54.579
12,0.4,506.93,441.28,-33.267,23.322,40.627
13,0.433,512.93,410.33,-20.603,20.411,29.002
14,0.467,512.34,411.51,-9.692,17.828,20.292
15,0.5,514.02,411.17,-0.531,15.571,15.58
16,0.533,513.23,411.38,7.738,-4.579,8.991
17,0.567,512.11,411.54,9.944,-10.226,14.263
18,0.6,511.39,411.22,11.071,-14.747,18.44
19,0.633,510.95,410.74,10.833,-16.858,20.039
20,0.667,511.04,410.54,7.304,-16.343,17.901
21,0.7,510.51,410.99,3.85,-13.471,14.01
22,0.733,510.09,411.69,0.005,-7.315,7.315
23,0.767,511.11,412.55,-3.113,1.471,3.443
24,0.8,510.87,413.42,-4.294,14.617,15.235
25,0.833,510.11,415.34,-5.674,32.868,33.354
26,0.867,509.43,417.35,-6.046,55.813,56.139
27,0.9,511.49,418.04,-3.712,58.975,59.092
28,0.933,510.68,419.12,-0.443,53.199,53.2
29,0.967,509.43,420.48,2.143,55.141,55.183
30,1.0,509.65,421.1,3.379,54.346,54.451
31,1.033,509.53,421.44,3.53,51.3,51.421
32,1.067,510.1,421.22,3.837,45.801,45.962
33,1.1,510.17,423.91,4.818,37.955,38.26
34,1.133,511.76,425.36,5.957,28.694,29.306
35,1.167,511.56,429.44,7.462,18.582,20.024
36,1.2,511.19,434.16,8.689,8.156,11.917
37,1.233,511.48,437.33,9.951,-2.314,10.216
38,1.267,511.88,441.4,11.039,-12.267,16.503
39,1.3,511.42,439.05,11.019,-21.29,23.972
40,1.333,512.61,432.91,10.572,-28.953,30.823
41,1.367,512.65,422.95,9.902,-35.51,36.865
42,1.4,513.74,420.84,9.443,-40.888,41.964
43,1.433,514.55,419.46,8.036,-44.49,45.21
44,1.467,511.33,420.14,6.224,-45.777,46.198
45,1.5,514.6,418.41,4.744,-45.455,45.702
46,1.533,515.47,417.17,3.519,-43.119,43.263
47,1.567,515.75,416.41,3.524,-38.889,39.048
48,1.6,515.19,416.36,3.361,-32.016,32.192
49,1.633,515.29,415.98,2.637,-23.815,23.961
50,1.667,514.55,415.98,0.903,-14.09,14.119
51,1.7,514.28,416.16,-0.593,-4.695,4.732
52,1.733,513.79,416.59,-1.686,3.262,3.672
53,1.767,513.69,416.84,-2.425,9.245,9.557
54,1.8,514.06,417.08,-1.774,10.669,10.816
55,1.833,514.14,417.33,-0.337,11.36,11.365
56,1.867,514.73,417.61,1.932,11.213,11.378
57,1.9,514.9,417.75,5.588,13.779,14.869
58,1.933,514.38,418.23,8.956,16.807,19.044
59,1.967,515.4,417.35,11.709,19.831,23.03
60,2.0,516.33,417.53,15.198,19.866,25.013
61,2.033,516.54,417.76,14.593,20.476,25.144
62,2.067,514.68,419.09,12.424,21.666,24.975
63,2.1,514.67,420.36,14.064,24.096,27.9
64,2.133,516.5,421.62,19.262,25.899,32.277
65,2.167,518.34,423.24,26.758,26.993,38.008
66,2.2,519.69,425.08,35.142,27.56,44.66
67,2.233,521.59,426.12,40.449,27.954,49.168
68,2.267,523.67,426.76,42.814,28.892,51.651
69,2.3,523.31,428.81,42.98,27.46,51.004
70,2.333,525.03,426.37,41.447,25.159,48.485
71,2.367,524.78,427.7,38.384,22.114,44.299
72,2.4,523.36,428.33,33.521,19.649,38.855
73,2.433,523.5,427.9,27.991,16.955,32.725
74,2.467,523.96,427.75,21.818,14.226,26.047
75,2.5,526.72,432.52,14.868,11.815,18.991
76,2.533,535.71,432.98,6.952,10.042,12.214
77,2.567,543.99,433.07,-1.24,9.091,9.176
78,2.6,540.95,430.67,-7.42,7.165,10.315
79,2.633,535.82,430.86,-11.424,4.403,12.243
80,2.667,528.82,431.76,-15.078,1.491,15.151
81,2.7,522.11,432.25,-17.852,-1.678,17.93
82,2.733,522.28,431.68,-20.12,-4.837,20.693
83,2.767,523.52,428.28,-22.024,-7.676,23.323
84,2.8,523.97,431.16,-23.876,-10.079,25.916
85,2.833,523.45,431.95,-25.157,-12.493,28.088
86,2.867,523.23,432.98,-26.33,-13.386,29.538
87,2.9,523.7,431.03,-27.344,-13.478,30.486
88,2.933,522.55,430.55,-27.007,-12.699,29.844
89,2.967,522.71,429.18,-23.986,-12.112,26.871
90,3.0,522.3,428.69,-20.125,-10.372,22.641
91,3.033,522.79,426.86,-16.118,-10.391,19.177
92,3.067,523.35,424.43,-15.971,-10.945,19.362
93,3.1,522.32,424.97,-21.602,-11.607,24.523
94,3.133,519.7,426.17,-28.108,-11.353,30.314
95,3.167,519.05,426.67,-35.191,-10.766,36.801
96,3.2,516.88,427.43,-39.272,-9.399,40.381
97,3.233,515.56,427.34,-41.13,-7.758,41.856
98,3.267,513.56,427.08,-43.269,-5.693,43.642
99,3.3,511.13,426.89,-45.511,-2.534,45.581
100,3.333,509.89,425.53,-47.734,-3.622,47.872
101,3.367,507.55,425.6,-49.378,-8.487,50.102
102,3.4,507.26,423.75,-49.843,-17.299,52.76
103,3.433,507.19,421.46,-49.73,-27.646,56.898
104,3.467,503.37,422.82,-47.267,-39.914,61.865
105,3.5,503.34,421.95,-44.408,-50.057,66.916
106,3.533,502.75,421.21,-39.96,-58.32,70.697
107,3.567,501.83,420.87,-35.123,-64.683,73.604
108,3.6,500.86,419.62,-30.3,-67.791,74.254
109,3.633,498.06,419.04,-25.327,-68.222,72.771
110,3.667,497.51,417.47,-20.342,-66.412,69.458
111,3.7,493.04,412.79,-16.579,-62.701,64.856
112,3.733,492.72,407.3,-12.381,-58.162,59.465
113,3.767,493.5,400.38,-9.483,-53.226,54.064
114,3.8,493.41,393.98,-6.908,-47.949,48.445
115,3.833,494.09,392.59,-5.035,-42.861,43.156
116,3.867,495.31,392.88,-5.418,-37.548,37.936
117,3.9,495.59,394.86,-5.849,-32.351,32.876
118,3.933,496.52,397.13,-9.554,-26.571,28.237
119,3.967,495.04,401.87,-17.197,-17.929,24.843
120,4.0,496.09,400.76,-26.485,-14.016,29.965
121,4.033,494.6,399.4,-37.994,-13.244,40.237
122,4.067,493.42,400.01,-50.188,-15.429,52.507
123,4.1,491.21,399.84,-62.105,-19.489,65.091
124,4.133,488.39,398.23,-73.325,-25.037,77.482
125,4.167,486.66,395.61,-82.741,-32.59,88.928
126,4.2,485.16,392.81,-90.721,-41.596,99.803
127,4.233,480.55,390.61,-94.775,-50.415,107.35
128,4.267,477.67,389.28,-95.653,-57.805,111.762
129,4.3,472.42,387.64,-93.659,-61.848,112.238
130,4.333,467.48,386.46,-88.854,-61.395,108.002
131,4.367,464.46,385.32,-82.121,-58.175,100.64
132,4.4,457.43,382.78,-73.977,-52.58,90.759
133,4.433,454.88,379.62,-64.664,-45.391,79.005
134,4.467,454.41,370.12,-54.955,-37.101,66.306
135,4.5,455.4,371.74,-43.59,-30.242,53.053
136,4.533,456.64,373.29,-33.435,-23.446,40.836
137,4.567,456.7,375.7,-23.604,-16.23,28.645
138,4.6,456.06,375.98,-15.061,-10.338,18.268
139,4.633,455.37,376.25,-7.002,-5.334,8.802
140,4.667,455.54,376.71,-0.514,-1.467,1.554
141,4.7,455.62,376.59,4.045,2.067,4.543
142,4.733,456.21,376.57,5.626,4.863,7.436
143,4.767,455.87,376.34,5.707,6.597,8.723
144,4.8,454.87,375.9,3.444,6.858,7.674
145,4.833,454.37,375.54,0.797,6.323,6.373
146,4.867,454.65,376.04,-1.91,4.612,4.992
147,4.9,454.63,376.42,-5.03,1.653,5.295
148,4.933,455.07,376.35,-5.549,-1.817,5.839
149,4.967,455.31,375.55,-5.274,-5.655,7.733
150,5.0,453.88,375.0,-4.053,-4.546,6.091
151,5.033,454.41,375.73,-2.486,-2.905,3.823
152,5.067,454.15,375.44,-2.519,-2.186,3.335
153,5.1,454.53,376.1,-2.797,-2.648,3.852
154,5.133,452.94,375.25,-2.966,-3.34,4.467
155,5.167,453.4,375.31,-2.938,-3.704,4.728
156,5.2,452.86,374.29,-2.418,-3.757,4.467
157,5.233,453.25,374.33,-1.441,-2.969,3.3
158,5.267,453.55,374.89,-1.225,-2.091,2.423
159,5.3,454.39,375.79,-1.599,-1.656,2.302
160,5.333,454.13,375.57,-0.788,-0.4,0.883
161,5.367,454.12,375.44,-0.454,0.264,0.525
162,5.4,453.97,375.04,-0.212,0.916,0.94
163,5.433,453.17,374.47,-0.136,1.079,1.087
164,5.467,453.95,375.16,1.35,1.553,2.058
165,5.5,453.13,373.93,3.47,2.405,4.222
