behaviour,bout,start_frame,end_frame,start_s,end_s,duration_s
rearing,1,194,206,6.47,6.87,0.4
rearing,2,299,362,9.97,12.07,2.1
rearing,3,406,478,13.53,15.93,2.4
rearing,4,657,688,21.9,22.93,1.03
rearing,5,748,916,24.93,30.53,5.6
rearing,6,1194,1234,39.8,41.13,1.33
rearing,7,1320,1346,44.0,44.87,0.87
rearing,8,1474,1574,49.13,52.47,3.33
rearing,9,1633,1684,54.43,56.13,1.7
grooming,1,1825,1837,60.83,61.23,0.4
rearing,10,1864,2109,62.13,70.3,8.17
rearing,11,2127,2148,70.9,71.6,0.7
grooming,2,2436,2456,81.2,81.87,0.67
rearing,12,2575,2630,85.83,87.67,1.83
rearing,13,2692,2843,89.73,94.77,5.03
grooming,3,2853,2870,95.1,95.67,0.57
grooming,4,3172,3183,105.73,106.1,0.37
grooming,5,3787,3881,126.23,129.37,3.13
rearing,14,3889,3900,129.63,130.0,0.37
rearing,15,3940,3958,131.33,131.93,0.6
grooming,6,3960,4027,132.0,134.23,2.23
rearing,16,4028,4265,134.27,142.17,7.9
rearing,17,4409,4447,146.97,148.23,1.27
grooming,7,4468,4479,148.93,149.3,0.37
rearing,18,4528,4557,150.93,151.9,0.97
grooming,8,4703,4720,156.77,157.33,0.57
rearing,19,4742,4805,158.07,160.17,2.1
rearing,20,4895,5041,163.17,168.03,4.87
grooming,9,5084,5100,169.47,170.0,0.53
