behaviour,bout,start_frame,end_frame,start_s,end_s,duration_s
rearing,1,99,141,3.3,4.7,1.4
rearing,2,189,304,6.3,10.13,3.83
grooming,1,391,414,13.03,13.8,0.77
grooming,2,454,505,15.13,16.83,1.7
rearing,3,525,565,17.5,18.83,1.33
rearing,4,649,732,21.63,24.4,2.77
rearing,5,852,901,28.4,30.03,1.63
rearing,6,996,1014,33.2,33.8,0.6
rearing,7,1059,1122,35.3,37.4,2.1
grooming,3,1392,1409,46.4,46.97,0.57
rearing,8,1430,1441,47.67,48.03,0.37
rearing,9,1555,1657,51.83,55.23,3.4
rearing,10,1674,1689,55.8,56.3,0.5
rearing,11,1876,1935,62.53,64.5,1.97
rearing,12,2119,2149,70.63,71.63,1.0
rearing,13,2167,2281,72.23,76.03,3.8
grooming,4,2371,2408,79.03,80.27,1.23
rearing,14,2453,2550,81.77,85.0,3.23
grooming,5,2675,2707,89.17,90.23,1.07
grooming,6,2733,2760,91.1,92.0,0.9
rearing,15,2770,2791,92.33,93.03,0.7
grooming,7,2966,2977,98.87,99.23,0.37
grooming,8,3074,3090,102.47,103.0,0.53
rearing,16,3155,3283,105.17,109.43,4.27
grooming,9,3334,3360,111.13,112.0,0.87
grooming,10,3391,3407,113.03,113.57,0.53
grooming,11,3423,3440,114.1,114.67,0.57
grooming,12,3460,3477,115.33,115.9,0.57
grooming,13,3495,3512,116.5,117.07,0.57
grooming,14,3537,3704,117.9,123.47,5.57
rearing,17,3992,4036,133.07,134.53,1.47
rearing,18,4193,4359,139.77,145.3,5.53
grooming,15,4535,4547,151.17,151.57,0.4
rearing,19,4887,4971,162.9,165.7,2.8
rearing,20,5038,5079,167.93,169.3,1.37
rearing,21,5225,5263,174.17,175.43,1.27
rearing,22,5286,5303,176.2,176.77,0.57
