scorer,MATLAB_TMaze_v1,MATLAB_TMaze_v1,MATLAB_TMaze_v1
bodyparts,body_center,body_center,body_center
coords,x,y,likelihood
0,672.267233,362.367133,1.000000
1,668.898999,362.851683,1.000000
2,662.660142,364.553103,1.000000
3,660.778725,365.255386,1.000000
4,660.523476,366.030890,1.000000
5,659.993538,365.846931,1.000000
6,661.413505,366.372155,1.000000
7,677.607670,363.995280,1.000000
8,676.494721,364.151026,1.000000
9,657.770946,366.664509,1.000000
10,657.083181,366.272261,1.000000
11,656.662469,365.857863,1.000000
12,656.133966,365.632911,1.000000
13,655.922010,365.402426,1.000000
14,655.257586,365.083103,1.000000
15,654.725989,364.767302,1.000000
16,654.392434,363.508980,1.000000
17,653.547600,362.613600,1.000000
18,653.167002,362.175453,1.000000
19,652.167616,361.797396,1.000000
20,651.447132,361.698790,1.000000
21,650.502268,361.304989,1.000000
22,650.430651,361.450958,1.000000
23,651.083208,361.727410,1.000000
24,651.405589,361.578927,1.000000
25,651.478941,361.739098,1.000000
26,651.224991,361.732614,1.000000
27,651.005191,361.808306,1.000000
28,650.745314,361.734656,1.000000
29,650.218512,361.507078,1.000000
30,649.845490,361.712900,1.000000
31,649.737629,361.771449,1.000000
32,649.114377,361.720255,1.000000
33,648.690960,361.752278,1.000000
34,647.105225,360.996063,1.000000
35,647.335300,361.574800,1.000000
36,646.150671,361.674923,1.000000
37,645.357217,361.459525,1.000000
38,644.779118,361.327360,1.000000
39,643.674590,361.174757,1.000000
40,642.662278,360.937130,1.000000
41,641.874668,360.688992,1.000000
42,640.190108,360.182032,1.000000
43,635.715427,359.088256,1.000000
44,632.772234,358.383586,1.000000
45,629.160046,357.196298,1.000000
46,628.572696,356.770922,1.000000
47,629.048572,356.574342,1.000000
48,630.008436,357.022144,1.000000
49,628.184482,356.947521,1.000000
50,628.734494,356.488291,1.000000
51,628.869033,356.332601,1.000000
52,629.203135,356.437615,1.000000
53,629.296296,356.043259,1.000000
54,629.189922,355.764162,1.000000
55,629.609601,355.650966,1.000000
56,630.871622,355.945946,1.000000
57,631.547670,356.084983,1.000000
58,631.484876,355.829820,1.000000
59,631.313649,355.697198,1.000000
60,631.047421,355.505039,1.000000
61,629.941039,355.164040,1.000000
62,629.944092,354.978098,1.000000
63,630.143155,354.930510,1.000000
64,629.149971,354.180256,1.000000
65,627.986621,354.167948,1.000000
66,627.434237,354.061056,1.000000
67,626.774668,353.957299,1.000000
68,625.576247,354.093254,1.000000
69,627.042142,354.559848,1.000000
70,626.822081,354.263981,1.000000
71,626.222443,354.059790,1.000000
72,625.683059,354.133030,1.000000
73,625.481917,354.250000,1.000000
74,625.291607,354.151533,1.000000
75,626.365093,354.389860,1.000000
76,626.428736,355.039238,1.000000
77,626.198454,355.132302,1.000000
78,626.064162,355.178324,1.000000
79,625.965817,355.007822,1.000000
80,625.171920,354.705731,1.000000
81,625.272884,354.531420,1.000000
82,624.745137,354.419791,1.000000
83,624.268375,354.167558,1.000000
84,623.915350,354.183409,1.000000
85,619.964614,352.358874,1.000000
86,620.164384,353.289283,1.000000
87,620.010601,353.390595,1.000000
88,623.618634,354.221065,1.000000
89,623.599943,354.164629,1.000000
90,622.859375,354.028693,1.000000
91,622.389791,353.562065,1.000000
92,622.635912,353.360000,1.000000
93,622.218741,353.120437,1.000000
94,621.896522,352.711594,1.000000
95,621.738744,352.180958,1.000000
96,621.132192,351.180747,1.000000
97,621.822292,351.519761,1.000000
98,621.747753,351.237750,1.000000
99,621.376718,351.093969,1.000000
100,622.090317,351.479332,1.000000
101,621.538374,351.215977,1.000000
102,622.427751,350.385127,1.000000
103,622.834911,351.178994,1.000000
104,622.391128,351.027834,1.000000
105,622.084359,350.716169,1.000000
106,622.848440,351.339376,1.000000
107,622.659487,351.418708,1.000000
108,623.382097,351.999399,1.000000
109,623.486280,352.432317,1.000000
110,623.901679,352.943206,1.000000
111,623.526986,352.891146,1.000000
112,623.369198,353.099458,1.000000
113,624.739171,353.853225,1.000000
114,624.992260,354.265635,1.000000
115,624.736924,354.214819,1.000000
116,622.896816,354.326651,1.000000
117,622.666766,355.084348,1.000000
118,623.265989,355.461745,1.000000
119,623.502370,355.532287,1.000000
120,623.591625,355.826255,1.000000
121,623.056615,356.061085,1.000000
122,622.566588,356.300530,1.000000
123,623.194861,356.414806,1.000000
124,623.246168,357.107603,1.000000
125,622.581438,357.460419,1.000000
126,623.132643,358.467858,1.000000
127,622.593263,358.751404,1.000000
128,622.441067,359.142680,1.000000
129,622.285145,359.417152,1.000000
130,621.890325,359.858774,1.000000
131,621.327044,360.231806,1.000000
132,622.316820,361.002077,1.000000
