frame,t_s,x_px,y_px,vx_px_s,vy_px_s,speed_px_s
118,3.933,587.94,635.61,14.136,-26.989,30.467
119,3.967,587.9,635.15,11.504,-28.337,30.583
120,4.0,588.31,634.78,9.183,-29.151,30.563
121,4.033,588.0,632.52,7.318,-28.844,29.758
122,4.067,588.34,631.09,5.429,-27.822,28.346
123,4.1,588.47,630.07,3.806,-25.976,26.254
124,4.133,588.45,629.75,2.485,-22.632,22.768
125,4.167,588.93,629.11,1.627,-19.499,19.567
126,4.2,588.86,628.42,1.012,-16.407,16.439
127,4.233,589.0,628.12,0.429,-13.502,13.509
128,4.267,588.87,627.96,0.041,-11.515,11.515
129,4.3,588.82,627.89,-0.255,-10.028,10.031
130,4.333,588.63,627.55,0.172,-9.341,9.343
131,4.367,588.88,627.47,0.692,-8.15,8.18
132,4.4,588.68,627.1,0.544,-6.574,6.596
133,4.433,588.88,627.56,-0.504,-4.552,4.58
134,4.467,588.78,627.51,-2.098,-1.767,2.743
135,4.5,588.59,627.19,-4.252,1.374,4.468
136,4.533,588.27,626.67,-6.588,4.183,7.803
137,4.567,588.62,626.93,-9.046,7.251,11.593
138,4.6,588.4,626.85,-11.022,9.845,14.778
139,4.633,588.24,626.44,-12.96,11.721,17.474
140,4.667,587.77,626.33,-14.899,12.898,19.706
141,4.7,587.13,626.66,-17.028,13.803,21.92
142,4.733,586.58,627.16,-18.973,14.751,24.033
143,4.767,586.46,628.46,-20.668,15.325,25.729
144,4.8,586.1,629.36,-22.053,15.55,26.984
145,4.833,583.76,631.55,-22.997,15.372,27.662
146,4.867,582.27,632.51,-23.293,14.961,27.684
147,4.9,580.88,633.72,-23.22,13.79,27.006
148,4.933,580.64,634.46,-24.178,12.197,27.081
149,4.967,580.1,633.89,-24.969,9.598,26.75
150,5.0,580.32,632.71,-23.953,6.883,24.922
151,5.033,579.6,631.75,-21.317,4.068,21.702
152,5.067,579.8,630.98,-17.488,1.441,17.548
153,5.1,578.16,631.27,-13.503,-0.944,13.536
154,5.133,577.44,632.25,-9.255,-3.065,9.749
155,5.167,577.17,632.91,-5.169,-4.459,6.826
156,5.2,577.04,633.11,-1.425,-4.563,4.78
157,5.233,576.85,632.69,1.408,-3.445,3.722
158,5.267,576.49,632.72,3.534,-1.019,3.678
159,5.3,576.46,632.5,4.683,2.128,5.143
160,5.333,576.26,632.12,4.587,5.941,7.506
161,5.367,575.86,631.52,4.487,9.064,10.114
162,5.4,575.56,631.87,4.466,11.619,12.448
163,5.433,579.62,632.2,4.669,13.343,14.137
164,5.467,582.17,633.39,4.465,14.332,15.012
165,5.5,581.49,633.48,3.81,14.831,15.313
166,5.533,580.35,634.13,2.46,15.089,15.288
167,5.567,579.29,635.04,1.014,15.272,15.306
168,5.6,578.91,635.54,-1.083,15.442,15.48
169,5.633,578.08,636.77,-2.846,15.124,15.39
170,5.667,577.34,638.13,-4.383,14.067,14.734
171,5.7,576.66,638.61,-5.63,12.331,13.555
172,5.733,577.18,638.94,-6.297,9.133,11.093
173,5.767,577.21,638.75,-7.471,5.327,9.176
174,5.8,577.08,638.46,-7.809,2.42,8.175
175,5.833,577.47,637.96,-7.418,0.334,7.426
176,5.867,577.57,638.14,-6.132,-1.01,6.215
177,5.9,577.18,638.54,-4.52,-0.924,4.613
178,5.933,576.62,638.62,-2.39,-0.003,2.39
179,5.967,576.35,638.06,-2.191,2.351,3.213
180,6.0,576.56,637.79,-3.638,5.102,6.266
181,6.033,576.59,637.82,-5.42,9.167,10.649
182,6.067,576.28,637.76,-7.31,13.981,15.776
183,6.1,576.17,637.92,-9.21,19.135,21.236
184,6.133,576.14,638.44,-10.957,24.425,26.77
185,6.167,576.02,638.82,-12.196,29.275,31.714
186,6.2,575.53,639.23,-12.861,33.729,36.098
187,6.233,574.12,642.38,-12.793,37.566,39.684
188,6.267,575.32,645.87,-12.566,40.043,41.969
189,6.3,574.32,646.47,-12.203,41.558,43.313
190,6.333,573.04,647.52,-11.567,42.059,43.62
191,6.367,571.25,649.34,-10.828,41.761,43.142
192,6.4,571.04,650.49,-10.265,40.227,41.516
193,6.433,571.05,652.33,-9.316,37.829,38.959
194,6.467,571.48,652.91,-7.865,34.216,35.108
195,6.5,571.4,654.47,-5.936,30.119,30.698
196,6.533,571.18,654.83,-4.484,25.42,25.812
197,6.567,571.31,655.34,-3.223,20.087,20.344
198,6.6,571.8,655.8,-1.843,14.399,14.517
199,6.633,571.68,656.59,-0.708,8.58,8.61
200,6.667,571.44,657.29,0.134,4.184,4.186
201,6.7,571.27,656.6,0.307,0.129,0.333
202,6.733,571.01,655.98,-0.67,-2.073,2.178
203,6.767,570.73,656.45,-1.503,-3.514,3.822
